trade_uid,motor_id,lado_norm,rotulo,ajuste_estrutura__mudanca_total_z,ajuste_estrutura__inicio_meio_z,ajuste_estrutura__meio_fim_z,ajuste_estrutura__volatilidade_z,ajuste_estrutura__nivel_final_z,ajuste_estrutura_compra__mudanca_total_z,ajuste_estrutura_compra__inicio_meio_z,ajuste_estrutura_compra__meio_fim_z,ajuste_estrutura_compra__volatilidade_z,ajuste_estrutura_compra__nivel_final_z,ajuste_estrutura_venda__mudanca_total_z,ajuste_estrutura_venda__inicio_meio_z,ajuste_estrutura_venda__meio_fim_z,ajuste_estrutura_venda__volatilidade_z,ajuste_estrutura_venda__nivel_final_z,confirmacoes_candidata__mudanca_total_z,confirmacoes_candidata__inicio_meio_z,confirmacoes_candidata__meio_fim_z,confirmacoes_candidata__volatilidade_z,confirmacoes_candidata__nivel_final_z,campanha_entradas__mudanca_total_z,campanha_entradas__inicio_meio_z,campanha_entradas__meio_fim_z,campanha_entradas__volatilidade_z,campanha_entradas__nivel_final_z,qtd_swings_confirmados__mudanca_total_z,qtd_swings_confirmados__inicio_meio_z,qtd_swings_confirmados__meio_fim_z,qtd_swings_confirmados__volatilidade_z,qtd_swings_confirmados__nivel_final_z,cluster
motor_c7_dna_fluxo_v5_2::20260729085935.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,1.686226898691488,2.3607176581680838,-0.6744907594765952,0.0,0.0,0.0,-0.6663332499583072,0.6663332499583072,0.0,0.6663332499583072,0.0,0.7340537796757884,-0.7340537796757884,0.0,0.0,-1.991051409252336,-1.991051409252336,0.0,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729090705.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,2.1114442264268964,2.1114442264268964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729091130.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,0.0,0.8015903151143321,-0.8015903151143321,0.0,0.0,1.686226898691488,2.3607176581680838,-0.6744907594765952,0.0,0.0,-2.3961175493587183,-2.3961175493587183,0.0,0.0,0.0,-2.396117549358718,-2.396117549358718,0.0,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729091450.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729091628.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729092203.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,-1.925250501215618,0.0,-1.925250501215618,0.0,-1.925250501215618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729092504.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729092738.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,-1.991051409252336,-1.991051409252336,0.0,0.0,-1.991051409252336,,,,,,,,,,,,,,,,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729092823.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,0.0,0.0,0.0,0.0,0.0,-1.9720265943665387,0.0,-1.9720265943665387,0.0,-1.9720265943665387,1.7260227702317332,0.0,1.7260227702317332,0.0,1.7260227702317332,,,,,,,,,,,,,,,,0
motor_c7_dna_fluxo_v5_2::20260729093215.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,-2.065941443158613,0.0,-2.065941443158613,0.0,-2.065941443158613,-1.94392201308584,0.0,-1.94392201308584,0.0,-1.94392201308584,2.3607176581680838,0.0,2.3607176581680838,0.0,2.3607176581680838,-1.991051409252336,0.0,-1.991051409252336,0.0,0.0,,,,,,,,,,,0
motor_c7_dna_fluxo_v5_2::20260729093449.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,0.6744907594765952,-2.3607176581680838,3.0352084176446783,0.0,0.6744907594765952,2.123446981029602,0.0,2.123446981029602,0.0,2.123446981029602,-2.066211695163584,0.0,-2.066211695163584,0.0,-2.066211695163584,-1.9793046907496403,0.0,-1.9793046907496403,0.0,-1.9793046907496403,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729094237.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.320676359488436,0.0,1.320676359488436,0.0,1.320676359488436,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729094549.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.107130750570548,-2.107130750570548,0.0,0.0,0.0,2.107130750570548,-2.107130750570548,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729094915.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729095720.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,0.0,0.9053686032176662,-0.9053686032176662,0.0,0.0,2.066211695163583,0.0,2.066211695163583,0.0,2.066211695163583,0.0,0.0,0.0,0.0,0.0,0.0,1.9793046907496403,-1.9793046907496403,0.0,-1.9793046907496403,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729101129.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,3.0352084176446783,2.3607176581680838,0.6744907594765952,0.0,0.6744907594765952,-3.0352084176446783,-0.6744907594765952,-2.3607176581680838,0.0,-2.3607176581680838,3.0352084176446783,0.6744907594765952,2.3607176581680838,0.0,2.3607176581680838,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
motor_c7_dna_fluxo_v5_2::20260729102746.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,-0.6744907594765952,-0.6744907594765952,0.0,0.0,0.0,-2.3607176581680838,-0.6744907594765952,-1.686226898691488,0.0,-1.686226898691488,2.1094279774730795,0.0,2.1094279774730795,0.0,2.1094279774730795,1.447183341059974,0.0,1.447183341059974,0.0,1.447183341059974,,,,,,,,,,,0
motor_c7_dna_fluxo_v5_2::20260729102959.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729103152.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,0.0,0.0,0.0,0.0,0.0,0.0,0.6744907594765952,-0.6744907594765952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6744907594765952,0.6744907594765952,-1.3489815189531904,0.0,-0.6744907594765952,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729103243.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,0.0,0.0,0.0,0.0,0.0,2.697963037906381,0.3372453797382976,2.3607176581680838,0.0,2.3607176581680838,-1.1803588290840417,-0.3372453797382976,-0.8431134493457441,0.0,-0.8431134493457441,3.0,0.0,3.0,0.0,3.0,-3.0,0.0,-3.0,0.0,-3.0,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729103334.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.081665999466133,2.081665999466133,0.0,0.0,0.0,2.081665999466133,2.081665999466133,0.0,0.0,0.0,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729103644.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,0.6744907594765952,0.0,0.6744907594765952,0.0,0.6744907594765952,0.0,0.0,0.0,0.0,0.0,1.97930469074964,0.0,1.97930469074964,0.0,0.0,0.0,2.066211695163583,-2.066211695163583,0.0,0.0,,,,,,,,,,,0
motor_c7_dna_fluxo_v5_2::20260729104317.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,0.9764587677548234,0.0,0.9764587677548234,0.0,0.9764587677548234,0.0,0.0,0.0,0.0,0.0,2.066211695163583,0.0,2.066211695163583,0.0,2.066211695163583,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
motor_c7_dna_fluxo_v5_2::20260729104627.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,0.6744907594765952,0.0,0.6744907594765952,0.0,0.6744907594765952,2.3607176581680838,0.6744907594765952,1.686226898691488,0.0,1.686226898691488,-1.686226898691488,0.0,-1.686226898691488,0.0,-1.686226898691488,0.0,1.213858034299575,-1.213858034299575,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729104719.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,3.0,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729105228.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,0.7858271688865321,0.7858271688865321,0.0,0.0,0.0,-2.3607176581680838,-2.3607176581680838,0.0,0.0,0.0,2.3607176581680838,2.3607176581680838,0.0,0.0,0.0,1.3489815189531904,0.6744907594765952,0.6744907594765952,0.0,0.6744907594765952,,,,,,,,,,,1
