indice_base;dia_teste;classe_real;probabilidade_impulso;dna_score;alerta_dna;classe_prevista
592;2026-07-13;0;0,0464924038924039;4,64924038924039;False;0
593;2026-07-13;0;0,1156139232112916;11,56139232112916;False;0
594;2026-07-13;0;0,25175260010027806;25,175260010027806;False;0
595;2026-07-13;0;0,1396599059680716;13,96599059680716;False;0
596;2026-07-13;0;0,09055716496764882;9,055716496764882;False;0
597;2026-07-13;0;0,0758993109831345;7,58993109831345;False;0
598;2026-07-13;0;0,019210649644473176;1,9210649644473177;False;0
599;2026-07-13;0;0,03952659340659341;3,952659340659341;False;0
600;2026-07-13;0;0,0261041579765264;2,61041579765264;False;0
601;2026-07-13;0;0,013268376068376069;1,3268376068376069;False;0
602;2026-07-13;0;0,24693421004806448;24,69342100480645;False;0
603;2026-07-13;0;0,18118307742309284;18,118307742309284;False;0
604;2026-07-13;0;0,05161325757575757;5,1613257575757565;False;0
605;2026-07-13;0;0,12830875013875012;12,830875013875012;False;0
606;2026-07-13;0;0,18624727340083375;18,624727340083375;False;0
607;2026-07-13;0;0,10418158259868783;10,418158259868783;False;0
608;2026-07-13;0;0,0744642857142857;7,44642857142857;False;0
609;2026-07-13;0;0,03552030571767415;3,552030571767415;False;0
610;2026-07-13;0;0,08257828323953492;8,257828323953492;False;0
611;2026-07-13;0;0,026575;2,6575;False;0
612;2026-07-13;0;0,060452510647247486;6,045251064724749;False;0
613;2026-07-13;0;0,006;0,6;False;0
614;2026-07-13;0;0,042850952968600024;4,2850952968600025;False;0
615;2026-07-13;0;0,013846153846153847;1,3846153846153846;False;0
616;2026-07-13;0;0,06741913404393064;6,741913404393064;False;0
617;2026-07-13;0;0,01524046345811052;1,524046345811052;False;0
618;2026-07-13;0;0,008;0,8;False;0
619;2026-07-13;0;0,1413373475297912;14,133734752979121;False;0
620;2026-07-13;0;0,037111111111111116;3,7111111111111117;False;0
621;2026-07-13;0;0,07153745976245976;7,153745976245976;False;0
622;2026-07-13;0;0,07179898882163588;7,179898882163588;False;0
623;2026-07-13;0;0,082877474486298;8,2877474486298;False;0
624;2026-07-13;0;0,13338378522561578;13,338378522561579;False;0
625;2026-07-13;0;0,06298749698014403;6,298749698014403;False;0
626;2026-07-13;0;0,08363601708748765;8,363601708748766;False;0
627;2026-07-13;0;0,02688284400784401;2,688284400784401;False;0
628;2026-07-13;0;0,16059445258330704;16,059445258330705;False;0
629;2026-07-13;0;0,050051510635334175;5,005151063533417;False;0
630;2026-07-13;0;0,005675324675324676;0,5675324675324677;False;0
631;2026-07-13;0;0,21214638888802978;21,214638888802977;False;0
632;2026-07-13;0;0,005382352941176471;0,5382352941176471;False;0
633;2026-07-13;0;0,039769389966758384;3,9769389966758384;False;0
634;2026-07-13;0;0,02048219280719281;2,0482192807192807;False;0
635;2026-07-13;0;0,014834173669467788;1,4834173669467787;False;0
636;2026-07-13;0;0,020915800865800863;2,091580086580086;False;0
637;2026-07-13;0;0,022960714285714286;2,2960714285714285;False;0
638;2026-07-13;0;0,028404487179487185;2,8404487179487186;False;0
639;2026-07-13;0;0,06714142643791252;6,714142643791251;False;0
640;2026-07-13;0;0,013367582417582418;1,3367582417582418;False;0
641;2026-07-13;0;0,026931868131868136;2,6931868131868137;False;0
642;2026-07-13;0;0,011571428571428573;1,1571428571428573;False;0
643;2026-07-13;0;0,027220454545454548;2,7220454545454547;False;0
644;2026-07-13;0;0,04321171615908458;4,321171615908458;False;0
645;2026-07-13;0;0,008;0,8;False;0
646;2026-07-13;0;0,06342289491554198;6,342289491554198;False;0
647;2026-07-13;0;0,023466666666666663;2,3466666666666662;False;0
648;2026-07-13;0;0,0716599086099086;7,165990860990861;False;0
649;2026-07-13;0;0,03374326154237919;3,374326154237919;False;0
650;2026-07-13;0;0,02086322349421205;2,086322349421205;False;0
651;2026-07-13;0;0,0036842105263157894;0,3684210526315789;False;0
652;2026-07-13;0;0,02639404761904762;2,639404761904762;False;0
653;2026-07-13;0;0,040051434066449544;4,0051434066449545;False;0
654;2026-07-13;0;0,042986111111111114;4,298611111111112;False;0
655;2026-07-13;0;0,05622578728461081;5,6225787284610815;False;0
656;2026-07-13;0;0,04883758006126427;4,883758006126427;False;0
657;2026-07-13;0;0,015208020050125313;1,5208020050125313;False;0
658;2026-07-13;0;0,030988095238095238;3,098809523809524;False;0
659;2026-07-13;0;0,041557352941176476;4,1557352941176475;False;0
660;2026-07-13;0;0,062385213032581446;6,238521303258144;False;0
661;2026-07-13;0;0,05177248224485067;5,177248224485067;False;0
662;2026-07-13;0;0,05253967277592449;5,253967277592449;False;0
663;2026-07-13;0;0,058666919191919194;5,866691919191919;False;0
664;2026-07-13;0;0,00958421052631579;0,9584210526315791;False;0
665;2026-07-13;0;0,030755856592108305;3,0755856592108306;False;0
666;2026-07-13;0;0,016968487394957984;1,6968487394957983;False;0
667;2026-07-13;0;0,005900000000000001;0,5900000000000001;False;0
668;2026-07-13;0;0,013651851851851853;1,3651851851851853;False;0
669;2026-07-13;0;0,02134949874686717;2,134949874686717;False;0
670;2026-07-13;0;0,03627092907092907;3,6270929070929068;False;0
671;2026-07-13;0;0,03441916971916972;3,441916971916972;False;0
672;2026-07-13;0;0,017672527472527472;1,7672527472527473;False;0
673;2026-07-13;0;0,0159;1,59;False;0
674;2026-07-13;0;0,008;0,8;False;0
675;2026-07-13;0;0,013607287449392713;1,3607287449392713;False;0
676;2026-07-13;0;0,011145658263305321;1,114565826330532;False;0
677;2026-07-13;0;0,01576190476190476;1,5761904761904761;False;0
678;2026-07-13;0;0,016;1,6;False;0
679;2026-07-13;0;0,017925925925925925;1,7925925925925925;False;0
680;2026-07-13;0;0,03271539313399779;3,2715393133997788;False;0
681;2026-07-13;0;0,017766666666666667;1,7766666666666666;False;0
682;2026-07-13;0;0,007846153846153846;0,7846153846153846;False;0
683;2026-07-13;0;0,0852839045915671;8,528390459156709;False;0
684;2026-07-13;0;0,009933333333333334;0,9933333333333334;False;0
685;2026-07-13;0;0,07545714806349481;7,545714806349481;False;0
686;2026-07-13;0;0,02639462481962482;2,6394624819624823;False;0
687;2026-07-13;0;0,030241431117901705;3,0241431117901705;False;0
688;2026-07-13;0;0,09768715603453988;9,768715603453987;False;0
689;2026-07-13;0;0,03498870140467448;3,498870140467448;False;0
690;2026-07-13;0;0,012838113383005023;1,2838113383005023;False;0
691;2026-07-13;0;0,11869319511300712;11,869319511300711;False;0
692;2026-07-13;0;0,011536630036630037;1,1536630036630036;False;0
693;2026-07-13;0;0,027675122100122098;2,76751221001221;False;0
