filtro;tp;sl;protecao_pct;trades;gains;losses;protegidos;timeouts;fim_dados;positivos;negativos;taxa_gain_pct;taxa_sem_loss_pct;resultado_total;media_trade;profit_factor;drawdown_max;maior_seq_losses;tempo_medio_s;sinais_ignorados_posicao_aberta
AJUSTE_EQ_12;2000;1200;0.6;128;57;54;12;5;0;57;59;44,53125;57,8125;46550,0;363,671875;1,6901408450704225;-9950,0;4;531,25;13
AJUSTE_GE_8;1800;1200;SEM_PROTECAO;185;84;91;0;10;0;89;96;45,4054054054054;50,810810810810814;45050,0;243,51351351351352;1,402771569065713;-11775,0;6;1503,0324324324324;20
TODAS;1200;1200;0.5;301;162;124;6;9;0;166;129;53,820598006644516;58,80398671096346;44775,0;148,75415282392026;1,2963759721992387;-16800,0;9;1084,7209302325582;23
TODAS;1200;1200;0.6;301;162;124;6;9;0;166;129;53,820598006644516;58,80398671096346;44775,0;148,75415282392026;1,2963759721992387;-16800,0;9;1084,7209302325582;23
AJUSTE_GE_8;1800;1200;0.8;185;81;86;9;9;0;85;91;43,78378378378378;53,513513513513516;44600,0;241,0810810810811;1,4213509683514407;-10575,0;5;1485,6108108108108;20
AJUSTE_EQ_12;2000;1200;0.7;128;57;56;10;5;0;57;61;44,53125;56,25;44150,0;344,921875;1,632068718682892;-10350,0;4;531,53125;13
TODAS;1200;1200;0.7;301;162;124;5;10;0;166;130;53,820598006644516;58,80398671096346;43900,0;145,84717607973423;1,288910825929582;-17675,0;9;1084,7209302325582;23
AJUSTE_GE_8;1600;1200;0.8;190;91;85;6;8;0;94;90;47,89473684210526;55,26315789473684;43850,0;230,78947368421052;1,4190157668418537;-8950,0;5;1416,1263157894737;15
AJUSTE_EQ_12;1600;1200;0.8;134;70;55;4;5;0;70;60;52,23880597014925;58,95522388059702;43350,0;323,5074626865672;1,6314639475600874;-7600,0;4;485,7164179104478;7
AJUSTE_EQ_12;1800;1200;0.7;131;62;55;9;5;0;62;60;47,32824427480916;58,01526717557252;42950,0;327,8625954198473;1,6256372906045156;-9950,0;4;507,55725190839695;10
AJUSTE_EQ_12;2000;1200;0.8;128;57;57;9;5;0;57;62;44,53125;55,46875;42950,0;335,546875;1,6045038705137227;-11550,0;5;531,53125;13
