dna_id,tipo_causa_stop,classe_dna,sequencia,stops_associados,dias_com_stop,motores_com_stop,lados_com_stop,hora_mais_frequente,concentracao_hora_pct,classe_certificacao,score_certificacao_v1_1,precisao_pct,recall_sensibilidade_pct,f1_score,mcc,lift_classe_alvo,wilson_95_inferior_classe_alvo_pct,profit_factor_classe_alvo_r,expectancia_classe_alvo_r,cobertura_historia_media_pct,previsoes,score_estabilidade
DNA_E3F37591A376,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,13,4,1,1,20,15.384615384615383,D_REJEITADO,68.31567847253632,100.0,1.8387553041018387,0.03611111111111111,0.08024392142928419,1.5289957567185288,77.18981569447084,inf,1.0,54.505494505494504,13,91.07692307692308
DNA_4FA4C1B43082,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,13,4,1,2,11,15.384615384615383,D_REJEITADO,61.37478245365318,92.85714285714286,1.8387553041018387,0.03606102635228849,0.06611184732512022,1.4197817740957768,68.5307304460422,13.0,0.8571428571428571,34.523809523809526,14,72.81590575005266
DNA_CB717D7599A0,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,13,3,1,2,13,23.07692307692308,D_REJEITADO,61.82067713735458,86.66666666666667,1.8387553041018387,0.036011080332409975,0.053027056123764627,1.325129655822725,62.11750079348376,6.5,0.7333333333333333,39.02380952380952,15,88.02632114024121
DNA_52E0D6369D55,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,13,4,2,2,14,15.384615384615383,D_REJEITADO,54.13341316733046,86.66666666666667,1.8387553041018387,0.036011080332409975,0.053027056123764627,1.325129655822725,62.11750079348376,6.5,0.7333333333333333,58.571428571428555,15,49.59000129012061
DNA_532BE335AAA8,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,13,3,1,2,13,23.07692307692308,D_REJEITADO,57.01756627290687,81.25,1.8387553041018387,0.0359612724757953,0.040834640107519,1.2423090523338047,56.990640131541774,4.333333333333333,0.625,25.952380952380953,16,74.71576160651485
DNA_8922D4425ADE,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CAMPANHA_ENTRADAS_ESTAVEL,13,3,2,1,11,38.46153846153847,D_REJEITADO,55.7750379228376,81.25,1.8387553041018387,0.0359612724757953,0.040834640107519,1.2423090523338047,56.990640131541774,4.333333333333333,0.625,31.081349206349202,16,68.50311985616847
DNA_F7CCC5382459,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_SUBIU,13,4,2,1,10,15.384615384615383,D_REJEITADO,54.00376220967492,81.25,1.8387553041018387,0.0359612724757953,0.040834640107519,1.2423090523338047,56.990640131541774,4.333333333333333,0.625,41.91964285714286,16,59.64674129035507
DNA_7F9214FF9BBF,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,13,4,1,1,13,15.384615384615383,D_REJEITADO,52.0156162321716,72.22222222222221,1.8387553041018387,0.03586206896551724,0.01865617169889168,1.104274713185604,49.12692245380548,2.6,0.4444444444444444,54.04761904761905,18,66.41387318852658
DNA_5C67446DBC61,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,12,3,2,1,11,33.33333333333333,D_REJEITADO,65.7357474454363,100.0,1.6973125884016973,0.03337969401947149,0.07705979771195384,1.5289957567185288,75.74992425007574,inf,1.0,74.22619047619048,12,81.33333333333333
DNA_CDE5325D0F02,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_SUBIU,12,4,1,2,10,16.666666666666664,D_REJEITADO,62.34694821881112,92.3076923076923,1.6973125884016973,0.03333333333333333,0.06240276983219324,1.4113806985094113,66.68546607175266,12.0,0.8461538461538461,54.57875457875457,13,81.93792372521605
