variavel;media_movimentos;media_lateral;diferenca;z_vs_lateral;z_absoluto;direcao_comum;movimentos_acima_mediana_lateral;movimentos_abaixo_mediana_lateral;consistencia_5_movimentos;percentil_lateral_medio;percentil_lateral_min;percentil_lateral_max
inicio5s_ticks_vel_s;115,33443878697616;72,50535864354553;42,82908014343063;0,9217033336052176;0,9217033336052176;ACIMA_LATERAL;4;1;0,8;0,7014084507042254;0,04225352112676056;0,9953051643192489
inicio10s_razao_agressor_cv;1400000001,5451431;313043479,71248835;1086956521,8326547;0,8793010691624276;0,8793010691624276;ACIMA_LATERAL;4;1;0,8;0,7243478260869566;0,34347826086956523;0,991304347826087
inicio60s_saldo_agressor;22,2;0,1016949152542373;22,09830508474576;0,8724858617828741;0,8724858617828741;ACIMA_LATERAL;4;1;0,8;0,7830508474576272;0,3516949152542373;0,9491525423728814
inicio30s_imbalance_min;0,20709090909090908;0,33831398121652356;-0,1312230721256145;-0,8649936856887275;0,8649936856887275;ABAIXO_LATERAL;1;4;0,8;0,3084745762711864;0,0;0,9788135593220338
inicio10s_trades_vel_s;7,378852813454886;2,1128510263054077;5,266001787149478;0,8649595184271618;0,8649595184271618;ACIMA_LATERAL;4;1;0,8;0,7486956521739131;0,13043478260869565;0,9956521739130435
inicio5s_preco_var_pts;-170,0;7,746478873239437;-177,74647887323943;-0,839121897906875;0,839121897906875;ACIMA_LATERAL;4;1;0,8;0,6713615023474179;0,0;0,9154929577464789
inicio60s_delta_var;21,0;0,046610169491525424;20,953389830508474;0,8300310439559366;0,8300310439559366;ACIMA_LATERAL;4;1;0,8;0,7720338983050847;0,2966101694915254;0,9449152542372882
inicio10s_delta_var;-6,6;-0,0391304347826087;-6,5608695652173905;-0,7963189303530201;0,7963189303530201;ACIMA_LATERAL;4;1;0,8;0,7339130434782608;0,0;0,9652173913043478
inicio15s_spread_medio;1,2343763470049025;1,3574114197567904;-0,12303507275188785;-0,7906877304290362;0,7906877304290362;ABAIXO_LATERAL;1;4;0,8;0,2969957081545064;0,008583690987124463;0,8454935622317596
pre10s_last_size_max;6,4;1,9304347826086956;4,469565217391304;0,7822425101427842;0,7822425101427842;ACIMA_LATERAL;4;0;0,8;0,9104347826086956;0,7391304347826086;0,9956521739130435
inicio10s_delta_agressor_medio;0,2975468422233472;0,0042895592985110085;0,2932572829248362;0,7684592998574175;0,7684592998574175;ACIMA_LATERAL;4;1;0,8;0,731304347826087;0,26521739130434785;0,9391304347826087
inicio5s_spread_medio;1,2208852570650321;1,3656033156232645;-0,1447180585582324;-0,7316811148862774;0,7316811148862774;ABAIXO_LATERAL;1;4;0,8;0,26666666666666666;0,12206572769953052;0,6431924882629108
pre30s_delta_var;-13,2;-0,0211864406779661;-13,178813559322034;-0,7260999008907847;0,7260999008907847;ABAIXO_LATERAL;1;4;0,8;0,25338983050847463;0,038135593220338986;0,6483050847457628
inicio10s_duracao_s;8,3934;6,291873913043479;2,101526086956521;0,7232537283262627;0,7232537283262627;ACIMA_LATERAL;4;1;0,8;0,7469565217391305;0,3130434782608696;0,9739130434782609
inicio5s_razao_agressor_cv;1800000002,4639144;586854461,3331085;1213145541,130806;0,7147345032033494;0,7147345032033494;ACIMA_LATERAL;4;1;0,8;0,7183098591549296;0,23943661971830985;0,9671361502347418
