grupo;feature;qtd_movimentos;qtd_laterais;media_movimentos;mediana_movimentos;media_lateral;mediana_lateral;diferenca;cohen_d;cohen_d_abs;ks_stat;ks_pvalue;mann_whitney_pvalue;direcao;dna_forte_estatistico
ALTA;pre_10_0s_slope_spread_s;89;434;-0,005766959640808339;-0,006009721352159979;0,17352124710239716;0,00505404224041245;-0,1792882067432055;-0,09467923340791139;0,09467923340791139;0,2980634805571376;2,599131288426665e-06;0,009928440269416063;MENOR_NO_IMPULSO;False
ALTA;acel_spread_60_30_para_30_10_spread_pct_acima_2_diff;89;464;0,010125103349318284;0,0;0,0018698164420238184;0,0;0,008255286907294466;0,09118641078744871;0,09118641078744871;0,08608581944982566;0,6022396361154292;0,3830977741948214;MAIOR_NO_IMPULSO;False
ALTA;pre_120_60s_spread_q90;89;471;1,657865168539326;1,5;1,7057324840764334;1,75;-0,047867315537107435;-0,07719364026277109;0,07719364026277109;0,4360791049404804;2,1510686272742437e-13;1,97682343228429e-09;MENOR_NO_IMPULSO;False
ALTA;pre_30_0s_slope_spread_s;89;470;-0,0034328771995890315;-0,0016738773939076398;0,012813314073620925;-0,0006015309896750395;-0,016246191273209955;-0,07493195077083628;0,07493195077083628;0,208917045182883;0,0023942980527748335;0,0611067218885865;MENOR_NO_IMPULSO;False
ALTA;acel_spread_30_10_para_10_0_spread_max_diff;89;428;-0,1853932584269663;-0,25;-0,1308411214953271;0,0;-0,05455213693163921;-0,07487637220907709;0,07487637220907709;0,1040113409639819;0,3729071869519912;0,7998334991669189;MENOR_NO_IMPULSO;False
ALTA;acel_spread_30_10_para_10_0_spread_pct_acima_1_5_ratio;89;428;1,405200039939336;0,7519562902254943;1,2297751595695094;0,9942372782446313;0,17542488036982662;0,07460339958374831;0,07460339958374831;0,2664338968812349;4,151465586338927e-05;3,7639536354462705e-05;MAIOR_NO_IMPULSO;False
ALTA;acel_spread_60_30_para_30_10_spread_std_ratio;89;464;0,984819069322269;0,9728466984529539;1,004671975891827;0,9460821847442213;-0,01985290656955796;-0,05680105366404402;0,05680105366404402;0,14594633862843853;0,07408139730654137;0,9766000681720743;MENOR_NO_IMPULSO;False
ALTA;pre_60_30s_slope_spread_s;89;470;0,0005784960855395736;-0,0011906579868238688;0,012706785590153154;-0,0006451667645559532;-0,01212828950461358;-0,05592284814887087;0,05592284814887087;0,11816877838871631;0,22603107552902546;0,9962880293920805;MENOR_NO_IMPULSO;False
ALTA;acel_spread_60_30_para_30_10_spread_max_ratio;89;464;1,0024319727620148;1,0;0,9903340254094565;1,0;0,012097947352558314;0,04860214653872463;0,04860214653872463;0,13311216582719873;0,12781267026315385;0,6049259661570134;MAIOR_NO_IMPULSO;False
ALTA;acel_spread_60_para_15_spread_std_diff;89;458;-0,030748935772941695;-0,010522238722126986;-0,035355074955180824;-0,03165040353298057;0,004606139182239129;0,04854811599358868;0,04854811599358868;0,19044698493695109;0,007591926673836408;0,07850290566357641;MAIOR_NO_IMPULSO;False
ALTA;acel_spread_60_30_para_30_10_spread_pct_acima_1_5_diff;89;464;0,000820100115127594;0,0;0,010414858918967628;0,009692146089204934;-0,009594758803840035;-0,04559507381754887;0,04559507381754887;0,19490991863618756;0,0057816546741030084;0,6210979148297927;MENOR_NO_IMPULSO;False
ALTA;pre_30_10s_spread_std;89;464;0,328408184459933;0,2981603132628262;0,32379686092584864;0,31822537120448025;0,004611323534084333;0,04137521673331953;0,04137521673331953;0,20960867880666406;0,0023150001657399255;0,019226873232207217;MAIOR_NO_IMPULSO;False
ALTA;acel_spread_60_30_para_30_10_spread_medio_diff;89;464;0,002546173136928569;-0,0032051282051281937;0,008382729822032316;0,0018421052631578672;-0,005836556685103747;-0,03659956282198755;0,03659956282198755;0,13473459899263854;0,11985788437577999;0,95177816343377;MENOR_NO_IMPULSO;False
ALTA;acel_spread_60_30_para_30_10_spread_pct_acima_1_5_ratio;89;464;1,0982205620417598;0,8743169398907104;1,1249968739089515;1,0147257016013953;-0,02677631186719176;-0,03032261953616191;0,03032261953616191;0,243025958930647;0,00022647734933437728;0,000909554027989582;MENOR_NO_IMPULSO;False
