feature;operador;limite;regra;tp_movimentos;fn_movimentos;fp_laterais;tn_laterais;precision_real;recall;especificidade;cohen_d_abs
pre_30_10s_spread_mediana;<=;1,25;pre_30_10s_spread_mediana <= 1.250000;122;51;176;288;0,40939597315436244;0,7052023121387283;0,6206896551724138;0,7738781100878132
pre_30_0s_spread_mediana;<=;1,25;pre_30_0s_spread_mediana <= 1.250000;127;48;186;284;0,4057507987220447;0,7257142857142858;0,6042553191489362;0,7684253209877088
pre_30_0s_spread_mediana;<=;1,25;pre_30_0s_spread_mediana <= 1.250000;127;48;186;284;0,4057507987220447;0,7257142857142858;0,6042553191489362;0,7684253209877088
pre_60_0s_spread_mediana;<=;1,25;pre_60_0s_spread_mediana <= 1.250000;128;47;194;277;0,39751552795031053;0,7314285714285714;0,5881104033970276;0,721609272614476
pre_60_0s_spread_mediana;<=;1,25;pre_60_0s_spread_mediana <= 1.250000;128;47;194;277;0,39751552795031053;0,7314285714285714;0,5881104033970276;0,721609272614476
pre_60_30s_spread_mediana;<=;1,25;pre_60_30s_spread_mediana <= 1.250000;122;51;187;283;0,3948220064724919;0,7052023121387283;0,6021276595744681;0,699780222141046
pre_60_30s_spread_mediana;<=;1,25;pre_60_30s_spread_mediana <= 1.250000;122;51;187;283;0,3948220064724919;0,7052023121387283;0,6021276595744681;0,699780222141046
pre_120_60s_spread_mediana;<=;1,25;pre_120_60s_spread_mediana <= 1.250000;123;50;194;277;0,38801261829652994;0,7109826589595376;0,5881104033970276;0,6800336087662975
pre_120_60s_spread_mediana;<=;1,25;pre_120_60s_spread_mediana <= 1.250000;123;50;194;277;0,38801261829652994;0,7109826589595376;0,5881104033970276;0,6800336087662975
pre_60_0s_spread_min;<=;0,25;pre_60_0s_spread_min <= 0.250000;153;22;248;223;0,38154613466334164;0,8742857142857143;0,4734607218683652;0,6476040306668961
pre_60_0s_spread_min;<=;0,25;pre_60_0s_spread_min <= 0.250000;153;22;248;223;0,38154613466334164;0,8742857142857143;0,4734607218683652;0,6476040306668961
