regra_bloqueio,componentes,trades_bloqueados,pct_trades_bloqueados,losses_evitados,gains_perdidos,saldo_eventos,pontos_dos_trades_bloqueados,trades_restantes,resultado_novo,melhoria_resultado,pf_novo,melhoria_pf,expectancia_nova,winrate_novo,dd_novo,reducao_dd,score_rank
13a_features_tempo_real__w60__adv_delta_spread_minimo_15s_30s__slope >= -0.0036425358,1,146,73.73737373737373,55,91,-36,13360.000000007858,52,-5999.999999997817,-13360.000000007858,0.7222222222223232,-0.38997289972904936,-115.38461538457341,48.07692307692308,9759.9999999984,8399.999999998545,-19075.983739845797
13a_features_tempo_real__w60__adv_z_pre_15s_spread_medio__slope <= 0.019729454,1,164,82.82828282828282,64,100,-36,13120.00000000844,34,-5759.999999998399,-13120.00000000844,0.6000000000001111,-0.5121951219512615,-169.41176470583528,47.05882352941176,9999.999999998545,8159.999999998399,-19299.317073179758
13a_features_tempo_real__w60__pre_15s_spread_medio__slope <= 0.008960713,1,164,82.82828282828282,64,100,-36,13120.00000000844,34,-5759.999999998399,-13120.00000000844,0.6000000000001111,-0.5121951219512615,-169.41176470583528,47.05882352941176,9999.999999998545,8159.999999998399,-19299.317073179758
13a_features_tempo_real__last__pre_60s_volatilidade_close_pontos >= 192.06899,1,99,50.0,37,62,-25,14080.000000004657,99,-6719.999999994616,-14080.000000004657,0.8133333333334829,-0.2988617886178897,-67.87878787873349,54.54545454545454,15999.999999998545,2159.9999999983993,-19311.317073175953
13a_features_tempo_real__last__preco >= 27989.375,1,50,25.252525252525253,14,36,-22,14720.00000000262,148,-7359.9999999925785,-14720.00000000262,0.8647058823530775,-0.24748923959829505,-49.72972972967958,54.054054054054056,18319.9999999968,-159.99999999985448,-19404.493543761546
13a_features_tempo_real__w60__adv_delta_spread_minimo_15s_30s__delta <= 0.035119048,1,148,74.74747474747475,56,92,-36,12800.000000008004,50,-5439.999999997963,-12800.000000008004,0.7384615384616364,-0.3737335834897362,-108.79999999995925,48.0,13999.999999999272,4159.999999997672,-20024.24015010266
13a_features_tempo_real__w60__adv_delta_spread_minimo_15s_30s__first <= 0.14000484,1,158,79.7979797979798,61,97,-36,13840.000000008149,40,-6479.999999998108,-13840.000000008149,0.6142857142858269,-0.4979094076655457,-161.9999999999527,47.5,10559.9999999984,7599.999999998545,-20104.745644607985
13a_features_tempo_real__last__preco >= 27828.875,1,148,74.74747474747475,55,93,-38,13840.000000008149,50,-6479.999999998108,-13840.000000008149,0.7000000000000876,-0.41219512195128505,-129.59999999996217,46.0,10319.999999998254,7839.99999999869,-20129.31707317938
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__first >= 0.78725951,1,158,79.7979797979798,60,98,-38,13920.00000000844,40,-6559.999999998399,-13920.00000000844,0.6272727272728182,-0.48492239467855436,-163.99999999995998,45.0,9839.999999999418,8319.999999997526,-20254.95343681644
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta <= 0.34707626,1,99,50.0,35,64,-29,14240.000000005239,99,-6879.999999995198,-14240.000000005239,0.8170212765958724,-0.2951738453555002,-69.494949494901,52.52525252525253,16639.999999997963,1519.9999999989814,-20353.104307218895
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__first >= 0.81983595,1,148,74.74747474747475,56,92,-36,14720.000000007713,50,-7359.999999997672,-14720.000000007713,0.6461538461539581,-0.4660412757974145,-147.19999999995343,48.0,10719.999999998981,7439.999999997963,-20851.624765486875
