regra_bloqueio,componentes,trades_bloqueados,pct_trades_bloqueados,losses_evitados,gains_perdidos,saldo_eventos,pontos_dos_trades_bloqueados,trades_restantes,resultado_novo,melhoria_resultado,pf_novo,melhoria_pf,expectancia_nova,winrate_novo,dd_novo,reducao_dd,score_rank
(13a_features_tempo_real__last__preco <= 27901.75) E (13a_features_tempo_real__last__preco <= 27961.495),2,99,50.0,52,47,5,-13039.99999999578,99,20400.00000000582,13039.99999999578,1.8500000000002426,0.73780487804887,206.06060606066487,69.6969696969697,4879.999999998836,13279.999999998108,17272.68292682444
(13a_features_tempo_real__last__preco <= 27901.75) E (13a_features_tempo_real__last__preco <= 27989.375),2,99,50.0,52,47,5,-13039.99999999578,99,20400.00000000582,13039.99999999578,1.8500000000002426,0.73780487804887,206.06060606066487,69.6969696969697,4879.999999998836,13279.999999998108,17272.68292682444
(13a_features_tempo_real__last__preco <= 27865.528) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.34707626),2,34,17.17171717171717,23,11,12,-11919.999999998981,164,19280.000000009022,11919.999999998981,1.4084745762713775,0.2962794543200049,117.56097560981111,64.02439024390245,7599.999999997817,10559.999999999127,17195.76767259068
(13a_features_tempo_real__last__pre_30s_spread_minimo >= 1) E (13a_features_tempo_real__last__preco <= 27989.375),2,90,45.45454545454545,46,44,2,-13759.999999995489,108,21120.00000000553,13759.999999995489,1.7333333333335252,0.6211382113821526,195.55555555560676,66.66666666666666,6159.999999999127,11999.999999997817,17132.682926824018
(13a_features_tempo_real__last__preco <= 27961.495) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.60099524),2,27,13.636363636363635,20,7,13,-12399.999999999272,171,19760.000000009313,12399.999999999272,1.3983870967743812,0.2861919748230086,115.55555555561001,63.74269005847953,9999.999999997817,8159.999999999127,17113.71518489277
(13a_features_tempo_real__last__preco <= 27865.528) E (13a_features_tempo_real__last__preco <= 27881.5),2,66,33.33333333333333,38,28,10,-12159.999999997672,132,19520.000000007713,12159.999999997672,1.5545454545456736,0.442350332594301,147.8787878788463,66.66666666666666,6319.999999998981,11839.999999997963,17097.41019955354
(13a_features_tempo_real__last__preco <= 27865.528) E (13a_features_tempo_real__last__preco <= 27901.75),2,66,33.33333333333333,38,28,10,-12159.999999997672,132,19520.000000007713,12159.999999997672,1.5545454545456736,0.442350332594301,147.8787878788463,66.66666666666666,6319.999999998981,11839.999999997963,17097.41019955354
(13a_features_tempo_real__last__preco <= 27865.528) E (13a_features_tempo_real__last__preco <= 27934.05),2,66,33.33333333333333,38,28,10,-12159.999999997672,132,19520.000000007713,12159.999999997672,1.5545454545456736,0.442350332594301,147.8787878788463,66.66666666666666,6319.999999998981,11839.999999997963,17097.41019955354
(13a_features_tempo_real__last__preco <= 27865.528) E (13a_features_tempo_real__last__preco <= 27961.495),2,66,33.33333333333333,38,28,10,-12159.999999997672,132,19520.000000007713,12159.999999997672,1.5545454545456736,0.442350332594301,147.8787878788463,66.66666666666666,6319.999999998981,11839.999999997963,17097.41019955354
(13a_features_tempo_real__last__preco <= 27865.528) E (13a_features_tempo_real__last__preco <= 27989.375),2,66,33.33333333333333,38,28,10,-12159.999999997672,132,19520.000000007713,12159.999999997672,1.5545454545456736,0.442350332594301,147.8787878788463,66.66666666666666,6319.999999998981,11839.999999997963,17097.41019955354
(13a_features_tempo_real__last__preco <= 27881.5) E (13a_features_tempo_real__last__preco <= 27901.75),2,80,40.4040404040404,44,36,8,-12159.999999996944,118,19520.000000006985,12159.999999996944,1.6421052631581246,0.529910141206752,165.4237288136185,67.79661016949152,4879.999999998836,13279.999999998108,17085.946084720334
(13a_features_tempo_real__last__preco <= 27881.5) E (13a_features_tempo_real__last__preco <= 27934.05),2,80,40.4040404040404,44,36,8,-12159.999999996944,118,19520.000000006985,12159.999999996944,1.6421052631581246,0.529910141206752,165.4237288136185,67.79661016949152,4879.999999998836,13279.999999998108,17085.946084720334
(13a_features_tempo_real__last__preco <= 27881.5) E (13a_features_tempo_real__last__preco <= 27961.495),2,80,40.4040404040404,44,36,8,-12159.999999996944,118,19520.000000006985,12159.999999996944,1.6421052631581246,0.529910141206752,165.4237288136185,67.79661016949152,4879.999999998836,13279.999999998108,17085.946084720334
(13a_features_tempo_real__last__preco <= 27881.5) E (13a_features_tempo_real__last__preco <= 27989.375),2,80,40.4040404040404,44,36,8,-12159.999999996944,118,19520.000000006985,12159.999999996944,1.6421052631581246,0.529910141206752,165.4237288136185,67.79661016949152,4879.999999998836,13279.999999998108,17085.946084720334
(13a_features_tempo_real__last__pre_60s_volatilidade_close_pontos <= 192.06899) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.34707626),2,57,28.78787878787879,31,26,5,-12799.99999999709,141,20160.00000000713,12799.99999999709,1.4941176470589983,0.3819225251076257,142.9787234043059,63.829787234042556,6159.999999999127,11999.999999997817,17085.1535150609
(13a_features_tempo_real__last__preco <= 27989.375) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.34707626),2,77,38.88888888888889,41,36,5,-12639.999999996508,121,20000.00000000655,12639.999999996508,1.6097560975611753,0.4975609756098027,165.28925619840123,66.11570247933885,4959.999999999127,13199.999999997817,17074.536585361624
(13a_features_tempo_real__last__preco <= 27901.75) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.54031236),2,25,12.626262626262626,19,6,13,-11839.999999999418,173,19200.00000000946,11839.999999999418,1.3809523809525686,0.26875725900119596,110.98265895959224,63.58381502890174,8719.999999997526,9439.999999999418,17025.25435539993
