variavel,n_stop,n_nao_stop,media_stop,media_nao_stop,mediana_stop,mediana_nao_stop,diferenca_medias,efeito_padronizado,correlacao_resultado,abs_efeito
05_estrutura_eventos_enriquecidos__w60__favor_120s__delta,51,65,34.31372549019608,-293.84615384615387,0.0,-50.0,328.15987933634995,0.31333974406425513,-0.22921091268023447,0.31333974406425513
05_estrutura_eventos_enriquecidos__last__ajuste_estrutura_compra,29,34,1.9310344827586208,-0.47058823529411764,8.0,-4.0,2.4016227180527383,0.3132719232007617,-0.1275927403608565,0.3132719232007617
06_evolucao_score_eventos__last__ajuste_estrutura_compra,29,34,1.9310344827586208,-0.47058823529411764,8.0,-4.0,2.4016227180527383,0.3132719232007617,-0.1275927403608565,0.3132719232007617
05_estrutura_eventos_enriquecidos__w60__spread_pct_30__slope,39,53,-0.005091272930942534,0.006096350155603972,-0.008857646241951213,0.007214085599267379,-0.011187623086546507,-0.3128020861526791,0.14301641628581374,0.3128020861526791
06_evolucao_score_eventos__w60__spread_pct_30__slope,39,53,-0.005091272930942534,0.006096350155603972,-0.008857646241951213,0.007214085599267379,-0.011187623086546507,-0.3128020861526791,0.14301641628581374,0.3128020861526791
05_estrutura_eventos_enriquecidos__w60__amplitude_swings__mean,51,65,14.300760935687409,12.760827228327228,12.477272727272727,12.055555555555555,1.5399337073601806,0.3121373916396464,-0.0679149501372376,0.3121373916396464
06_evolucao_score_eventos__w60__amplitude_swings__mean,51,65,14.300760935687409,12.760827228327228,12.477272727272727,12.055555555555555,1.5399337073601806,0.3121373916396464,-0.0679149501372376,0.3121373916396464
estados_c7_dna_fluxo_v5_2__w60__spread_pct_60__first,57,81,0.4938431319766029,0.40353662142976515,0.5242718446601942,0.3613963039014374,0.09030651054683775,0.3119338771492924,-0.0750198367648858,0.3119338771492924
05_estrutura_eventos_enriquecidos__w60__spread_pct_15__slope,39,53,-0.003435072093061862,0.012868514511435395,-0.008357216720019113,0.009523809523809528,-0.016303586604497256,-0.3114151498710806,0.08092292450540169,0.3114151498710806
06_evolucao_score_eventos__w60__spread_pct_15__slope,39,53,-0.003435072093061862,0.012868514511435395,-0.008357216720019113,0.009523809523809528,-0.016303586604497256,-0.3114151498710806,0.08092292450540169,0.3114151498710806
bloqueios_c7_dna_fluxo_v5_2__w60__score_venda_base__min,49,69,25.612244897959183,33.666666666666664,14.0,27.0,-8.054421768707481,-0.3109261890045475,0.06006471476970646,0.3109261890045475
07_bloqueios_auditoria_completa__w60__score_venda_base__slope,27,30,-2.86058201058201,1.013290043290042,-5.76678691839057e-17,-0.25000000000000155,-3.873872053872052,-0.3107771527221915,0.12862533619359748,0.3107771527221915
07_bloqueios_auditoria_completa__w60__mov_contra_30s__slope,27,30,-60.264550264550216,17.38690476190475,-112.50000000000003,22.499999999999986,-77.65145502645497,-0.30904042327305103,0.14250475491442594,0.30904042327305103
bloqueios_c7_dna_fluxo_v5_2__w60__score_venda__slope,32,41,-2.6475446428571425,1.1398268398268385,-0.4821428571428572,0.10909090909091015,-3.787371482683981,-0.309023471553061,0.15087363144024765,0.309023471553061
estados_c7_dna_fluxo_v5_2__last__score_spread,34,46,2.5588235294117645,3.8043478260869565,0.0,3.0,-1.245524296675192,-0.3085082114458432,0.18311596901000446,0.3085082114458432
estados_c7_dna_fluxo_v5_2__last__venda10,34,46,68.94117647058823,112.30434782608695,35.0,47.5,-43.36317135549872,-0.30837714236236347,0.26381533773979854,0.30837714236236347
estados_c7_dna_fluxo_v5_2__last__campanha_entradas,34,46,0.35294117647058826,0.17391304347826086,0.0,0.0,0.1790281329923274,0.3081657678141736,-0.12979444226209347,0.3081657678141736
05_estrutura_eventos_enriquecidos__w60__hard_gates_compra_ok__changed,51,65,0.0784313725490196,0.18461538461538463,0.0,0.0,-0.10618401206636502,-0.30793363499245857,0.16750193984506379,0.30793363499245857
06_evolucao_score_eventos__w60__hard_gates_compra_ok__changed,51,65,0.0784313725490196,0.18461538461538463,0.0,0.0,-0.10618401206636502,-0.30793363499245857,0.16750193984506379,0.30793363499245857
05_estrutura_eventos_enriquecidos__w60__sucesso250_60s__ever_true,51,65,0.9215686274509803,0.8153846153846154,1.0,1.0,0.10618401206636496,0.30793363499245835,-0.1675019398450637,0.30793363499245835
07_bloqueios_auditoria_completa__w60__score_venda__mean,43,54,39.59147286821705,48.608080808080814,40.75,55.96666666666667,-9.01660793986376,-0.3075148557876816,0.0678396364720922,0.3075148557876816
