dna_id,classe_dna,sequencia,lado_norm,aparicoes,gains,stops,winrate_pct,wilson_95_inferior_pct,profit_factor_r,expectancia_r,sequencia_max_stops,max_drawdown_r,dias_ativos,taxa_acerto_alvo_pct
DNA_17E1B7EE1B7F,DNA_GAIN,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_POS,COMPRA,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,0.0
DNA_17E1B7EE1B7F,DNA_GAIN,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_POS,VENDA,3,2,1,66.66666666666667,20.765495512648787,2.0,0.3333333333333333,1,1.0,3,66.66666666666667
DNA_184A7F891A9B,DNA_GAIN,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,COMPRA,2,1,1,50.0,9.452865480086611,1.0,0.0,1,1.0,2,50.0
DNA_184A7F891A9B,DNA_GAIN,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,VENDA,7,4,3,57.142857142857146,25.04542304090258,1.3333333333333333,0.14285714285714285,1,1.0,4,57.142857142857146
DNA_1CD7FBA80F50,DNA_GAIN,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,COMPRA,6,4,2,66.66666666666667,29.998832134152863,2.0,0.3333333333333333,2,2.0,2,66.66666666666667
DNA_1CD7FBA80F50,DNA_GAIN,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,VENDA,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,0.0
DNA_1D4899DEA527,DNA_GAIN,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_SUBIU,VENDA,5,3,2,60.0,23.0719932208837,1.5,0.2,2,2.0,3,60.0
DNA_1DB7D86FEC6F,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,COMPRA,5,1,4,20.0,3.6223160969787456,0.25,-0.6,4,4.0,3,80.0
DNA_1E793D741215,DNA_GAIN,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,VENDA,7,6,1,85.71428571428571,48.686549668097015,6.0,0.7142857142857143,1,1.0,3,85.71428571428571
DNA_1F43317DBDF1,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,COMPRA,15,3,12,20.0,7.04742064361041,0.25,-0.6,11,11.0,3,80.0
