dna_id,classe_dna,sequencia,dias_ativos,motores_ativos,lados_ativos,horas_ativas,taxa_alvo_media_dias_pct,taxa_alvo_desvio_dias_pp,cv_taxa_alvo_diaria,concentracao_melhor_dia_pct,hora_modal,motor_modal,lado_modal
DNA_4AF1D5F50CC2,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,4,2,2,19,75.625,20.18469407744393,0.2669050456521511,33.333333333333336,12,motor_c7_dna_fluxo_v5_2,VENDA
DNA_4B7CA5C2C782,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_CAIU,2,1,1,3,100.0,0.0,0.0,66.66666666666667,12,motor_operacional_c7_v3_1,COMPRA
DNA_4F2977ACA9F6,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,3,1,1,4,100.0,0.0,0.0,50.0,12,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_4FA4C1B43082,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,4,1,2,10,96.875,5.412658773652741,0.05587260669577023,57.142857142857146,21,motor_operacional_c7_v3_1,COMPRA
DNA_50E975B46E3D,DNA_GAIN,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU,3,1,1,6,50.0,40.824829046386306,0.8164965809277261,33.333333333333336,10,motor_operacional_c7_v3_1,VENDA
DNA_527C537E9BBB,DNA_STOP,CAMPANHA_ENTRADAS_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,4,1,1,6,62.5,41.4578098794425,0.66332495807108,50.0,21,motor_operacional_c7_v3_1,VENDA
DNA_52D724F93647,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,2,1,1,2,50.0,50.0,1.0,50.0,11,motor_operacional_c7_v3_1,VENDA
DNA_52E0D6369D55,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,4,2,2,10,81.25,20.72890493972125,0.2551249838734923,33.333333333333336,14,motor_c7_dna_fluxo_v5_2,VENDA
DNA_532BE335AAA8,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,3,1,2,11,83.80952380952381,11.971242942834794,0.14283869420427878,43.75,13,motor_c7_dna_fluxo_v5_2,VENDA
DNA_55AC3640C003,DNA_GAIN,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,3,1,2,7,53.333333333333336,41.096093353126506,0.7705517503711219,55.55555555555556,16,motor_c7_dna_fluxo_v5_2,VENDA
