reconstructed_dna_id,rank_reconstruction,source_type,source_candidate_id,gene_signature,families,taxa_gain_pct,lift_gain,reconstruction_score_0_100,narrative_id,assignment_method,operational_status
RDNA_6631B09943FE,29,PAIR,CPAIR_B05D81C8C9D0,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10 + NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P25,NUM|NUM,44.6078431373,1.39906417112,91.0859779689,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_B5AFCE84C21E,30,PAIR,CPAIR_F187F93F1CBA,NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P10 + NUM::MAX_DRAWDOWN_R::ATE_P10,NUM|NUM,53.4653465347,1.67686768677,91.0537985908,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_2FD911496ECA,31,PAIR,CPAIR_003F673F2013,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10 + NUM::DIAS_ACIMA_50_PCT::ATE_P10,NUM|NUM,42.2960725076,1.32655863774,91.0026749782,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_5DDBB856F1AC,32,PAIR,CPAIR_5A718F58A4B0,NUM::CV_TAXA_ALVO_DIARIA::ATE_P90 + NUM::MAX_DRAWDOWN_R::ATE_P10,NUM|NUM,54.5454545455,1.71074380165,90.9913814639,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_65758229B354,33,PAIR,CPAIR_68D748D2077F,NUM::MAX_DRAWDOWN_R::POSITIVO + NUM::MAX_DRAWDOWN_R::ATE_P10,NUM|NUM,52.5210084034,1.64724980901,90.9378422626,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_BCAA51E31E9C,34,PAIR,CPAIR_ED80A5C569ED,NUM::TAXA_ALVO_MAX_DIA_PCT::ATE_P10 + NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P25,NUM|NUM,48.6111111111,1.52462121212,90.9262806171,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_E5956FD51B55,35,PAIR,CPAIR_800085598848,NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P25 + NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P25,NUM|NUM,43.6823104693,1.37003610108,90.8913290304,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_CC01C1B39DD4,36,PAIR,CPAIR_F06745CFB78E,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10 + NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P25,NUM|NUM,42.6523297491,1.33773216031,90.8809221833,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_957E80EA37D5,37,PAIR,CPAIR_2B0DA3905449,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_SEGUNDA_METADE_PCT::POSITIVO,NUM|NUM,52.1929824561,1.63696172249,90.8341010437,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_F1CF7B35254F,38,PAIR,CPAIR_6EB8DBFD0555,NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P25 + NUM::TAXA_ALVO_MAX_DIA_PCT::ATE_P10,NUM|NUM,47.6821192053,1.4954846478,90.8314395391,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_54A42B19EB48,39,PAIR,CPAIR_023B64EE2321,NUM::TAXA_SEGUNDA_METADE_PCT::ATE_P10 + NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P25,NUM|NUM,47.1698113208,1.47941680961,90.7781398721,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_67DF89291746,40,PAIR,CPAIR_1E43D78F2709,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_ALVO_MAX_DIA_PCT::ATE_P10,NUM|NUM,49.5726495726,1.55477855478,90.737570376,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_DA033CD0F892,41,PAIR,CPAIR_B0E90FED0CAC,NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P25 + NUM::DIAS_ACIMA_50_PCT::ATE_P10,NUM|NUM,43.9330543933,1.37790034234,90.6917557248,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_F279B735A5B3,42,PAIR,CPAIR_E077C865D3BF,NUM::TAXA_SEGUNDA_METADE_PCT::ATE_P10 + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,53.3980582524,1.67475728155,90.6810616545,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_B1CE66E3C2C4,43,PAIR,CPAIR_535F17322D33,NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P25 + NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P25,NUM|NUM,41.5335463259,1.30264304386,90.6443398687,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_8CC721576C02,44,PAIR,CPAIR_5CDDAA0B9641,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P50 + NUM::MAX_DRAWDOWN_R::ATE_P10,NUM|NUM,50.9090909091,1.59669421488,90.6303397554,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_02F9E349CC9D,45,PAIR,CPAIR_A7F8EBAA1893,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10 + NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P10,NUM|NUM,45.3488372093,1.42230443975,90.6165978552,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_B5BD14A7027D,46,PAIR,CPAIR_24D879E03AF1,NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P10 + NUM::MAX_DRAWDOWN_R::ATE_P10,NUM|NUM,50.9615384615,1.59833916084,90.5790299801,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_0D48643C8AE9,47,PAIR,CPAIR_9843717F5396,NUM::DIAS_ACIMA_58_PCT::ATE_P25 + NUM::MAX_DRAWDOWN_R::ATE_P10,NUM|NUM,52.6011560694,1.64976353127,90.5784443393,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_1D14F318AFFC,48,PAIR,CPAIR_7DD230F5A938,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,47.3429951691,1.48484848485,90.5622053628,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_F06A1D3042EE,49,PAIR,CPAIR_DAC2F4F845EA,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_ALVO_DESVIO_DIAS_PP::ATE_P90,NUM|NUM,54.1666666667,1.69886363636,90.5070602939,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_AA5126EE1A29,50,PAIR,CPAIR_9C37508718CD,NUM::DIAS_ACIMA_58_PCT::ATE_P10 + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,49.5495495495,1.55405405405,90.479529084,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_D2C4B2E0D374,51,PAIR,CPAIR_38963B56C28A,NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P10 + NUM::DIAS_ACIMA_50_PCT::ATE_P10,NUM|NUM,45.8100558659,1.43676993398,90.4757241368,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_8134E28388C6,52,PAIR,CPAIR_582067CA1427,NUM::DIAS_ACIMA_58_PCT::ATE_P10 + NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10,NUM|NUM,45.6790123457,1.43265993266,90.4556398202,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_FA7CA757FC3E,53,PAIR,CPAIR_D53C88A90345,NUM::TAXA_ALVO_DESVIO_DIAS_PP::POSITIVO + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,47.572815534,1.4920564872,90.4357226644,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_CC7165A2E819,54,PAIR,CPAIR_C2E4623098D3,NUM::TAXA_PRIMEIRA_METADE_PCT::ATE_P25 + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,54.7368421053,1.71674641148,90.4233379436,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_70E8CA72BEA4,55,PAIR,CPAIR_C6D063B7F139,NUM::TAXA_ALVO_MAX_DIA_PCT::ATE_P10 + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,47.3282442748,1.48438584316,90.4153627566,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_08C7C8D92D3B,56,PAIR,CPAIR_AD853B7C6EF3,NUM::TAXA_SEGUNDA_METADE_PCT::ATE_P10 + NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P25,NUM|NUM,48.4615384615,1.51993006993,90.3846293682,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_C53E917297AF,57,PAIR,CPAIR_4E208C183AA6,NUM::TAXA_SEGUNDA_METADE_PCT::ATE_P10 + NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10,NUM|NUM,42.600896861,1.33611903791,90.3486822614,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_91A8765F0853,58,PAIR,CPAIR_80603053AC5C,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10 + NUM::TAXA_PRIMEIRA_METADE_PCT::ATE_P25,NUM|NUM,47.4820143885,1.48920863309,90.321164157,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_6BEE18AD4546,59,PAIR,CPAIR_47F333DF593A,NUM::DIAS_ACIMA_58_PCT::ATE_P10 + NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P10,NUM|NUM,45.9627329193,1.44155844156,90.3081110481,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_FA4BDE7EA75C,60,PAIR,CPAIR_08AE65749A26,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10 + NUM::TAXA_ALVO_MAX_DIA_PCT::ATE_P10,NUM|NUM,46.1538461538,1.44755244755,90.3016534982,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_B8758616195D,61,PAIR,CPAIR_F08C9479D2A0,NUM::DIAS_ACIMA_58_PCT::ATE_P10 + NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P25,NUM|NUM,52.0408163265,1.63218923933,90.2506797024,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_E072255E7D2A,62,PAIR,CPAIR_1CD533B8C1F0,NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P10 + NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P25,NUM|NUM,47.619047619,1.49350649351,90.2137518275,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_68FA07EABAAA,63,PAIR,CPAIR_A399C2C9BF27,NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P10 + NUM::DIAS_ACIMA_50_PCT::ATE_P10,NUM|NUM,47.1014492754,1.47727272727,90.2111717048,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_E42D796E6281,64,PAIR,CPAIR_BC60ABE2E7D7,NUM::DIAS_ACIMA_58_PCT::ATE_P10 + NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P25,NUM|NUM,51.0416666667,1.60085227273,90.2062175705,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_F76CB7982432,65,PAIR,CPAIR_B308937C468E,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_PRIMEIRA_METADE_PCT::POSITIVO,NUM|NUM,52.9914529915,1.662004662,90.1944106696,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_CCD0A791EA7D,66,PAIR,CPAIR_0C8F0CC58CC0,NUM::CV_TAXA_ALVO_DIARIA::ATE_P90 + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,55.6818181818,1.74638429752,90.1558024416,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_CB147EEF1B32,67,PAIR,CPAIR_C264EA4224D4,NUM::SCORE_DESCOBERTA_16E::ATE_P10 + NUM::TAXA_ALVO_MIN_DIA_PCT::POSITIVO,NUM|NUM,48.0225988701,1.5061633282,90.1490179775,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_A4C6220CCFE5,68,PAIR,CPAIR_DD9956D9661B,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10 + NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P10,NUM|NUM,46.5648854962,1.46044413602,90.1399610545,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_9C1FD5C99558,69,PAIR,CPAIR_D9B7CA80D24B,NUM::LADOS_ATIVOS::ATE_P10 + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,46.9696969697,1.47314049587,90.1386250304,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_C901DFD40D9A,70,PAIR,CPAIR_4016D7E22ACC,NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P10 + NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P10,NUM|NUM,46.8531468531,1.46948506039,90.1119200597,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_DE76647F4A27,71,PAIR,CPAIR_428164376893,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10 + NUM::TAXA_ALVO_DESVIO_DIAS_PP::ATE_P90,NUM|NUM,43.3673469388,1.36015769944,90.1030590518,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_B91174E6F962,72,PAIR,CPAIR_B41D541A3551,NUM::DIAS_ACIMA_58_PCT::ATE_P10 + NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P10,NUM|NUM,46.8531468531,1.46948506039,90.1026893281,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_6AF819505FC3,73,PAIR,CPAIR_78A44BE03D47,NUM::MOTORES_ATIVOS::ATE_P10 + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,47.7611940299,1.49796472185,90.0946971886,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
