dna_id,tipo_causa_stop,classe_dna,sequencia,stops_associados,dias_com_stop,motores_com_stop,lados_com_stop,hora_mais_frequente,concentracao_hora_pct
DNA_6D38AE4E4F5E,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,10,3,1,1,8,20.0
DNA_959B8C8FDFED,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_CAIU,10,4,2,1,12,20.0
DNA_6FA612A87BD0,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,10,2,1,2,10,20.0
DNA_11B91A053005,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,10,4,1,2,14,20.0
DNA_46CF488DD681,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,10,4,1,1,11,20.0
DNA_AE4B58C7ADDC,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU,10,4,1,1,13,30.0
DNA_4620A3000395,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,10,4,2,1,11,20.0
DNA_F8D212E57228,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL,10,4,1,1,1,20.0
DNA_DC03BCF36072,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL,10,4,1,1,1,20.0
DNA_F39FC5A561B0,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,CAMPANHA_ENTRADAS_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,10,3,1,2,12,20.0
DNA_0CDC5A943B30,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,10,4,2,1,10,20.0
DNA_A61F45077ACD,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,9,4,1,2,4,11.11111111111111
DNA_37FF78005FE9,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,9,4,2,1,10,22.22222222222222
DNA_48D4B430C7FE,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,9,4,1,2,12,22.22222222222222
DNA_34233F371B93,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,9,4,2,1,11,22.22222222222222
DNA_400FB800A654,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,9,3,1,1,14,22.22222222222222
DNA_AE9EA427A06E,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,9,3,2,1,11,33.33333333333333
DNA_47B9488E2463,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,CAMPANHA_ENTRADAS_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,9,3,2,1,10,22.22222222222222
DNA_0F9D05010CF8,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,9,4,2,2,13,44.44444444444444
DNA_117945C7E9CD,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,9,4,2,1,21,44.44444444444444
DNA_DD51CE690AD9,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,9,3,1,2,11,22.22222222222222
DNA_38B853F46855,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,9,4,1,2,15,33.33333333333333
DNA_13989E9F24E9,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,9,3,1,1,1,22.22222222222222
DNA_3A810E62CFAB,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,9,4,1,2,5,22.22222222222222
