dna_id,classe_dna,escopo,motor_catalogo,lado_catalogo,tamanho,sequencia,evidencia_16e,score_descoberta_16e,aparicoes,gains,stops,winrate_pct,wilson_95_inferior_pct,profit_factor_r,expectancia_r,sequencia_max_stops,max_drawdown_r,dias_ativos,classe_alvo,acertos_classe_alvo,taxa_acerto_classe_alvo_pct,taxa_erro_classe_alvo_pct
DNA_E851B889C196,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,6,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,FRACA,40.0337,6,1,5,16.666666666666668,3.005258587173029,0.2,-0.6666666666666666,3,4.0,4,STOP,5,83.33333333333333,16.66666666666667
DNA_FBEDD15D0B95,DNA_STOP,LADO,,VENDA,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,FRACA,57.5355,6,1,5,16.666666666666668,3.005258587173029,0.2,-0.6666666666666666,5,5.0,3,STOP,5,83.33333333333333,16.66666666666667
DNA_369172CCFB17,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,FRACA,40.6753,6,1,5,16.666666666666668,3.005258587173029,0.2,-0.6666666666666666,5,5.0,4,STOP,5,83.33333333333333,16.66666666666667
DNA_6BD1657438B4,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,3,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU,FRACA,40.0337,6,1,5,16.666666666666668,3.005258587173029,0.2,-0.6666666666666666,4,4.0,4,STOP,5,83.33333333333333,16.66666666666667
DNA_AC5D9139B93E,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,FRACA,51.4652,6,1,5,16.666666666666668,3.005258587173029,0.2,-0.6666666666666666,4,4.0,2,STOP,5,83.33333333333333,16.66666666666667
DNA_752D85E593E4,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,2,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_SUBIU,MODERADA,48.8783,6,1,5,16.666666666666668,3.005258587173029,0.2,-0.6666666666666666,5,5.0,3,STOP,5,83.33333333333333,16.66666666666667
DNA_B325CC709842,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,3,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU,MODERADA,46.6346,6,1,5,16.666666666666668,3.005258587173029,0.2,-0.6666666666666666,5,5.0,2,STOP,5,83.33333333333333,16.66666666666667
DNA_37FF78005FE9,DNA_STOP,LADO,,COMPRA,2,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,MODERADA,42.335,11,2,9,18.181818181818183,5.136660067100062,0.2222222222222222,-0.6363636363636364,4,7.0,4,STOP,9,81.81818181818181,18.181818181818187
DNA_EF2D362205FC,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,2,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CAMPANHA_ENTRADAS_ESTAVEL,MODERADA,46.6346,11,2,9,18.181818181818183,5.136660067100062,0.2222222222222222,-0.6363636363636364,5,8.0,3,STOP,9,81.81818181818181,18.181818181818187
DNA_38B853F46855,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,3,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,FRACA,55.5776,11,2,9,18.181818181818183,5.136660067100062,0.2222222222222222,-0.6363636363636364,5,7.0,4,STOP,9,81.81818181818181,18.181818181818187
DNA_117945C7E9CD,DNA_STOP,LADO,,VENDA,4,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,FRACA,56.1959,11,2,9,18.181818181818183,5.136660067100062,0.2222222222222222,-0.6363636363636364,5,7.0,4,STOP,9,81.81818181818181,18.181818181818187
DNA_47B9488E2463,DNA_STOP,LADO,,COMPRA,2,CAMPANHA_ENTRADAS_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,FRACA,54.3814,11,2,9,18.181818181818183,5.136660067100062,0.2222222222222222,-0.6363636363636364,6,8.0,4,STOP,9,81.81818181818181,18.181818181818187
DNA_13989E9F24E9,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,5,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,FRACA,45.1793,11,2,9,18.181818181818183,5.136660067100062,0.2222222222222222,-0.6363636363636364,5,7.0,3,STOP,9,81.81818181818181,18.181818181818187
DNA_59B7A0672312,DNA_STOP,GLOBAL,,,3,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,MODERADA,60.3936,38,7,31,18.42105263157895,9.22164845325749,0.22580645161290322,-0.631578947368421,8,24.0,4,STOP,31,81.57894736842105,18.421052631578945
DNA_F7CCC5382459,DNA_STOP,LADO,,VENDA,3,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_SUBIU,MODERADA,46.7672,16,3,13,18.75,6.591478773586764,0.23076923076923078,-0.625,7,10.0,4,STOP,13,81.25,18.75
DNA_532BE335AAA8,DNA_STOP,MOTOR,motor_c7_dna_fluxo_v5_2,,2,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,MODERADA,47.3301,16,3,13,18.75,6.591478773586764,0.23076923076923078,-0.625,7,10.0,3,STOP,13,81.25,18.75
DNA_8922D4425ADE,DNA_STOP,LADO,,COMPRA,2,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CAMPANHA_ENTRADAS_ESTAVEL,MODERADA,49.6486,16,3,13,18.75,6.591478773586764,0.23076923076923078,-0.625,7,11.0,3,STOP,13,81.25,18.75
DNA_5D6059A4B67E,DNA_STOP,MOTOR,motor_c7_dna_fluxo_v5_2,,4,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,MODERADA,54.2121,21,4,17,19.047619047619047,7.667440615177304,0.23529411764705882,-0.6190476190476191,9,14.0,4,STOP,17,80.95238095238095,19.04761904761905
DNA_4AF1D5F50CC2,DNA_STOP,GLOBAL,,,3,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,MODERADA,48.2813,30,6,24,20.0,9.504978102401235,0.25,-0.6,10,19.0,4,STOP,24,80.0,20.0
DNA_C7B9F0A98B44,DNA_STOP,MOTOR,motor_c7_dna_fluxo_v5_2,,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,MODERADA,50.279,20,4,16,20.0,8.065635327119997,0.25,-0.6,8,13.0,4,STOP,16,80.0,20.0
DNA_DCF64349B81C,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,2,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,MODERADA,56.5131,15,3,12,20.0,7.04742064361041,0.25,-0.6,6,10.0,3,STOP,12,80.0,20.0
DNA_9EFBCD98CBED,DNA_STOP,LADO,,COMPRA,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,MODERADA,45.7506,15,3,12,20.0,7.04742064361041,0.25,-0.6,11,11.0,3,STOP,12,80.0,20.0
DNA_2F81D1AF8F8D,DNA_STOP,MOTOR,motor_c7_dna_fluxo_v5_2,,3,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU,MODERADA,46.0967,15,3,12,20.0,7.04742064361041,0.25,-0.6,8,9.0,3,STOP,12,80.0,20.0
DNA_36F144CF65A6,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,FRACA,54.7384,10,2,8,20.0,5.668094798069328,0.25,-0.6,7,7.0,4,STOP,8,80.0,20.0
DNA_0404D240F778,DNA_STOP,LADO,,COMPRA,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,FRACA,50.7091,5,1,4,20.0,3.6223160969787456,0.25,-0.6,4,4.0,2,STOP,4,80.0,20.0
DNA_BFC95FE3F66A,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,2,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_SUBIU,FRACA,46.5954,5,1,4,20.0,3.6223160969787456,0.25,-0.6,4,4.0,3,STOP,4,80.0,20.0
DNA_8B1A08BDD880,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,FRACA,44.2542,5,1,4,20.0,3.6223160969787456,0.25,-0.6,3,3.0,2,STOP,4,80.0,20.0
DNA_5B29B166BC76,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,FRACA,44.2542,5,1,4,20.0,3.6223160969787456,0.25,-0.6,4,4.0,3,STOP,4,80.0,20.0
DNA_6E65B1A267EF,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,5,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,FRACA,52.7406,5,1,4,20.0,3.6223160969787456,0.25,-0.6,4,4.0,3,STOP,4,80.0,20.0
DNA_1DB7D86FEC6F,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,5,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,FRACA,51.4652,5,1,4,20.0,3.6223160969787456,0.25,-0.6,4,4.0,3,STOP,4,80.0,20.0
DNA_575CA6CFE943,DNA_STOP,MOTOR,motor_c7_dna_fluxo_v5_2,,4,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL,MODERADA,56.3021,5,1,4,20.0,3.6223160969787456,0.25,-0.6,3,3.0,2,STOP,4,80.0,20.0
DNA_801455E7B190,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,FRACA,45.4333,5,1,4,20.0,3.6223160969787456,0.25,-0.6,3,3.0,3,STOP,4,80.0,20.0
