data_hora;pre60_trades_vel_s;pre60_volume_vel_s;pre5_trades_var;pre5_volume_var;pre5_ticks_var;pre5_amplitude_pts;pre15_ask_size_medio;preco_alerta;fut15_direcao;fut15_movimento_max_pts;fut15_alta_pts;fut15_queda_pts;fut15_liquido_pts;fut30_direcao;fut30_movimento_max_pts;fut30_alta_pts;fut30_queda_pts;fut30_liquido_pts;fut60_direcao;fut60_movimento_max_pts;fut60_alta_pts;fut60_queda_pts;fut60_liquido_pts;fut120_direcao;fut120_movimento_max_pts;fut120_alta_pts;fut120_queda_pts;fut120_liquido_pts;fut300_direcao;fut300_movimento_max_pts;fut300_alta_pts;fut300_queda_pts;fut300_liquido_pts;ok_pre60_trades_vel_s;limite_pre60_trades_vel_s;ok_pre60_volume_vel_s;limite_pre60_volume_vel_s;ok_pre5_trades_var;limite_pre5_trades_var;ok_pre5_volume_var;limite_pre5_volume_var;ok_pre5_ticks_var;limite_pre5_ticks_var;ok_pre5_amplitude_pts;limite_pre5_amplitude_pts;ok_pre15_ask_size_medio;limite_pre15_ask_size_medio;score_dna;dna_detectado;motivos_dna;data_analisada;grupo_alerta;inicio_cluster;fim_cluster;alertas_no_cluster
2026-07-14 03:12:30;2,0443874634002666;2,269616590724025;12,0;12,0;405,0;350,0;1,75;29614,0;ALTA;275,0;275,0;0,0;125,0;NEUTRO;300,0;300,0;300,0;175,0;ALTA;1025,0;1025,0;300,0;975,0;ALTA;2200,0;2200,0;300,0;1700,0;ALTA;2350,0;2350,0;300,0;1150,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;7;True;pre60_trades_vel_s=2.0444>=1.8064 | pre60_volume_vel_s=2.2696>=1.8901 | pre5_trades_var=12.0000>=10.0000 | pre5_volume_var=12.0000>=12.0000 | pre5_ticks_var=405.0000>=275.0000 | pre5_amplitude_pts=350.0000>=250.0000 | pre15_ask_size_medio=1.7500>=1.4930;2026-07-14;15;2026-07-14 03:12:05;2026-07-14 03:36:25;69
2026-07-14 03:43:10;2,1151370240941696;2,354239470296119;19,0;19,0;241,0;275,0;1,5;29596,75;QUEDA;400,0;50,0;400,0;-250,0;QUEDA;400,0;50,0;400,0;-250,0;QUEDA;400,0;200,0;400,0;-150,0;QUEDA;400,0;200,0;400,0;50,0;QUEDA;1725,0;200,0;1725,0;-1375,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;False;275,0;True;250,0;True;1,4929577464788732;6;True;pre60_trades_vel_s=2.1151>=1.8064 | pre60_volume_vel_s=2.3542>=1.8901 | pre5_trades_var=19.0000>=10.0000 | pre5_volume_var=19.0000>=12.0000 | pre5_amplitude_pts=275.0000>=250.0000 | pre15_ask_size_medio=1.5000>=1.4930;2026-07-14;16;2026-07-14 03:42:55;2026-07-14 03:45:55;6
2026-07-14 03:55:10;1,762472885032538;1,9367833901456462;21,0;22,0;164,0;350,0;1,542857142857143;29570,25;ALTA;75,0;75,0;50,0;75,0;ALTA;600,0;600,0;50,0;500,0;ALTA;875,0;875,0;50,0;600,0;ALTA;875,0;875,0;600,0;-125,0;QUEDA;2400,0;875,0;2400,0;-2275,0;False;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;False;275,0;True;250,0;True;1,4929577464788732;5;True;pre60_volume_vel_s=1.9368>=1.8901 | pre5_trades_var=21.0000>=10.0000 | pre5_volume_var=22.0000>=12.0000 | pre5_amplitude_pts=350.0000>=250.0000 | pre15_ask_size_medio=1.5429>=1.4930;2026-07-14;17;2026-07-14 03:55:10;2026-07-14 03:55:10;1
2026-07-14 04:00:15;3,7494986135574893;4,185486824436267;26,0;36,0;381,0;450,0;1,7538461538461538;29548,25;QUEDA;275,0;250,0;275,0;250,0;ALTA;550,0;550,0;275,0;550,0;ALTA;1325,0;1325,0;275,0;1175,0;ALTA;1825,0;1825,0;275,0;775,0;ALTA;3850,0;3850,0;275,0;3500,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;7;True;pre60_trades_vel_s=3.7495>=1.8064 | pre60_volume_vel_s=4.1855>=1.8901 | pre5_trades_var=26.0000>=10.0000 | pre5_volume_var=36.0000>=12.0000 | pre5_ticks_var=381.0000>=275.0000 | pre5_amplitude_pts=450.0000>=250.0000 | pre15_ask_size_medio=1.7538>=1.4930;2026-07-14;18;2026-07-14 04:00:05;2026-07-14 04:16:00;55
2026-07-14 04:19:05;1,2155869059033009;1,2669497329132995;26,0;29,0;568,0;350,0;1,7014925373134329;29594,5;QUEDA;625,0;0,0;625,0;-625,0;QUEDA;625,0;75,0;625,0;75,0;QUEDA;675,0;175,0;675,0;-475,0;QUEDA;1175,0;625,0;1175,0;375,0;QUEDA;1900,0;625,0;1900,0;375,0;False;1,806442979961864;False;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;5;True;pre5_trades_var=26.0000>=10.0000 | pre5_volume_var=29.0000>=12.0000 | pre5_ticks_var=568.0000>=275.0000 | pre5_amplitude_pts=350.0000>=250.0000 | pre15_ask_size_medio=1.7015>=1.4930;2026-07-14;19;2026-07-14 04:19:05;2026-07-14 04:22:25;4
2026-07-14 04:26:25;1,9501396721657094;1,967708498041076;59,0;60,0;302,0;525,0;1,6568627450980393;29616,5;QUEDA;150,0;125,0;150,0;50,0;NEUTRO;150,0;150,0;150,0;25,0;QUEDA;700,0;475,0;700,0;175,0;QUEDA;1275,0;475,0;1275,0;-1225,0;QUEDA;2775,0;475,0;2775,0;-1700,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;7;True;pre60_trades_vel_s=1.9501>=1.8064 | pre60_volume_vel_s=1.9677>=1.8901 | pre5_trades_var=59.0000>=10.0000 | pre5_volume_var=60.0000>=12.0000 | pre5_ticks_var=302.0000>=275.0000 | pre5_amplitude_pts=525.0000>=250.0000 | pre15_ask_size_medio=1.6569>=1.4930;2026-07-14;20;2026-07-14 04:26:25;2026-07-14 04:31:05;10
2026-07-14 04:38:30;0,7962962962962963;0,8888888888888888;17,0;20,0;465,0;625,0;1,8857142857142857;29604,5;QUEDA;225,0;100,0;225,0;-225,0;QUEDA;225,0;100,0;225,0;-75,0;QUEDA;325,0;100,0;325,0;-200,0;QUEDA;875,0;100,0;875,0;-650,0;QUEDA;3450,0;100,0;3450,0;-2775,0;False;1,806442979961864;False;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;5;True;pre5_trades_var=17.0000>=10.0000 | pre5_volume_var=20.0000>=12.0000 | pre5_ticks_var=465.0000>=275.0000 | pre5_amplitude_pts=625.0000>=250.0000 | pre15_ask_size_medio=1.8857>=1.4930;2026-07-14;21;2026-07-14 04:38:30;2026-07-14 04:38:30;1
2026-07-14 04:50:05;1,8684669757275563;1,9389751634908603;19,0;19,0;530,0;700,0;1,6170212765957446;29598,0;QUEDA;350,0;100,0;350,0;-350,0;ALTA;575,0;575,0;350,0;350,0;ALTA;575,0;575,0;350,0;50,0;ALTA;1100,0;1100,0;350,0;425,0;ALTA;1325,0;1325,0;350,0;325,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;7;True;pre60_trades_vel_s=1.8685>=1.8064 | pre60_volume_vel_s=1.9390>=1.8901 | pre5_trades_var=19.0000>=10.0000 | pre5_volume_var=19.0000>=12.0000 | pre5_ticks_var=530.0000>=275.0000 | pre5_amplitude_pts=700.0000>=250.0000 | pre15_ask_size_medio=1.6170>=1.4930;2026-07-14;22;2026-07-14 04:46:05;2026-07-14 04:55:05;11
2026-07-14 05:00:10;2,516998479313419;2,621873415951478;23,0;29,0;509,0;475,0;1,5634920634920635;29578,5;QUEDA;900,0;150,0;900,0;-900,0;QUEDA;1325,0;150,0;1325,0;-825,0;QUEDA;1325,0;1175,0;1325,0;1025,0;QUEDA;1325,0;1175,0;1325,0;1075,0;ALTA;2500,0;2500,0;1575,0;1025,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;7;True;pre60_trades_vel_s=2.5170>=1.8064 | pre60_volume_vel_s=2.6219>=1.8901 | pre5_trades_var=23.0000>=10.0000 | pre5_volume_var=29.0000>=12.0000 | pre5_ticks_var=509.0000>=275.0000 | pre5_amplitude_pts=475.0000>=250.0000 | pre15_ask_size_medio=1.5635>=1.4930;2026-07-14;23;2026-07-14 05:00:05;2026-07-14 05:20:35;85
2026-07-14 05:23:55;1,2464837367561103;1,2464837367561103;17,0;15,0;297,0;800,0;1,7;29600,5;QUEDA;375,0;75,0;375,0;0,0;ALTA;425,0;425,0;375,0;-300,0;QUEDA;925,0;425,0;925,0;-800,0;ALTA;1050,0;1050,0;925,0;975,0;ALTA;3150,0;3150,0;925,0;1850,0;False;1,806442979961864;False;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;5;True;pre5_trades_var=17.0000>=10.0000 | pre5_volume_var=15.0000>=12.0000 | pre5_ticks_var=297.0000>=275.0000 | pre5_amplitude_pts=800.0000>=250.0000 | pre15_ask_size_medio=1.7000>=1.4930;2026-07-14;24;2026-07-14 05:23:55;2026-07-14 05:23:55;1
2026-07-14 05:27:50;2,941068343075622;3,3270835631042974;38,0;44,0;318,0;700,0;1,5894736842105264;29625,0;QUEDA;250,0;75,0;250,0;25,0;QUEDA;250,0;75,0;250,0;-250,0;QUEDA;1050,0;150,0;1050,0;-750,0;QUEDA;1150,0;150,0;1150,0;-600,0;QUEDA;1925,0;350,0;1925,0;-1050,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;7;True;pre60_trades_vel_s=2.9411>=1.8064 | pre60_volume_vel_s=3.3271>=1.8901 | pre5_trades_var=38.0000>=10.0000 | pre5_volume_var=44.0000>=12.0000 | pre5_ticks_var=318.0000>=275.0000 | pre5_amplitude_pts=700.0000>=250.0000 | pre15_ask_size_medio=1.5895>=1.4930;2026-07-14;25;2026-07-14 05:27:15;2026-07-14 05:30:35;11
2026-07-14 05:36:20;2,215979480378985;2,28577410968226;41,0;44,0;493,0;425,0;1,8360655737704918;29629,0;NEUTRO;225,0;225,0;225,0;0,0;ALTA;375,0;375,0;225,0;325,0;ALTA;800,0;800,0;225,0;0,0;QUEDA;825,0;800,0;825,0;-825,0;QUEDA;1575,0;800,0;1575,0;-500,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;7;True;pre60_trades_vel_s=2.2160>=1.8064 | pre60_volume_vel_s=2.2858>=1.8901 | pre5_trades_var=41.0000>=10.0000 | pre5_volume_var=44.0000>=12.0000 | pre5_ticks_var=493.0000>=275.0000 | pre5_amplitude_pts=425.0000>=250.0000 | pre15_ask_size_medio=1.8361>=1.4930;2026-07-14;26;2026-07-14 05:33:50;2026-07-14 05:37:50;7
2026-07-14 05:42:10;2,417255485310524;2,6775753068055037;14,0;22,0;377,0;675,0;1,6944444444444444;29611,0;QUEDA;325,0;275,0;325,0;-225,0;QUEDA;325,0;275,0;325,0;50,0;ALTA;725,0;725,0;325,0;425,0;ALTA;725,0;725,0;325,0;575,0;QUEDA;1400,0;725,0;1400,0;-1325,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;7;True;pre60_trades_vel_s=2.4173>=1.8064 | pre60_volume_vel_s=2.6776>=1.8901 | pre5_trades_var=14.0000>=10.0000 | pre5_volume_var=22.0000>=12.0000 | pre5_ticks_var=377.0000>=275.0000 | pre5_amplitude_pts=675.0000>=250.0000 | pre15_ask_size_medio=1.6944>=1.4930;2026-07-14;27;2026-07-14 05:41:05;2026-07-14 05:42:10;5
2026-07-14 05:51:05;1,564734583999327;1,6152098931605956;22,0;22,0;375,0;500,0;1,65;29576,0;QUEDA;450,0;0,0;450,0;-175,0;QUEDA;450,0;150,0;450,0;150,0;ALTA;850,0;850,0;450,0;825,0;ALTA;975,0;975,0;450,0;600,0;ALTA;1825,0;1825,0;450,0;1125,0;False;1,806442979961864;False;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;5;True;pre5_trades_var=22.0000>=10.0000 | pre5_volume_var=22.0000>=12.0000 | pre5_ticks_var=375.0000>=275.0000 | pre5_amplitude_pts=500.0000>=250.0000 | pre15_ask_size_medio=1.6500>=1.4930;2026-07-14;28;2026-07-14 05:51:05;2026-07-14 05:51:45;2
2026-07-14 06:00:20;2,0028073538977713;2,0712794001848747;21,0;23,0;470,0;200,0;1,5208333333333333;29561,25;QUEDA;350,0;250,0;350,0;175,0;ALTA;800,0;800,0;350,0;800,0;ALTA;1400,0;1400,0;350,0;950,0;ALTA;2450,0;2450,0;350,0;2075,0;ALTA;4300,0;4300,0;350,0;3925,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;False;250,0;True;1,4929577464788732;6;True;pre60_trades_vel_s=2.0028>=1.8064 | pre60_volume_vel_s=2.0713>=1.8901 | pre5_trades_var=21.0000>=10.0000 | pre5_volume_var=23.0000>=12.0000 | pre5_ticks_var=470.0000>=275.0000 | pre15_ask_size_medio=1.5208>=1.4930;2026-07-14;29;2026-07-14 06:00:05;2026-07-14 06:01:05;5
2026-07-14 06:11:30;2,147409254641175;2,4244943197561653;45,0;52,0;589,0;1050,0;1,8205128205128205;29625,5;QUEDA;1075,0;0,0;1075,0;-875,0;QUEDA;1425,0;0,0;1425,0;-1125,0;QUEDA;1425,0;0,0;1425,0;-375,0;QUEDA;1425,0;25,0;1425,0;-425,0;QUEDA;1425,0;400,0;1425,0;-400,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;7;True;pre60_trades_vel_s=2.1474>=1.8064 | pre60_volume_vel_s=2.4245>=1.8901 | pre5_trades_var=45.0000>=10.0000 | pre5_volume_var=52.0000>=12.0000 | pre5_ticks_var=589.0000>=275.0000 | pre5_amplitude_pts=1050.0000>=250.0000 | pre15_ask_size_medio=1.8205>=1.4930;2026-07-14;30;2026-07-14 06:04:50;2026-07-14 06:11:50;7
