escopo,motor_id,lado_norm,classe_dna,tamanho,sequencia,historias_total,historias_gain,historias_stop,ocorrencias,suporte_total_pct,suporte_gain_pct,suporte_stop_pct,confianca_gain_pct,confianca_stop_pct,lift_gain,lift_stop,diferenca_suporte_pp,log_odds_gain,evidencia,score_dna,dna_id
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU,451,3,9,12,2.660754,1.694915,3.284672,25.0,75.0,0.637006,1.234489,-1.589756,-0.578839,FRACA,44.8917,DNA_0FC8CD8EFED0
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_GAIN,6,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,612,12,7,19,3.104575,4.918033,1.902174,63.157895,36.842105,1.584124,0.6127,3.015859,0.952197,FRACA,44.8455,DNA_A2C25249A193
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,1284,7,18,25,1.94704,1.303538,2.409639,28.0,72.0,0.669497,1.23759,-1.1061,-0.584328,MODERADA,44.6223,DNA_11B91A053005
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,672,9,21,30,4.464286,3.071672,5.540897,30.0,70.0,0.688055,1.241161,-2.469225,-0.585566,MODERADA,44.4844,DNA_B22497B06940
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,3,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,1284,8,20,28,2.180685,1.489758,2.677376,28.571429,71.428571,0.68316,1.227768,-1.187618,-0.562678,MODERADA,44.2805,DNA_0ACFAB4AE0CD
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,3,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,1284,8,20,28,2.180685,1.489758,2.677376,28.571429,71.428571,0.68316,1.227768,-1.187618,-0.562678,MODERADA,44.2805,DNA_C18E60093772
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,1284,8,20,28,2.180685,1.489758,2.677376,28.571429,71.428571,0.68316,1.227768,-1.187618,-0.562678,MODERADA,44.2805,DNA_CB717D7599A0
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,419,3,9,12,2.863962,1.875,3.474903,25.0,75.0,0.654687,1.21332,-1.599903,-0.534495,FRACA,44.2542,DNA_5B29B166BC76
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,5,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,419,3,9,12,2.863962,1.875,3.474903,25.0,75.0,0.654687,1.21332,-1.599903,-0.534495,FRACA,44.2542,DNA_15753472146B
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,419,3,9,12,2.863962,1.875,3.474903,25.0,75.0,0.654687,1.21332,-1.599903,-0.534495,FRACA,44.2542,DNA_24FF85DB4724
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,419,3,9,12,2.863962,1.875,3.474903,25.0,75.0,0.654687,1.21332,-1.599903,-0.534495,FRACA,44.2542,DNA_B245A3082638
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,419,3,9,12,2.863962,1.875,3.474903,25.0,75.0,0.654687,1.21332,-1.599903,-0.534495,FRACA,44.2542,DNA_8B1A08BDD880
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,2,CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_SUBIU,419,3,9,12,2.863962,1.875,3.474903,25.0,75.0,0.654687,1.21332,-1.599903,-0.534495,FRACA,44.2542,DNA_63F4D930DAD8
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_SUBIU,672,8,4,12,1.785714,2.730375,1.055409,66.666667,33.333333,1.52901,0.591029,1.674966,0.910005,FRACA,44.1685,DNA_3B02ABC63B44
LADO,,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,1123,13,30,43,3.829029,2.765957,4.594181,30.232558,69.767442,0.722365,1.199829,-1.828223,-0.505465,MODERADA,44.0616,DNA_9B7A4D78E305
GLOBAL,,,DNA_GAIN,6,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,2154,20,12,32,1.485608,2.28833,0.9375,62.5,37.5,1.540332,0.631055,1.35083,0.88977,MODERADA,43.921,DNA_FD7242040785
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,612,9,22,31,5.065359,3.688525,5.978261,29.032258,70.967742,0.728186,1.180224,-2.289736,-0.476052,MODERADA,43.6888,DNA_67BF56E6F6F7
LADO,,COMPRA,DNA_STOP,2,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU,1031,13,31,44,4.267701,3.217822,4.944179,29.545455,70.454545,0.753994,1.158511,-1.726357,-0.426204,MODERADA,43.547,DNA_6BFF2F641F08
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_STOP,5,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,451,4,11,15,3.325942,2.259887,4.014599,26.666667,73.333333,0.679473,1.207056,-1.754712,-0.520394,FRACA,43.4077,DNA_A158C44E2462
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_STOP,2,AJUSTE_ESTRUTURA_VENDA_SUBIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,451,4,11,15,3.325942,2.259887,4.014599,26.666667,73.333333,0.679473,1.207056,-1.754712,-0.520394,FRACA,43.4077,DNA_498725606F18
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU,672,3,8,11,1.636905,1.023891,2.110818,27.272727,72.727273,0.625504,1.289518,-1.086927,-0.641358,FRACA,43.3082,DNA_4A8B95C90CC1
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL,672,3,8,11,1.636905,1.023891,2.110818,27.272727,72.727273,0.625504,1.289518,-1.086927,-0.641358,FRACA,43.3082,DNA_E744B5FCC88E
LADO,,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,1123,17,37,54,4.808549,3.617021,5.666156,31.481481,68.518519,0.752206,1.178351,-2.049135,-0.455077,MODERADA,43.2639,DNA_6135DE744E37
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,5,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,1284,14,8,22,1.713396,2.607076,1.07095,63.636364,36.363636,1.521585,0.625046,1.536126,0.87952,MODERADA,43.2057,DNA_1CD7FBA80F50
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,5,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_SUBIU,870,7,4,11,1.264368,2.077151,0.750469,63.636364,36.363636,1.642838,0.593553,1.326682,0.982152,FRACA,43.1674,DNA_37F259E0AF51
LADO,,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL,1031,7,18,25,2.42483,1.732673,2.870813,28.0,72.0,0.714554,1.183923,-1.13814,-0.475424,MODERADA,43.0284,DNA_896C5CCD29FD
MOTOR,motor_operacional_c7_v3_1,,DNA_STOP,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,870,7,18,25,2.873563,2.077151,3.377111,28.0,72.0,0.722849,1.175235,-1.299959,-0.458337,MODERADA,42.8906,DNA_3E46707908B4
LADO,,COMPRA,DNA_STOP,4,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL,1031,8,20,28,2.71581,1.980198,3.189793,28.571429,71.428571,0.729137,1.174527,-1.209595,-0.453683,MODERADA,42.6872,DNA_9E3D83F3DB3A
GLOBAL,,,DNA_GAIN,6,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,2154,18,11,29,1.346332,2.059497,0.859375,62.068966,37.931034,1.529709,0.638308,1.200122,0.868948,MODERADA,42.6473,DNA_354C40710B58
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,612,5,13,18,2.941176,2.04918,3.532609,27.777778,72.222222,0.696721,1.201087,-1.483428,-0.50297,FRACA,42.6313,DNA_6D38AE4E4F5E
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_STOP,2,CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_CAIU,451,5,13,18,3.991131,2.824859,4.744526,27.777778,72.222222,0.707784,1.188767,-1.919667,-0.481905,FRACA,42.6068,DNA_A25328664744
LADO,,COMPRA,DNA_GAIN,6,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,1031,17,11,28,2.71581,4.207921,1.754386,60.714286,39.285714,1.549417,0.64599,2.453535,0.884196,MODERADA,42.5562,DNA_DD440C958DC6
