variavel,elegivel_regra,motivo
13a_features_tempo_real__pre60__pre_60s_bid_size_medio_soma__first,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__pre_60s_bid_size_medio_soma__last,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__pre_60s_bid_size_medio_soma__delta,True,OK
13a_features_tempo_real__pre60__pre_60s_bid_size_medio_soma__range,True,OK
13a_features_tempo_real__pre60__pre_60s_bid_size_medio_soma__ret_pct,True,OK
13a_features_tempo_real__pre60__pre_60s_bid_size_medio_soma__pos_range,True,OK
13a_features_tempo_real__pre60__pre_60s_bid_size_medio_soma__dist_media,True,OK
13a_features_tempo_real__pre60__pre_60s_bid_size_medio_soma__recuo_max,True,OK
13a_features_tempo_real__pre60__pre_60s_bid_size_medio_soma__repique_min,True,OK
13a_features_tempo_real__pre60__pre_60s_bid_size_medio_soma__slope,True,OK
13a_features_tempo_real__pre60__pre_60s_volatilidade_close_pontos__mean,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__pre_60s_volatilidade_close_pontos__min,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__pre_60s_volatilidade_close_pontos__max,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__pre_60s_volatilidade_close_pontos__std,True,OK
13a_features_tempo_real__pre60__pre_60s_volatilidade_close_pontos__first,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__pre_60s_volatilidade_close_pontos__last,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__pre_60s_volatilidade_close_pontos__delta,True,OK
13a_features_tempo_real__pre60__pre_60s_volatilidade_close_pontos__range,True,OK
13a_features_tempo_real__pre60__pre_60s_volatilidade_close_pontos__ret_pct,True,OK
13a_features_tempo_real__pre60__pre_60s_volatilidade_close_pontos__pos_range,True,OK
13a_features_tempo_real__pre60__pre_60s_volatilidade_close_pontos__dist_media,True,OK
13a_features_tempo_real__pre60__pre_60s_volatilidade_close_pontos__recuo_max,True,OK
13a_features_tempo_real__pre60__pre_60s_volatilidade_close_pontos__repique_min,True,OK
13a_features_tempo_real__pre60__pre_60s_volatilidade_close_pontos__slope,True,OK
13a_features_tempo_real__pre60__preco__mean,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__preco__min,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__preco__max,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__preco__std,True,OK
13a_features_tempo_real__pre60__preco__first,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__preco__last,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__preco__delta,True,OK
13a_features_tempo_real__pre60__preco__range,True,OK
13a_features_tempo_real__pre60__preco__ret_pct,True,OK
13a_features_tempo_real__pre60__preco__pos_range,True,OK
13a_features_tempo_real__pre60__preco__dist_media,True,OK
13a_features_tempo_real__pre60__preco__recuo_max,True,OK
13a_features_tempo_real__pre60__preco__repique_min,True,OK
13a_features_tempo_real__pre60__preco__slope,True,OK
13a_features_tempo_real__post15__n,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__adv_delta_spread_minimo_15s_30s__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__adv_delta_spread_minimo_15s_30s__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__adv_delta_spread_minimo_15s_30s__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__adv_delta_spread_minimo_15s_30s__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__adv_ratio_volatilidade_close_pontos_15s_60s__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__adv_ratio_volatilidade_close_pontos_15s_60s__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__adv_ratio_volatilidade_close_pontos_15s_60s__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__adv_ratio_volatilidade_close_pontos_15s_60s__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__adv_z_pre_15s_spread_medio__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__adv_z_pre_15s_spread_medio__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__adv_z_pre_15s_spread_medio__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__adv_z_pre_15s_spread_medio__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_15s_spread_medio__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_15s_spread_medio__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_15s_spread_medio__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_15s_spread_medio__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_15s_spread_minimo__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_15s_spread_minimo__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_15s_spread_minimo__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_15s_spread_minimo__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_30s_spread_minimo__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_30s_spread_minimo__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_30s_spread_minimo__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_30s_spread_minimo__range,False,FUTURO_OU_RESULTADO
