variavel,n_stop,n_nao_stop,media_stop,media_nao_stop,mediana_stop,mediana_nao_stop,diferenca_medias,efeito_padronizado,correlacao_resultado,abs_efeito
05_estrutura_eventos_enriquecidos__pre60__ajuste_estrutura_compra__range,51,65,7.215686274509804,7.015384615384615,4.0,4.0,0.2003016591251887,0.028418315187318206,-0.011775717973615226,0.028418315187318206
06_evolucao_score_eventos__pre60__ajuste_estrutura_compra__range,51,65,7.215686274509804,7.015384615384615,4.0,4.0,0.2003016591251887,0.028418315187318206,-0.011775717973615226,0.028418315187318206
05_estrutura_eventos_enriquecidos__pre60__qtd_hard_gates_compra_ok__delta,51,65,0.13725490196078433,0.2,0.0,0.0,-0.06274509803921569,-0.028341563591035682,0.06231295110830116,0.028341563591035682
06_evolucao_score_eventos__pre60__qtd_hard_gates_compra_ok__delta,51,65,0.13725490196078433,0.2,0.0,0.0,-0.06274509803921569,-0.028341563591035682,0.06231295110830116,0.028341563591035682
estados_c7_dna_fluxo_v5_2__pre60__rompimento_venda__first,61,86,-8.922131147540984,-9.203488372093023,-7.0,-6.625,0.28135722455203904,0.028249011356477036,-0.02056003579954429,0.028249011356477036
05_estrutura_eventos_enriquecidos__pre60__f_spread__slope,39,53,0.005315517815517795,0.0004574042309891289,0.002272727272727293,-1.0507920739455759e-16,0.004858113584528667,0.02816599820703805,-0.043814625433413,0.02816599820703805
05_estrutura_eventos_enriquecidos__pre60__spread_atual__slope,39,53,0.005315517815517795,0.0004574042309891289,0.002272727272727293,-1.0507920739455759e-16,0.004858113584528667,0.02816599820703805,-0.043814625433413,0.02816599820703805
06_evolucao_score_eventos__pre60__f_spread__slope,39,53,0.005315517815517795,0.0004574042309891289,0.002272727272727293,-1.0507920739455759e-16,0.004858113584528667,0.02816599820703805,-0.043814625433413,0.02816599820703805
06_evolucao_score_eventos__pre60__spread_atual__slope,39,53,0.005315517815517795,0.0004574042309891289,0.002272727272727293,-1.0507920739455759e-16,0.004858113584528667,0.02816599820703805,-0.043814625433413,0.02816599820703805
estados_c7_dna_fluxo_v5_2__pre60__rompimento_venda__slope,48,72,0.4324573863636363,0.3668605699855701,0.264583333333333,0.5263257575757573,0.06559681637806619,0.028130276262788318,-0.0610917571788471,0.028130276262788318
05_estrutura_eventos_enriquecidos__pre60__spread_max_30__min,51,65,2.4019607843137254,2.423076923076923,2.25,2.25,-0.02111613876319751,-0.027886271973189665,0.08543815630567249,0.027886271973189665
06_evolucao_score_eventos__pre60__spread_max_30__min,51,65,2.4019607843137254,2.423076923076923,2.25,2.25,-0.02111613876319751,-0.027886271973189665,0.08543815630567249,0.027886271973189665
estados_c7_dna_fluxo_v5_2__pre60__score_compra_base__slope,48,72,-0.23161525974025898,-0.43020983645983724,0.6109307359307341,-0.6893939393939378,0.19859457671957825,0.027882304055859803,0.040942367600503855,0.027882304055859803
estados_c7_dna_fluxo_v5_2__pre60__rompimento_venda__recuo_max,61,86,-5.540983606557377,-5.348837209302325,-2.5,-2.75,-0.19214639725505211,-0.027840681374311085,-0.0663214447107104,0.027840681374311085
05_estrutura_eventos_enriquecidos__pre60__qtd_hard_gates_venda_ok__delta,51,65,0.058823529411764705,0.12307692307692308,0.0,0.0,-0.06425339366515838,-0.027838509151848243,-0.03405695426937505,0.027838509151848243
06_evolucao_score_eventos__pre60__qtd_hard_gates_venda_ok__delta,51,65,0.058823529411764705,0.12307692307692308,0.0,0.0,-0.06425339366515838,-0.027838509151848243,-0.03405695426937505,0.027838509151848243
05_estrutura_eventos_enriquecidos__pre60__topo_anterior__dist_media,51,65,0.2641178946325061,0.4307875457875735,0.0,0.0,-0.16666965115506738,-0.027773570135461046,-0.014035407078820287,0.027773570135461046
06_evolucao_score_eventos__pre60__topo_anterior__dist_media,51,65,0.2641178946325061,0.4307875457875735,0.0,0.0,-0.16666965115506738,-0.027773570135461046,-0.014035407078820287,0.027773570135461046
05_estrutura_eventos_enriquecidos__pre60__compra10__slope,39,53,-4.0603452103452105,-4.5262721555174386,-0.38333333333332875,-0.9999999999999944,0.4659269451722281,0.027301249158600355,0.01241773737193863,0.027301249158600355
06_evolucao_score_eventos__pre60__compra10__slope,39,53,-4.0603452103452105,-4.5262721555174386,-0.38333333333332875,-0.9999999999999944,0.4659269451722281,0.027301249158600355,0.01241773737193863,0.027301249158600355
estados_c7_dna_fluxo_v5_2__pre60__eficiencia_swings__std,61,86,0.07186212660644517,0.07312520172919754,0.06964171550423959,0.07433820912123051,-0.0012630751227523662,-0.027258784359302235,0.013068244730198271,0.027258784359302235
05_estrutura_eventos_enriquecidos__pre60__desloc_120s__std,51,65,448.8770554436772,460.03050527758745,344.3463084821576,345.50687402713135,-11.153449833910258,-0.027177938160249646,0.05404015281955074,0.027177938160249646
06_evolucao_score_eventos__pre60__desloc_120s__std,51,65,448.8770554436772,460.03050527758745,344.3463084821576,345.50687402713135,-11.153449833910258,-0.027177938160249646,0.05404015281955074,0.027177938160249646
05_estrutura_eventos_enriquecidos__pre60__sucesso250_30s__true_count,51,65,3.235294117647059,3.169230769230769,3.0,3.0,0.0660633484162898,0.027157412846564123,-0.04864958421323274,0.027157412846564123
05_estrutura_eventos_enriquecidos__pre60__campanha_pullback__transitions,51,65,0.09803921568627451,0.1076923076923077,0.0,0.0,-0.00965309200603319,-0.02706278919560713,0.04382822536709056,0.02706278919560713
06_evolucao_score_eventos__pre60__campanha_pullback__transitions,51,65,0.09803921568627451,0.1076923076923077,0.0,0.0,-0.00965309200603319,-0.02706278919560713,0.04382822536709056,0.02706278919560713
05_estrutura_eventos_enriquecidos__pre60__aprovado__true_pct,51,65,14.220354808590102,14.945665445665446,0.0,0.0,-0.7253106370753439,-0.027061757585626477,0.10517142708148315,0.027061757585626477
