regra_bloqueio,componentes,variaveis,validacao_temporal,score_rank,treino_trades_base,treino_trades_bloqueados,treino_losses_evitados,treino_gains_perdidos,treino_resultado_base,treino_resultado_novo,treino_melhoria_resultado,treino_pf_base,treino_pf_novo,treino_melhoria_pf,treino_dd_base,treino_dd_novo,treino_reducao_dd,treino_expectancia_nova,treino_winrate_novo,teste_trades_base,teste_trades_bloqueados,teste_losses_evitados,teste_gains_perdidos,teste_resultado_base,teste_resultado_novo,teste_melhoria_resultado,teste_pf_base,teste_pf_novo,teste_melhoria_pf,teste_dd_base,teste_dd_novo,teste_reducao_dd,teste_expectancia_nova,teste_winrate_novo,estabilidade_resultado,saldo_eventos_teste,tipo_regra,candidata_conservadora
13a_features_tempo_real__pre60__pre_15s_spread_medio__first >= 1.5345332,1,13a_features_tempo_real__pre60__pre_15s_spread_medio__first,False,-1696.2566844941507,144,96,44,52,-2239.9999999928696,-639.9999999972351,1599.9999999956344,0.9562500000001393,0.9600000000001728,0.00375000000003356,18159.999999996944,11359.999999999127,6799.999999997817,-13.333333333275732,58.333333333333336,63,13,5,8,9520.000000003347,7760.000000002765,-1760.000000000582,1.540909090909281,1.570588235294321,0.029679144385039935,5439.999999999418,3279.9999999995634,2159.9999999998545,155.2000000000553,66.0,-1760.000000000582,-3,SIMPLES,False
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__std <= 0,1,13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__std,False,-1740.363636364246,144,20,10,10,-2239.9999999928696,-479.9999999937427,1759.9999999991269,0.9562500000001393,0.9888888888890337,0.032638888888894435,18159.999999996944,15999.99999999709,2159.9999999998545,-3.8709677418850217,56.451612903225815,63,3,0,3,9520.000000003347,7840.000000003056,-1680.000000000291,1.540909090909281,1.4454545454547192,-0.09545454545456189,5439.999999999418,5439.999999999418,0.0,130.6666666667176,63.33333333333333,-1680.000000000291,-3,SIMPLES,False
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__range <= 0,1,13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__range,False,-1740.363636364246,144,20,10,10,-2239.9999999928696,-479.9999999937427,1759.9999999991269,0.9562500000001393,0.9888888888890337,0.032638888888894435,18159.999999996944,15999.99999999709,2159.9999999998545,-3.8709677418850217,56.451612903225815,63,3,0,3,9520.000000003347,7840.000000003056,-1680.000000000291,1.540909090909281,1.4454545454547192,-0.09545454545456189,5439.999999999418,5439.999999999418,0.0,130.6666666667176,63.33333333333333,-1680.000000000291,-3,SIMPLES,False
13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__recuo_max <= -0.041512507,1,13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__recuo_max,False,-1792.7272727288882,144,29,11,18,-2239.9999999928696,-5439.999999994325,-3200.000000001455,0.9562500000001393,0.871698113207681,-0.08455188679245829,18159.999999996944,16479.99999999738,1679.9999999995634,-47.304347826037606,53.91304347826087,63,11,4,7,9520.000000003347,10080.000000002474,559.9999999991269,1.540909090909281,1.7000000000001718,0.15909090909089074,5439.999999999418,5359.9999999998545,79.99999999956344,193.84615384620142,65.38461538461539,-3200.000000001455,-3,SIMPLES,False
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__dist_media >= 0.045351335,1,13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__dist_media,False,-1815.7860962577593,144,15,7,8,-2239.9999999928696,-2399.9999999934516,-160.00000000058208,0.9562500000001393,0.9473684210527752,-0.008881578947364077,18159.999999996944,16879.99999999738,1279.9999999995634,-18.604651162739934,55.81395348837209,63,13,5,8,9520.000000003347,8720.00000000262,-800.0000000007276,1.540909090909281,1.641176470588428,0.1002673796791469,5439.999999999418,4319.999999999709,1119.999999999709,174.4000000000524,66.0,-800.0000000007276,-3,SIMPLES,False
13a_features_tempo_real__last__cobertura_60s <= 45,1,13a_features_tempo_real__last__cobertura_60s,False,-1852.7272727276068,144,24,13,11,-2239.9999999928696,2640.0000000059663,4879.999999998836,0.9562500000001393,1.0647058823530875,0.10845588235294823,18159.999999996944,15759.9999999984,2399.999999998545,22.00000000004972,57.49999999999999,63,7,2,5,9520.000000003347,7040.000000003056,-2480.000000000291,1.540909090909281,1.440000000000191,-0.10090909090909017,5439.999999999418,5439.99999999869,7.275957614183426e-10,125.71428571434028,64.28571428571429,-2480.000000000291,-3,SIMPLES,False
13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__slope >= 0.013266128,1,13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__slope,False,-1857.6684491989126,144,33,15,18,-2239.9999999928696,-4159.999999994034,-1920.0000000011642,0.9562500000001393,0.8938775510205603,-0.06237244897957894,18159.999999996944,14559.999999997672,3599.9999999992724,-37.477477477423726,55.85585585585585,63,12,5,7,9520.000000003347,8960.000000002765,-560.0000000005821,1.540909090909281,1.658823529411968,0.1179144385026869,5439.999999999418,4079.9999999995634,1359.9999999998545,175.68627450985812,66.66666666666666,-1920.0000000011642,-2,SIMPLES,False
13a_features_tempo_real__pre60__adv_z_pre_15s_spread_medio__std >= 0.29398742,1,13a_features_tempo_real__pre60__adv_z_pre_15s_spread_medio__std,False,-1872.7272727279706,144,36,16,20,-2239.9999999928696,-2879.9999999944703,-640.0000000016007,0.9562500000001393,0.925000000000144,-0.031249999999995226,18159.999999996944,13199.99999999709,4959.9999999998545,-26.666666666615466,55.55555555555556,63,5,2,3,9520.000000003347,8480.000000003201,-1040.0000000001455,1.540909090909281,1.5300000000002,-0.010909090909080987,5439.999999999418,5439.999999999418,0.0,146.20689655177932,65.51724137931035,-1040.0000000001455,-1,SIMPLES,False
13a_features_tempo_real__pre60__pre_15s_spread_medio__std >= 0.13352305,1,13a_features_tempo_real__pre60__pre_15s_spread_medio__std,False,-1872.7272727279706,144,36,16,20,-2239.9999999928696,-2879.9999999944703,-640.0000000016007,0.9562500000001393,0.925000000000144,-0.031249999999995226,18159.999999996944,13199.99999999709,4959.9999999998545,-26.666666666615466,55.55555555555556,63,5,2,3,9520.000000003347,8480.000000003201,-1040.0000000001455,1.540909090909281,1.5300000000002,-0.010909090909080987,5439.999999999418,5439.999999999418,0.0,146.20689655177932,65.51724137931035,-1040.0000000001455,-1,SIMPLES,False
13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.25136817,1,13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__delta,False,-1885.8701298737546,144,86,39,47,-2239.9999999928696,400.0000000029104,2639.99999999578,0.9562500000001393,1.0200000000001455,0.06375000000000619,18159.999999996944,4079.999999998836,14079.999999998108,6.89655172418811,56.896551724137936,63,37,15,22,9520.000000003347,8560.00000000131,-960.0000000020373,1.540909090909281,2.5285714285716625,0.9876623376623814,5439.999999999418,1919.999999999709,3519.999999999709,329.2307692308196,73.07692307692307,-960.0000000020373,-7,SIMPLES,False
13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__ret_pct >= 23.201447,1,13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__ret_pct,False,-1885.8701298737546,144,86,39,47,-2239.9999999928696,400.0000000029104,2639.99999999578,0.9562500000001393,1.0200000000001455,0.06375000000000619,18159.999999996944,4319.999999998981,13839.999999997963,6.89655172418811,56.896551724137936,63,37,15,22,9520.000000003347,8560.00000000131,-960.0000000020373,1.540909090909281,2.5285714285716625,0.9876623376623814,5439.999999999418,1919.999999999709,3519.999999999709,329.2307692308196,73.07692307692307,-960.0000000020373,-7,SIMPLES,False
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__std >= 0.16043611,1,13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__std,False,-1992.7272727288073,144,58,22,36,-2239.9999999928696,-5759.9999999962165,-3520.000000003347,0.9562500000001393,0.8285714285715412,-0.12767857142859806,18159.999999996944,12959.9999999984,5199.999999998545,-66.97674418600252,51.162790697674424,63,5,2,3,9520.000000003347,9440.000000003056,-80.00000000029104,1.540909090909281,1.590000000000191,0.04909090909090996,5439.999999999418,5679.999999999563,-240.00000000014552,162.75862068970787,65.51724137931035,-3520.000000003347,-1,SIMPLES,False
13a_features_tempo_real__pre60__adv_z_pre_15s_spread_medio__mean >= 0.97784565,1,13a_features_tempo_real__pre60__adv_z_pre_15s_spread_medio__mean,False,-2020.7272727291638,144,86,39,47,-2239.9999999928696,-1519.9999999967986,719.999999996071,0.9562500000001393,0.92400000000016,-0.03224999999997924,18159.999999996944,12079.999999998836,6079.999999998108,-26.20689655166894,56.896551724137936,63,7,2,5,9520.000000003347,8000.00000000291,-1520.0000000004366,1.540909090909281,1.5000000000001819,-0.04090909090909922,5439.999999999418,4879.999999999563,559.9999999998545,142.85714285719482,64.28571428571429,-1520.0000000004366,-3,SIMPLES,False
