trade_uid,motor_id,lado_norm,rotulo,ajuste_estrutura__mudanca_total_z,ajuste_estrutura__inicio_meio_z,ajuste_estrutura__meio_fim_z,ajuste_estrutura__volatilidade_z,ajuste_estrutura__nivel_final_z,ajuste_estrutura_compra__mudanca_total_z,ajuste_estrutura_compra__inicio_meio_z,ajuste_estrutura_compra__meio_fim_z,ajuste_estrutura_compra__volatilidade_z,ajuste_estrutura_compra__nivel_final_z,ajuste_estrutura_venda__mudanca_total_z,ajuste_estrutura_venda__inicio_meio_z,ajuste_estrutura_venda__meio_fim_z,ajuste_estrutura_venda__volatilidade_z,ajuste_estrutura_venda__nivel_final_z,confirmacoes_candidata__mudanca_total_z,confirmacoes_candidata__inicio_meio_z,confirmacoes_candidata__meio_fim_z,confirmacoes_candidata__volatilidade_z,confirmacoes_candidata__nivel_final_z,campanha_entradas__mudanca_total_z,campanha_entradas__inicio_meio_z,campanha_entradas__meio_fim_z,campanha_entradas__volatilidade_z,campanha_entradas__nivel_final_z,qtd_swings_confirmados__mudanca_total_z,qtd_swings_confirmados__inicio_meio_z,qtd_swings_confirmados__meio_fim_z,qtd_swings_confirmados__volatilidade_z,qtd_swings_confirmados__nivel_final_z
motor_c7_dna_fluxo_v5_2::20260723121013.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723121205.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,-2.1291625896895083,0.0,-2.1291625896895083,0.0,-2.1291625896895083,2.287087499587462,0.0,2.287087499587462,0.0,2.287087499587462,-2.1291625896895083,0.0,-2.1291625896895083,0.0,-2.1291625896895083,2.1291625896895083,0.0,2.1291625896895083,0.0,2.1291625896895083,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723121420.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,1.6862268986914881,2.023472278429786,-0.3372453797382976,0.0,0.0,1.6862268986914881,0.8431134493457441,0.8431134493457441,0.0,1.6862268986914881,-1.6862268986914881,-1.1803588290840417,-0.5058680696074465,0.0,-1.6862268986914881,0.0,-1.0645812948447542,1.0645812948447542,0.0,0.0,-1.9436506316150999,-0.9718253158075499,-0.9718253158075499,0.0,0.0,,,,,
motor_c7_dna_fluxo_v5_2::20260723121546.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723121945.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,1.5176042088223392,0.8431134493457441,0.6744907594765952,0.0,0.6744907594765952,2.4718239810114815,0.2746471090012757,2.1971768720102056,0.0,2.4718239810114815,-3.0352084176446783,-0.6744907594765952,-2.3607176581680833,0.0,-2.3607176581680833,0.0,1.242625304369271,-1.242625304369271,0.0,0.0,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723122132.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,-0.6744907594765952,0.3372453797382976,-1.011736139214893,0.0,-0.6744907594765952,-3.0352084176446783,-2.023472278429786,-1.011736139214893,0.0,-0.6744907594765952,1.011736139214893,2.023472278429786,-1.011736139214893,0.0,-0.6744907594765952,0.0,-1.0645812948447542,1.0645812948447542,0.0,0.0,-2.2870874995874626,-2.2870874995874626,0.0,0.0,0.0,,,,,
motor_c7_dna_fluxo_v5_2::20260723122530.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,-1.8548495885606369,0.8431134493457441,-2.697963037906381,0.0,-2.3607176581680833,2.697963037906381,1.1803588290840417,1.5176042088223392,0.0,2.3607176581680833,-2.697963037906381,-1.5176042088223392,-1.1803588290840417,0.0,-2.3607176581680833,-0.9860132971832694,0.0,-0.9860132971832694,0.0,0.0,-1.9720265943665383,-0.9860132971832691,-0.9860132971832691,0.0,-1.9720265943665383,,,,,
motor_c7_dna_fluxo_v5_2::20260723122941.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723123116.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723123622.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,-2.4852506087385424,0.0,-2.4852506087385424,0.0,-2.4852506087385424,-0.9803562608405868,0.0,-0.9803562608405868,0.0,-0.9803562608405868,0.9803562608405868,0.0,0.9803562608405868,0.0,0.9803562608405868,2.485250608738542,0.0,2.485250608738542,0.0,2.485250608738542,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723124216.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,2.1109792565893826,-0.2638724070736728,2.3748516636630557,0.0,2.3748516636630557,2.2912878474779204,0.0,2.2912878474779204,0.0,2.2912878474779204,-1.242625304369271,-1.242625304369271,0.0,0.0,0.0,-0.9860132971832691,0.9860132971832691,-1.9720265943665383,0.0,-1.9720265943665383,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723124303.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,,,,,,-3.0,0.0,-3.0,0.0,-3.0,3.0,0.0,3.0,0.0,3.0,,,,,,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723124526.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723124601.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,-2.23606797749979,0.0,-2.23606797749979,0.0,-2.23606797749979,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,-2.23606797749979,0.0,-2.23606797749979,0.0,-2.23606797749979,2.2360679774997894,0.0,2.2360679774997894,0.0,2.2360679774997894,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,,,,,
motor_c7_dna_fluxo_v5_2::20260723124836.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,0.3372453797382976,-2.3607176581680833,2.697963037906381,0.0,0.6744907594765952,2.697963037906381,0.0,2.697963037906381,0.0,2.3607176581680833,-2.3783535600422527,-0.2972941950052816,-2.081059365036971,0.0,-2.081059365036971,-1.0047961905856255,0.0,-1.0047961905856255,0.0,0.0,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723124959.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,-1.0047961905856255,0.0,-1.0047961905856255,0.0,0.0,-1.0047961905856255,0.0,-1.0047961905856255,0.0,0.0,,,,,,,,,,,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723125111.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,-1.9748417658131499,0.0,-1.9748417658131499,0.0,-1.9748417658131499,-1.9748417658131499,0.0,-1.9748417658131499,0.0,-1.9748417658131499,1.9748417658131499,0.0,1.9748417658131499,0.0,1.9748417658131499,1.514634492892204,0.0,1.514634492892204,0.0,1.514634492892204,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723125234.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,1.5176042088223392,-0.3372453797382976,1.8548495885606369,0.0,0.6744907594765952,0.0,-1.242625304369271,1.242625304369271,0.0,0.0,0.0,1.242625304369271,-1.242625304369271,0.0,0.0,0.0,1.242625304369271,-1.242625304369271,0.0,0.0,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723125621.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,-1.5811388300841895,0.7905694150420948,-2.3717082451262845,0.0,-1.5811388300841895,-1.5811388300841895,0.7905694150420948,-2.3717082451262845,0.0,-1.5811388300841895,-2.3717082451262845,-0.7905694150420948,-1.5811388300841895,0.0,-1.5811388300841895,-1.242625304369271,-1.242625304369271,0.0,0.0,0.0,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723130254.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,0.9860132971832694,-0.9860132971832694,1.9720265943665387,0.0,1.9720265943665387,0.9860132971832694,-0.9860132971832694,1.9720265943665387,0.0,1.9720265943665387,0.0,1.242625304369271,-1.242625304369271,0.0,0.0,0.0,1.242625304369271,-1.242625304369271,0.0,0.0,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723130552.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723131751.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,0.0,2.009592381171251,-2.009592381171251,0.0,0.0,0.0,2.009592381171251,-2.009592381171251,0.0,0.0,-1.242625304369271,-1.242625304369271,0.0,0.0,0.0,1.3489815189531904,0.6744907594765952,0.6744907594765952,0.0,0.6744907594765952,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723132002.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,1.6862268986914881,1.1803588290840417,0.5058680696074465,0.0,0.0,-1.6862268986914881,-1.1803588290840417,-0.5058680696074465,0.0,0.0,1.6862268986914881,1.1803588290840417,0.5058680696074465,0.0,0.0,0.0,-0.9874208829065749,0.9874208829065749,0.0,0.0,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723132333.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,1.1091217452115016,-0.7058047469527737,1.8149264921642754,0.0,0.0,1.2335879094879225,1.2335879094879225,0.0,0.0,0.0,1.242625304369271,1.242625304369271,0.0,0.0,0.0,,,,,,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723133322.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,-0.9494032352764914,0.0,-0.9494032352764914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723133902.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,-0.8797255069105505,1.3824257965737223,-2.2621513034842726,0.0,0.0,-1.1456439237389602,-1.1456439237389602,0.0,0.0,0.0,-1.0047961905856255,1.0047961905856255,-2.009592381171251,0.0,0.0,-1.1456439237389602,-1.1456439237389602,0.0,0.0,0.0,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723134220.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,0.9860132971832694,-0.9860132971832694,1.9720265943665387,0.0,0.0,-1.242625304369271,-1.242625304369271,0.0,0.0,0.0,0.9860132971832694,-0.9860132971832694,1.9720265943665387,0.0,0.0,-1.242625304369271,-1.242625304369271,0.0,0.0,0.0,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723134405.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,-2.3607176581680833,0.0,-2.3607176581680833,0.0,-1.6862268986914881,2.081665999466133,0.0,2.081665999466133,0.0,2.081665999466133,-2.0816659994661326,0.0,-2.0816659994661326,0.0,0.0,1.9748417658131499,0.0,1.9748417658131499,0.0,1.9748417658131499,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723134515.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,,,,,,1.8973665961010275,0.0,1.8973665961010275,0.0,1.8973665961010275,,,,,,1.8973665961010275,0.0,1.8973665961010275,0.0,0.0,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723134712.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,0.0,0.0,0.0,0.0,0.0,-1.1456439237389602,-1.1456439237389602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9860132971832694,0.9860132971832694,-1.9720265943665387,0.0,0.0,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723135139.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,0.0,-2.5568103207202193,2.5568103207202193,0.0,0.0,0.0,-2.009592381171251,2.009592381171251,0.0,0.0,,,,,,,,,,,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723135312.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,-1.1456439237389602,-1.1456439237389602,0.0,0.0,0.0,0.5517661427531231,0.5517661427531231,0.0,0.0,0.0,-0.5058680696074465,-1.1803588290840417,0.6744907594765952,0.0,0.0,1.011736139214893,-0.3372453797382976,1.3489815189531904,0.0,0.6744907594765952,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723140059.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,-1.5176042088223392,0.3372453797382976,-1.8548495885606369,0.0,-0.6744907594765952,-2.3607176581680833,-2.023472278429786,-0.3372453797382976,0.0,-0.6744907594765952,2.023472278429786,2.3607176581680833,-0.3372453797382976,0.0,0.0,-1.6862268986914881,-2.023472278429786,0.3372453797382976,0.0,0.0,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723140307.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,-2.0816659994661326,0.0,-2.0816659994661326,0.0,-2.0816659994661326,-2.0816659994661326,0.0,-2.0816659994661326,0.0,-2.0816659994661326,,,,,,,,,,,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723140452.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,-2.3607176581680833,0.0,-2.3607176581680833,0.0,-0.6744907594765952,1.897366596101028,0.0,1.897366596101028,0.0,1.897366596101028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723141252.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,-1.8548495885606369,-1.1803588290840417,-0.6744907594765952,0.0,-0.6744907594765952,-1.4946713863560408,0.0,-1.4946713863560408,0.0,-1.4946713863560408,-1.4946713863560408,1.4946713863560408,-2.9893427727120816,0.0,-1.4946713863560408,1.9720265943665387,0.0,1.9720265943665387,0.0,1.9720265943665387,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723141757.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,-2.174594282646224,0.6213126521846355,-2.79590693483086,0.0,-2.174594282646224,0.0,2.485250608738542,-2.485250608738542,0.0,0.0,-1.1456439237389602,-1.1456439237389602,0.0,0.0,0.0,-2.039219419676107,-2.039219419676107,0.0,0.0,0.0,,,,,,,,,,
