setup_id;cluster;lado;cenarios;cenarios_positivos;pct_cenarios_positivos;pior_resultado_pontos;pior_expectancia_pontos;pior_profit_factor;maior_drawdown_pontos;retencao_expectancia_mediana;retencao_pf_mediana;robustez_expanding;robustez_rolling;robustez_stress;sobrevive_choque_extremo
43309bf3e18b5816;4;COMPRA;9;9;1,0;50220,0;334,8;23,32;300,0;0,8546511627906976;1,0;96,85000000000001;97,20098039215686;96,18627906976744;True
7c58c3dcb1735536;4;COMPRA;9;9;1,0;50220,0;334,8;23,32;300,0;0,8546511627906976;1,0;96,85000000000001;97,20098039215686;96,18627906976744;True
7fcb17bbe7833ac5;4;COMPRA;9;9;1,0;56100,0;315,1685393258427;23,0;210,0;0,852257636122178;1,0;98,80000000000001;100,00000000000003;96,18044090305446;True
a09b966a989f8240;4;COMPRA;9;9;1,0;56100,0;315,1685393258427;23,0;210,0;0,852257636122178;1,0;98,80000000000001;100,00000000000003;96,18044090305446;True
665b3e5a69f7fee6;4;COMPRA;9;9;1,0;49170,0;313,18471337579615;24,414285714285715;210,0;0,8516628873771731;1,0;97,15000000000002;99,09963924963925;96,16557218442932;True
5dc4ed274e9e9879;4;COMPRA;9;9;1,0;49170,0;313,18471337579615;24,414285714285715;210,0;0,8516628873771731;1,0;97,15000000000002;99,09963924963925;96,16557218442932;True
fae9b3e50fe8a3e0;4;COMPRA;9;9;1,0;57420,0;315,4945054945055;23,51764705882353;270,0;0,8524643320363164;1,0;99,10000000000001;100,00000000000003;96,14960830090791;True
e94c59e194a0c815;4;COMPRA;9;9;1,0;57420,0;315,4945054945055;23,51764705882353;270,0;0,8524643320363164;1,0;99,10000000000001;100,00000000000003;96,14960830090791;True
6531110b1bb288c2;4;COMPRA;9;9;1,0;50490,0;330,0;23,44;300,0;0,8527713625866051;1,0;97,15000000000002;97,91062717770035;96,13928406466513;True
1d65214d2b00e1a4;4;COMPRA;9;9;1,0;51030,0;337,94701986754967;22,2625;300,0;0,8526541764246682;1,0;96,85000000000001;97,75000000000001;96,1363544106167;True
f808842b4ffb5b90;4;COMPRA;9;9;1,0;51030,0;337,94701986754967;22,2625;300,0;0,8526541764246682;1,0;96,85000000000001;97,75000000000001;96,1363544106167;True
cc5d2ddbf8bcda79;4;VENDA;9;9;1,0;47350,0;297,7987421383648;106,22222222222223;150,0;0,8479923518164436;1,0;96,82674198139229;98,82613510520487;96,10980879541108;True
e652ca001dfdbb3e;4;VENDA;9;9;1,0;47350,0;297,7987421383648;106,22222222222223;150,0;0,8479923518164436;1,0;96,82674198139229;98,82613510520487;96,10980879541108;True
7bbca84cb5a7efbd;4;VENDA;9;9;1,0;48500,0;292,1686746987952;108,77777777777777;150,0;0,845724907063197;1,0;97,16822049666328;99,04761904761905;96,05312267657993;True
86f06eba5873524f;4;VENDA;9;9;1,0;48500,0;292,1686746987952;108,77777777777777;150,0;0,845724907063197;1,0;97,16822049666328;99,04761904761905;96,05312267657993;True
2bb9ffff31766ec5;3;VENDA;9;9;1,0;95600,0;281,1764705882353;58,93939393939394;150,0;0,8454545454545455;1,0;100,00000000000003;100,00000000000003;96,04636363636362;True
ddf045c8bec62bdd;3;VENDA;9;9;1,0;95600,0;281,1764705882353;58,93939393939394;150,0;0,8454545454545455;1,0;100,00000000000003;100,00000000000003;96,04636363636362;True
bde1c7a201a2fe46;3;VENDA;9;9;1,0;95600,0;281,1764705882353;58,93939393939394;150,0;0,8454545454545455;1,0;100,00000000000003;100,00000000000003;96,04636363636362;True
7d668110801b6857;3;VENDA;9;9;1,0;95600,0;281,1764705882353;58,93939393939394;150,0;0,8454545454545455;1,0;100,00000000000003;100,00000000000003;96,04636363636362;True
d7a19e8cb96c3697;3;VENDA;9;9;1,0;95600,0;281,1764705882353;58,93939393939394;150,0;0,8454545454545455;1,0;100,00000000000003;100,00000000000003;96,04636363636362;True
fe53775f63eac0df;3;VENDA;9;9;1,0;95600,0;281,1764705882353;58,93939393939394;150,0;0,8454545454545455;1,0;100,00000000000003;100,00000000000003;96,04636363636362;True
9fbc73574e869e34;3;VENDA;9;9;1,0;95600,0;281,1764705882353;58,93939393939394;150,0;0,8454545454545455;1,0;100,00000000000003;100,00000000000003;96,04636363636362;True
e2aaa35496671b70;3;VENDA;9;9;1,0;95600,0;281,1764705882353;58,93939393939394;150,0;0,8454545454545455;1,0;100,00000000000003;100,00000000000003;96,04636363636362;True
0db4d8020003f81c;4;COMPRA;9;9;1,0;45600,0;271,42857142857144;15,476190476190476;420,0;0,8516949152542374;1,0;96,73783204459274;97,75000000000001;96,04037288135594;True
87a3b6bec001cf4f;4;COMPRA;9;9;1,0;45600,0;271,42857142857144;15,476190476190476;420,0;0,8516949152542374;1,0;96,73783204459274;97,75000000000001;96,04037288135594;True
7818e34f5d33a3f4;3;VENDA;9;9;1,0;96550,0;281,4868804664723;59,515151515151516;150,0;0,8450767841011744;1,0;100,00000000000003;100,00000000000003;96,03691960252935;True
af087121fe681afd;3;VENDA;9;9;1,0;96550,0;281,4868804664723;59,515151515151516;150,0;0,8450767841011744;1,0;100,00000000000003;100,00000000000003;96,03691960252935;True
355205b899ed11cd;3;VENDA;9;9;1,0;96550,0;281,4868804664723;59,515151515151516;150,0;0,8450767841011744;1,0;100,00000000000003;100,00000000000003;96,03691960252935;True
ecfb5b62e0dbdc48;3;VENDA;9;9;1,0;96550,0;281,4868804664723;59,515151515151516;150,0;0,8450767841011744;1,0;100,00000000000003;100,00000000000003;96,03691960252935;True
f8e2f7eda9bbb757;3;VENDA;9;9;1,0;96550,0;281,4868804664723;59,515151515151516;150,0;0,8450767841011744;1,0;100,00000000000003;100,00000000000003;96,03691960252935;True
a45dadc9e1e48346;0;VENDA;9;9;1,0;46110,0;269,64912280701753;13,808333333333334;510,0;0,8524844720496895;1,0;94,00797342192692;99,1707030821422;96,00611180124224;True
943ed761500dcdd8;0;VENDA;9;9;1,0;46110,0;269,64912280701753;13,808333333333334;510,0;0,8524844720496895;1,0;94,00797342192692;99,1707030821422;96,00611180124224;True
e8d9611c8472d6c6;4;COMPRA;9;9;1,0;44550,0;266,76646706586826;15,142857142857142;420,0;0,849712023038157;1,0;97,9;97,9;95,99080057595393;True
ff44a9fbb2e4bc41;4;COMPRA;9;9;1,0;44550,0;266,76646706586826;15,142857142857142;420,0;0,849712023038157;1,0;97,9;97,9;95,99080057595393;True
5283a7c6c04725f0;0;VENDA;9;9;1,0;47070,0;262,9608938547486;14,643478260869566;510,0;0,8505344021376086;1,0;94,6197139938713;98,70753645720825;95,95736005344021;True
0d446bcf70bce752;0;VENDA;9;9;1,0;47070,0;262,9608938547486;14,643478260869566;510,0;0,8505344021376086;1,0;94,6197139938713;98,70753645720825;95,95736005344021;True
4b3b251f63f176cf;0;VENDA;9;9;1,0;46650,0;263,5593220338983;13,958333333333334;510,0;0,8504056795131846;1,0;94,4827811141023;98,74797936637049;95,95414198782962;True
73664f3eb41cf848;0;VENDA;9;9;1,0;46650,0;263,5593220338983;13,958333333333334;510,0;0,8504056795131846;1,0;94,4827811141023;98,74797936637049;95,95414198782962;True
3b285aafe58e6002;0;VENDA;9;9;1,0;46650,0;263,5593220338983;13,958333333333334;510,0;0,8504056795131846;1,0;94,4827811141023;98,74797936637049;95,95414198782962;True
28e222ef632de8e9;0;VENDA;9;9;1,0;46650,0;263,5593220338983;13,958333333333334;510,0;0,8504056795131846;1,0;94,4827811141023;98,74797936637049;95,95414198782962;True
02b18486938115ba;0;VENDA;9;9;1,0;46680,0;259,3333333333333;13,448;510,0;0,85;1,0;95,25461808884627;99,21780116902069;95,944;True
47e963b1eb52f769;0;VENDA;9;9;1,0;46680,0;259,3333333333333;13,448;510,0;0,85;1,0;95,25461808884627;99,21780116902069;95,944;True
81748a71373770a9;0;VENDA;9;9;1,0;46680,0;259,3333333333333;13,448;510,0;0,85;1,0;95,25461808884627;99,21780116902069;95,944;True
