cluster;ordem;feature;z_diferenca_cluster;direcao;media_cluster;media_geral
5;9;adv_z_pre_15s_spread_minimo;0,7895857899812148;ACIMA_DA_MEDIA;0,788840384905728;-0,00025615968550632786
5;10;adv_delta_inclinacao_spread_60s_120s;0,7089872499336557;ACIMA_DA_MEDIA;0,005353460879078943;-2,5094753508628652e-05
5;11;adv_z_pre_15s_spread_medio;0,6946683825784454;ACIMA_DA_MEDIA;0,693998027849547;-0,00023743481762510392
5;12;pre_15s_spread_medio;0,6946683825784452;ACIMA_DA_MEDIA;1,478403737727741;1,1630962371963403
5;13;pre_15s_cobertura_pct;-0,6603235657705127;ABAIXO_DA_MEDIA;0,6912349672131147;0,845220783463495
5;14;adv_z_pre_15s_cobertura_pct;-0,6603235657705127;ABAIXO_DA_MEDIA;-0,6603235657705127;-1,4661912151530333e-16
5;15;adv_z_pre_60s_spread_minimo;-0,6194893533048779;ABAIXO_DA_MEDIA;-0,6193897438547555;-5,396164480372339e-05
6;1;adv_delta_spread_minimo_15s_30s;1,8285871122834467;ACIMA_DA_MEDIA;0,33082500583390484;0,06985171126326553
6;2;adv_delta_spread_minimo_15s_60s;1,056896345901864;ACIMA_DA_MEDIA;0,3506008425109228;0,13845407585069064
6;3;adv_delta_inclinacao_spread_30s_120s;0,6025943334543122;ACIMA_DA_MEDIA;0,01179706097414853;-6,768871437752704e-05
6;4;adv_delta_inclinacao_spread_30s_60s;0,564680373144749;ACIMA_DA_MEDIA;0,010177416027734344;-4,009328664693556e-05
6;5;adv_z_pre_30s_inclinacao_spread;0,5162752409335621;ACIMA_DA_MEDIA;0,5157821233545714;-8,325022564378831e-06
6;6;pre_30s_inclinacao_spread;0,516275240933562;ACIMA_DA_MEDIA;0,01273258968938558;3,254677353733238e-05
6;7;pre_15s_spread_minimo;0,4656739385972658;ACIMA_DA_MEDIA;1,0652054512459448;0,9026299739089271
6;8;adv_z_pre_15s_spread_minimo;0,46567393859726575;ACIMA_DA_MEDIA;0,4651292367031944;-0,00025615968550632786
6;9;adv_delta_spread_minimo_30s_120s;-0,46076834878186207;ABAIXO_DA_MEDIA;0,04670524263480344;0,1373197098979173
6;10;adv_delta_spread_minimo_30s_60s;-0,3521753426045329;ABAIXO_DA_MEDIA;0,01977583667701804;0,0686702342222683
6;11;pre_15s_cobertura_pct;-0,3468238840088327;ABAIXO_DA_MEDIA;0,7643423147208122;0,845220783463495
6;12;adv_z_pre_15s_cobertura_pct;-0,34682388400883246;ABAIXO_DA_MEDIA;-0,3468238840088326;-1,4661912151530333e-16
6;13;pre_120s_imbalance_minimo;-0,3196745705175629;ABAIXO_DA_MEDIA;0,4436561312368466;0,4957072383540182
6;14;adv_z_pre_120s_imbalance_minimo;-0,31967457051756265;ABAIXO_DA_MEDIA;-0,3195892273599698;1,2092120180998617e-05
6;15;adv_z_pre_15s_spread_medio;0,31880920772085236;ACIMA_DA_MEDIA;0,3183730898230972;-0,00023743481762510392
