feature;missing_rate;eta_quadrado;mutual_information;kruskal_h;spearman_abs;score_multiclasse
pre_60s_cobertura_segundos;0,0;0,012196404101525098;0,012478956358990212;802,1517551068149;0,08651374911102255;0,9973214285714285
pre_60s_cobertura_pct;0,0;0,012196402117753606;0,010416520781725502;802,1517551068149;0,08651374911102255;0,9898809523809524
pre_120s_cobertura_segundos;0,0;0,012194637554162526;0,010650200462726023;787,0043226238624;0,08629978291665316;0,9860119047619047
pre_120s_cobertura_pct;0,0;0,012194635873108189;0,009518484576680475;787,0043226238624;0,08629978291665316;0,9714285714285713
pre_30s_cobertura_segundos;0,0;0,010827902393468203;0,009731417673910947;751,2478719546075;0,08322837654058474;0,9672619047619047
pre_15s_cobertura_pct;0,0;0,009084583932640576;0,010977652479191358;643,359141724233;0,07529372348156811;0,9663690476190476
pre_30s_cobertura_pct;0,0;0,010827903651214376;0,008199360562474611;751,2478719546075;0,08322837654058474;0,9461309523809524
pre_120s_bid_size_medio_soma;0,0004585512645984094;0,007844176774502297;0,009534200352805833;476,33294188481517;0,07058106795869964;0,9276556438653415
pre_15s_cobertura_segundos;0,0;0,00908458407799028;0,007878346542510073;643,359141724233;0,07529372348156811;0,9238095238095239
pre_15s_spread_minimo;0,0012896754316830265;0,006624836714735357;0,009980207455055234;360,9660309755592;0,0648553785835901;0,8993402781331777
pre_60s_bid_size_medio_soma;0,0005015404456545102;0,0070055583843016385;0,008113949366755024;460,3738000593146;0,06913510488570017;0,8943201610729554
pre_30s_bid_size_medio_soma;0,000587518807766712;0,005808448323613092;0,008601122036729913;429,0519027252982;0,06742247480179986;0,8838991954881832
pre_60s_ask_size_medio_soma;0,0005015404456545102;0,006299630628654269;0,008056936683508154;432,7841044940705;0,06646372152172596;0,8711058753586696
pre_15s_spread_medio;0,0012896754316830265;0,009181567161682655;0,006187834373981405;536,2564598253264;0,0776145094618908;0,8689831352760349
pre_120s_ticks_total;0,0004585512645984094;0,0033133024888121476;0,006864927670545251;530,6950584315938;0,07233453852319838;0,8478937391034367
pre_120s_volume_incremento_soma;0,0004585512645984094;0,00400923287034303;0,006911989295104837;491,9169047944355;0,07100070780431911;0,8446199295796272
pre_120s_ask_size_medio_soma;0,0004585512645984094;0,0070544018455972685;0,00639328558551977;452,8559369559071;0,0685969621502588;0,8416437391034368
pre_30s_ask_size_medio_soma;0,000587518807766712;0,004697434016067109;0,007345380130709733;359,0879678787913;0,060829108005654546;0,833303957392945
pre_60s_spread_medio;0,0005015404456545102;0,007976881393110584;0,005598523966085178;502,6832786029023;0,07529425788076267;0,8321177801205744
pre_30s_spread_minimo;0,000587518807766712;0,005267052156278246;0,007675855460121506;290,55023341791184;0,059654768208399996;0,8282444335834211
pre_30s_spread_medio;0,000587518807766712;0,008697146248740344;0,004698492082749084;527,7810191621161;0,0773605326491285;0,8175301478691355
pre_60s_spread_minimo;0,0005015404456545102;0,0037206944232472472;0,008366865969114068;194,92347123725958;0,04933874911052573;0,7955106372634315
pre_120s_ticks_incremento_soma;0,0004585512645984094;0,006830699963497643;0,004496434663364912;521,1522072687768;0,06940007510369438;0,7812270724367701
pre_30s_ticks_total;0,000587518807766712;0,0013200108589909863;0,007662861814214272;333,2929969346355;0,059615269232290394;0,7690182431072305
pre_120s_agressor_venda;0,0004585512645984094;0,003051852371605991;0,004790121117117518;528,4083374931697;0,07250055805269638;0,7669413581510557
pre_30s_ticks_incremento_media;0,000587518807766712;0,0018261402168393958;0,008196342397547296;266,9676241728153;0,051425854568891975;0,764256338345326
pre_60s_ticks_incremento_media;0,0005015404456545102;0,0023872022034367754;0,007032799346353924;292,5701580188388;0,05369006738226592;0,7633677801205743
pre_120s_imbalance_minimo;0,0004585512645984094;0,002335134741814881;0,008184443168921973;200,00927840306167;0,04712616326679405;0,7583104057701033
pre_120s_spread_medio;0,0004585512645984094;0,006879129640758734;0,003077652359197325;478,0750831129308;0,07379684413217925;0,7481913581510558
pre_30s_imbalance_minimo;0,000587518807766712;0,001298375245340581;0,014217481654909436;114,47667614638652;0,036501952988685096;0,745506338345326
pre_15s_spread_maximo;0,0012896754316830265;0,0056960575373540935;0,006444475223158053;163,23828120975244;0,04288769340473567;0,7413045638474635
pre_120s_trades_incremento_soma;0,0004585512645984094;0,004359604539820409;0,0031819579381908714;505,8552818117605;0,07191973912558446;0,7359889771986748
pre_30s_trades_incremento_soma;0,000587518807766712;0,0011687652276462252;0,006767899442546188;319,61727151966335;0,059305888870180117;0,733303957392945
pre_120s_inclinacao_spread;0,0014186429748513291;0,0032795728386004796;0,007453118755186727;58,537641667372874;0,02303592610115841;0,7302862107084003
pre_60s_ticks_total;0,0005015404456545102;0,0024005305568106524;0,004774167824221687;443,4347041032484;0,06698152782189612;0,7291415896443838
pre_120s_agressor_compra;0,0004585512645984094;0,003166548488199498;0,0034999757339755355;511,44143423681595;0,07094162877863353;0,7279532629129606
pre_120s_agressor_total;0,0004585512645984094;0,0031554088097290535;0,0033286635167955048;524,0000801656699;0,07202938815389094;0,7264651676748654
pre_120s_ticks_incremento_media;0,0004585512645984094;0,002700917318062851;0,005695515464078094;305,97082608776867;0,0549308774205098;0,724679453389151
pre_120s_trades_incremento_media;0,0004585512645984094;0,0004883310092818537;0,008445094827073119;295,06945708032634;0,0584711101083035;0,7222985010081986
pre_15s_volume_incremento_media;0,0012896754316830265;0,001897644909122251;0,007442216354097475;176,43559218300547;0,04606083162638313;0,7168998019427016
pre_60s_trades_incremento_soma;0,0005015404456545102;0,0025426404177108924;0,004557371677187394;424,0339679450054;0,06668161713936482;0,7154511134539077
pre_15s_ticks_incremento_soma;0,0012896754316830265;0,003057550105867991;0,0047912930286122535;316,6219078777648;0,05566981818125439;0,7148164686093682
pre_15s_bid_size_medio_soma;0,0012896754316830265;0,004226315685014066;0,004120736697003968;326,9670628925555;0,05795321308126242;0,7109474209903206
pre_15s_ask_size_medio_soma;0,0012896754316830265;0,0031862961154101753;0,004895827844961342;272,00691126194346;0,0517416526346462;0,7097569447998444
pre_60s_agressor_venda;0,0005015404456545102;0,002110779982326591;0,00452311757651791;443,4368360893206;0,06720428976592376;0,7059273039300982
pre_60s_trades_incremento_media;0,0005015404456545102;0,0003641423421043188;0,008706985792544142;266,16266433824916;0,05587705966150575;0,7023558753586696
pre_30s_ticks_incremento_soma;0,000587518807766712;0,004333028613870527;0,003027437177575143;380,4496473218156;0,060532013055453776;0,6934230050119927
pre_30s_ticks_media_s;0,000587518807766712;0,0004380023203059445;0,009205043759823894;200,11841573187237;0,04835960275621864;0,6922325288215163
pre_60s_imbalance_minimo;0,0005015404456545102;0,0019403279670636093;0,006594481195262736;162,95629778361584;0,0434916533246416;0,6892606372634316
pre_30s_trades_incremento_media;0,000587518807766712;0,0008368897039874429;0,007215774500566541;216,93367208118764;0,050895449664132016;0,6859825288215164
pre_30s_volume_incremento_media;0,000587518807766712;0,0009681559105092029;0,006855264718429233;212,40364039849658;0,050334696409951064;0,683899195488183
pre_30s_agressor_total;0,000587518807766712;0,001151725900803493;0,004935642272402285;332,5030786846825;0,05946828179986213;0,678244433583421
pre_30s_volume_incremento_soma;0,000587518807766712;0,0008882861097788274;0,005881696580480877;313,5580494627828;0,058736223688928786;0,6758634812024686
pre_15s_ticks_incremento_media;0,0012896754316830265;0,001483608633807046;0,005743050872083488;243,52245025254336;0,04917066142220195;0,670173611466511
pre_60s_ticks_incremento_soma;0,0005015404456545102;0,005649321045899622;0,0016547600086269654;456,37132239280965;0,0652553008778994;0,6690225420253364
pre_120s_imbalance_maximo;0,0004585512645984094;0,0004444321249526912;0,009856498010401005;44,447934962327494;0,019656988558644166;0,6550365962462938
pre_30s_volatilidade_close_preco;0,0018771942394497385;0,0009051321348325451;0,00899203385926417;33,25447512849865;0,009402834429030713;0,6549656640975513
pre_30s_volatilidade_close_pontos;0,0018771942394497385;0,0009051321348325427;0,009162318776649192;33,2544721700329;0,009402857667929133;0,6540728069546942
pre_120s_volume_incremento_media;0,0004585512645984094;0,00040558368155131663;0,006347197385501158;286,9875668358238;0,05778561805136685;0,6440246914843891
pre_60s_agressor_compra;0,0005015404456545102;0,002165102776053338;0,002541794991263391;429,4255310526531;0,0658034078608531;0,6428320658348601
pre_15s_volatilidade_close_pontos;0,005316328723937809;0,0008307596017434125;0,009513678409410753;27,12549183500284;0,009295626554320558;0,6408056121352317
pre_15s_trades_incremento_media;0,0012896754316830265;0,001608728542608701;0,004862900138522974;183,2843950855195;0,04705159273032641;0,6377331352760348
pre_30s_agressor_compra;0,000587518807766712;0,0010966813936539562;0,00415109455831475;320,94518714763547;0,05806592927582863;0,6371730050119926
pre_15s_ticks_max_s;0,0012896754316830265;0,00046988932006640873;0,007604565142176556;122,87208306093828;0,03752424631909669;0,6362450400379397
pre_60s_volume_incremento_soma;0,0005015404456545102;0,0021559616508250276;0,0024573462568828752;413,7102737853645;0,06595309341399486;0,6359868277396221
pre_60s_volume_incremento_media;0,0005015404456545102;0,000426744801060595;0,006244728086177487;260,1793029666985;0,05532425666989223;0,6359868277396221
pre_60s_inclinacao_spread;0,0015762699720570322;0,001339370489599337;0,006531719675151759;32,5272218447489;0,018403320406734786;0,6329569007871114
pre_15s_volatilidade_close_preco;0,005316328723937809;0,0008307596017434115;0,008783791163042842;27,125174800738186;0,009295576889120827;0,6297937073733268
pre_60s_volatilidade_close_pontos;0,0015762699720570322;0,0005577935596835712;0,008097486035084644;45,11204560486499;0,011969995294345517;0,6270045198347305
pre_30s_agressor_venda;0,000587518807766712;0,0011275054866818344;0,0032055982855301313;336,0732457909376;0,06005295010448668;0,6267563383453261
pre_120s_spread_minimo;0,0004585512645984094;0,0028815389013519574;0,003853224007648537;134,57013343867814;0,041398823663845105;0,6214056438653415
pre_60s_volatilidade_close_preco;0,0015762699720570322;0,0005577935596835577;0,007793300895790001;45,11199223786323;0,011969990595948677;0,6177783293585399
pre_60s_agressor_total;0,0005015404456545102;0,0021908050682685263;0,0015944644906418226;440,580965452523;0,06688673839313253;0,6157487325015267
pre_30s_inclinacao_spread;0,0018771942394497385;0,000596669072438151;0,008678364239259162;18,859578249474897;0,011411049616902983;0,6147870926689799
pre_60s_ticks_media_s;0,0005015404456545102;0,00021064221197513979;0,007189647268403876;247,7850540525849;0,053230192190570395;0,6121773039300982
pre_30s_ticks_max_s;0,000587518807766712;0,0002513633144241563;0,007690362455446964;142,3373907278131;0,0406257886193185;0,608303957392945
pre_120s_compressao_spread;0,0014186429748513291;0,0024151871500615843;0,004675166152764643;38,70362809121898;0,018745737322630594;0,6079647821369716
