setup_id;cluster;lado;folds;folds_positivos;pct_folds_positivos;trades_validacao;resultado_validacao_pontos;expectancia_media;expectancia_mediana;pf_medio;pf_mediano;drawdown_medio;drawdown_maximo;pior_fold_pontos;melhor_fold_pontos;degradacao_expectancia_mediana;degradacao_pf_mediana;robustez_rolling
df36a4ab883430dc;0;VENDA;4;4;1,0;109;69360,0;612,9537779293877;636,9844789356985;999,0;999,0;0,0;0,0;7680,0;28080,0;0,9485387733724764;1,0;98,97077546744953
bf2b599663ee7cb9;0;VENDA;4;4;1,0;109;69360,0;612,9537779293877;636,9844789356985;999,0;999,0;0,0;0,0;7680,0;28080,0;0,9485387733724764;1,0;98,97077546744953
8893c4ff3f17838b;0;VENDA;4;4;1,0;109;69360,0;612,9537779293877;636,9844789356985;999,0;999,0;0,0;0,0;7680,0;28080,0;0,9485387733724764;1,0;98,97077546744953
7ef3880778a128fa;0;VENDA;4;4;1,0;109;69360,0;612,9537779293877;636,9844789356985;999,0;999,0;0,0;0,0;7680,0;28080,0;0,9485387733724764;1,0;98,97077546744953
bb98ad8fef80a6d0;0;VENDA;4;4;1,0;109;69360,0;612,9537779293877;636,9844789356985;999,0;999,0;0,0;0,0;7680,0;28080,0;0,9485387733724764;1,0;98,97077546744953
77b298d787e89f2a;0;VENDA;4;4;1,0;109;69360,0;612,9537779293877;636,9844789356985;999,0;999,0;0,0;0,0;7680,0;28080,0;0,9485387733724764;1,0;98,97077546744953
92493ec7e2dacd48;4;COMPRA;4;4;1,0;93;56880,0;623,7012987012987;661,4025974025974;999,0;999,0;0,0;0,0;6480,0;25680,0;1,126882820495386;1,0;98,95000000000002
d296f2d9a8a8e772;4;COMPRA;4;4;1,0;93;56880,0;623,7012987012987;661,4025974025974;999,0;999,0;0,0;0,0;6480,0;25680,0;1,126882820495386;1,0;98,95000000000002
132ed73d9bee2f5d;4;COMPRA;4;4;1,0;93;56880,0;623,7012987012987;661,4025974025974;999,0;999,0;0,0;0,0;6480,0;25680,0;1,126882820495386;1,0;98,95000000000002
cc5d2ddbf8bcda79;4;VENDA;5;5;1,0;102;66000,0;655,4451345755693;666,6666666666666;999,0;999,0;0,0;0,0;8000,0;16600,0;0,9413067552602435;1,0;98,82613510520487
e652ca001dfdbb3e;4;VENDA;5;5;1,0;102;66000,0;655,4451345755693;666,6666666666666;999,0;999,0;0,0;0,0;8000,0;16600,0;0,9413067552602435;1,0;98,82613510520487
4b3b251f63f176cf;0;VENDA;4;4;1,0;106;67680,0;618,0419580419581;636,0839160839162;999,0;999,0;0,0;0,0;7680,0;26640,0;0,937398968318524;1,0;98,74797936637049
3b285aafe58e6002;0;VENDA;4;4;1,0;106;67680,0;618,0419580419581;636,0839160839162;999,0;999,0;0,0;0,0;7680,0;26640,0;0,937398968318524;1,0;98,74797936637049
73664f3eb41cf848;0;VENDA;4;4;1,0;106;67680,0;618,0419580419581;636,0839160839162;999,0;999,0;0,0;0,0;7680,0;26640,0;0,937398968318524;1,0;98,74797936637049
28e222ef632de8e9;0;VENDA;4;4;1,0;106;67680,0;618,0419580419581;636,0839160839162;999,0;999,0;0,0;0,0;7680,0;26640,0;0,937398968318524;1,0;98,74797936637049
0d446bcf70bce752;0;VENDA;4;4;1,0;107;68880,0;620,3869763099544;636,9844789356985;999,0;999,0;0,0;0,0;7440,0;28080,0;0,9353768228604127;1,0;98,70753645720825
5283a7c6c04725f0;0;VENDA;4;4;1,0;107;68880,0;620,3869763099544;636,9844789356985;999,0;999,0;0,0;0,0;7440,0;28080,0;0,9353768228604127;1,0;98,70753645720825
1ab7a9a20710fcad;0;COMPRA;5;5;1,0;91;63000,0;665,1372549019609;717,6470588235294;999,0;999,0;0,0;0,0;5200,0;24000,0;1,0452216922805158;1,0;98,65
