scenario_id;tp_mt5;sl_mt5;risk_reward;protecao_ativa;protecao_gatilho_pct_tp;protecao_trava_mt5;timeout_minutos;atraso_barras;entrada_preco;mesma_barra_tp_sl;all_trades;all_wins;all_losses;all_zeros;all_win_rate_pct;all_net_mt5_points;all_average_mt5_points;all_median_mt5_points;all_gross_profit;all_gross_loss;all_profit_factor;all_max_drawdown;all_mfe_average;all_mae_average;all_duration_average_seconds;all_tp_count;all_sl_count;all_protected_count;all_timeout_count;train_trades;train_wins;train_losses;train_zeros;train_win_rate_pct;train_net_mt5_points;train_average_mt5_points;train_median_mt5_points;train_gross_profit;train_gross_loss;train_profit_factor;train_max_drawdown;train_mfe_average;train_mae_average;train_duration_average_seconds;train_tp_count;train_sl_count;train_protected_count;train_timeout_count;val_trades;val_wins;val_losses;val_zeros;val_win_rate_pct;val_net_mt5_points;val_average_mt5_points;val_median_mt5_points;val_gross_profit;val_gross_loss;val_profit_factor;val_max_drawdown;val_mfe_average;val_mae_average;val_duration_average_seconds;val_tp_count;val_sl_count;val_protected_count;val_timeout_count;score_triagem;rank_triagem
232;2500,0;2500,0;1,0;True;0,5;0,0;120;1;close;pior_caso;307;112;124;71;36,48208469055375;-30000,0;-97,71986970684038;0,0;280000,0;310000,0;0,9032258064516129;-50000,0;1856,514657980456;-1887,214983713355;766,9055374592834;112;124;71;0;214;71;88;55;33,177570093457945;-42500,0;-198,5981308411215;0,0;177500,0;220000,0;0,8068181818181818;-50000,0;1837,0327102803737;-1926,285046728972;643,4579439252336;71;88;55;0;93;41;36;16;44,086021505376344;12500,0;134,40860215053763;0,0;102500,0;90000,0;1,1388888888888888;-12500,0;1901,3440860215053;-1797,3118279569892;1050,967741935484;41;36;16;0;62,90963137736381;67
235;2500,0;2500,0;1,0;True;0,5;0,0;180;1;close;pior_caso;307;112;124;71;36,48208469055375;-30000,0;-97,71986970684038;0,0;280000,0;310000,0;0,9032258064516129;-50000,0;1856,514657980456;-1887,214983713355;766,9055374592834;112;124;71;0;214;71;88;55;33,177570093457945;-42500,0;-198,5981308411215;0,0;177500,0;220000,0;0,8068181818181818;-50000,0;1837,0327102803737;-1926,285046728972;643,4579439252336;71;88;55;0;93;41;36;16;44,086021505376344;12500,0;134,40860215053763;0,0;102500,0;90000,0;1,1388888888888888;-12500,0;1901,3440860215053;-1797,3118279569892;1050,967741935484;41;36;16;0;62,90963137736381;68
259;3000,0;1200,0;2,5;True;0,5;0,0;180;1;close;pior_caso;307;68;185;54;22,149837133550488;-18000,0;-58,63192182410423;-1200,0;204000,0;222000,0;0,918918918918919;-39600,0;1529,071661237785;-1479,7231270358307;595,8957654723127;68;185;54;0;214;41;128;45;19,158878504672895;-30600,0;-142,99065420560748;-1200,0;123000,0;153600,0;0,80078125;-39000,0;1517,1728971962616;-1519,2757009345794;506,0747663551402;41;128;45;0;93;27;57;9;29,03225806451613;12600,0;135,48387096774192;-1200,0;81000,0;68400,0;1,1842105263157894;-13200,0;1556,4516129032259;-1388,7096774193549;802,5806451612904;27;57;9;0;62,882136664005714;69
197;2500,0;1200,0;2,0833333333333335;True;0,6;0,0;120;1;close;pior_caso;307;83;185;39;27,035830618892508;-14500,0;-47,23127035830619;-1200,0;207500,0;222000,0;0,9346846846846847;-35600,0;1460,4234527687297;-1419,7068403908795;534,3322475570033;83;185;39;0;214;52;128;34;24,299065420560748;-23600,0;-110,2803738317757;-1200,0;130000,0;153600,0;0,8463541666666666;-32900,0;1453,7383177570093;-1446,96261682243;444,1121495327103;52;128;34;0;93;31;57;5;33,33333333333333;9100,0;97,84946236559139;-1200,0;77500,0;68400,0;1,1330409356725146;-12500,0;1475,8064516129032;-1356,989247311828;741,9354838709677;31;57;5;0;62,87520260163457;70
200;2500,0;1200,0;2,0833333333333335;True;0,6;0,0;180;1;close;pior_caso;307;83;185;39;27,035830618892508;-14500,0;-47,23127035830619;-1200,0;207500,0;222000,0;0,9346846846846847;-35600,0;1460,4234527687297;-1419,7068403908795;534,3322475570033;83;185;39;0;214;52;128;34;24,299065420560748;-23600,0;-110,2803738317757;-1200,0;130000,0;153600,0;0,8463541666666666;-32900,0;1453,7383177570093;-1446,96261682243;444,1121495327103;52;128;34;0;93;31;57;5;33,33333333333333;9100,0;97,84946236559139;-1200,0;77500,0;68400,0;1,1330409356725146;-12500,0;1475,8064516129032;-1356,989247311828;741,9354838709677;31;57;5;0;62,87520260163457;71
198;2500,0;1200,0;2,0833333333333335;True;0,7;0,0;120;1;close;pior_caso;307;88;193;26;28,664495114006517;-11600,0;-37,785016286644954;-1200,0;220000,0;231600,0;0,9499136442141624;-31700,0;1498,4527687296418;-1462,3778501628665;547,6221498371335;88;193;26;0;214;57;134;23;26,635514018691588;-18300,0;-85,51401869158879;-1200,0;142500,0;160800,0;0,8861940298507462;-29000,0;1508,2943925233644;-1492,8738317757009;462,61682242990656;57;134;23;0;93;31;59;3;33,33333333333333;6700,0;72,04301075268818;-1200,0;77500,0;70800,0;1,094632768361582;-13700,0;1475,8064516129032;-1392,2043010752689;743,2258064516129;31;59;3;0;62,8176520708729;72
201;2500,0;1200,0;2,0833333333333335;True;0,7;0,0;180;1;close;pior_caso;307;88;193;26;28,664495114006517;-11600,0;-37,785016286644954;-1200,0;220000,0;231600,0;0,9499136442141624;-31700,0;1498,4527687296418;-1462,3778501628665;547,6221498371335;88;193;26;0;214;57;134;23;26,635514018691588;-18300,0;-85,51401869158879;-1200,0;142500,0;160800,0;0,8861940298507462;-29000,0;1508,2943925233644;-1492,8738317757009;462,61682242990656;57;134;23;0;93;31;59;3;33,33333333333333;6700,0;72,04301075268818;-1200,0;77500,0;70800,0;1,094632768361582;-13700,0;1475,8064516129032;-1392,2043010752689;743,2258064516129;31;59;3;0;62,8176520708729;73
299;3000,0;2500,0;1,2;False;0,0;0,0;120;1;close;pior_caso;307;133;174;0;43,32247557003257;-38400,0;-125,0814332247557;-2500,0;395550,0;433950,0;0,9115105426892499;-74500,0;2185,5048859934855;-2368,485342019544;1037,1986970684038;130;173;0;4;214;89;125;0;41,58878504672897;-48225,0;-225,35046728971963;-2500,0;264275,0;312500,0;0,84568;-74500,0;2197,663551401869;-2460,7476635514017;925,2336448598131;88;125;0;1;93;44;49;0;47,31182795698925;9825,0;105,64516129032258;-2500,0;131275,0;121450,0;1,0808974886784686;-13725,0;2157,52688172043;-2156,1827956989246;1294,8387096774193;42;48;0;3;62,77562564085438;74
256;3000,0;1200,0;2,5;True;0,5;0,0;120;1;close;pior_caso;307;68;185;54;22,149837133550488;-18725,0;-60,99348534201955;-1200,0;203275,0;222000,0;0,9156531531531531;-39600,0;1523,85993485342;-1479,7231270358307;589,2508143322475;66;185;54;2;214;41;128;45;19,158878504672895;-30600,0;-142,99065420560748;-1200,0;123000,0;153600,0;0,80078125;-39000,0;1517,1728971962616;-1519,2757009345794;506,0747663551402;41;128;45;0;93;27;57;9;29,03225806451613;11875,0;127,68817204301075;-1200,0;80275,0;68400,0;1,1736111111111112;-13200,0;1539,247311827957;-1388,7096774193549;780,6451612903226;25;57;9;2;62,77519007756244;75
215;2500,0;1500,0;1,6666666666666667;False;0,0;0,0;120;1;close;pior_caso;307;108;199;0;35,17915309446254;-28500,0;-92,83387622149837;-1500,0;270000,0;298500,0;0,9045226130653267;-49500,0;1605,0488599348535;-1671,3355048859935;619,5439739413681;108;199;0;0;214;70;144;0;32,71028037383177;-41000,0;-191,58878504672896;-1500,0;175000,0;216000,0;0,8101851851851852;-49500,0;1602,5700934579438;-1715,771028037383;518,6915887850467;70;144;0;0;93;38;55;0;40,86021505376344;12500,0;134,40860215053763;-1500,0;95000,0;82500,0;1,1515151515151516;-15000,0;1610,752688172043;-1569,0860215053763;851,6129032258065;38;55;0;0;62,771108467101776;76
