escopo,motor_id,lado_norm,classe_dna,tamanho,sequencia,historias_total,historias_gain,historias_stop,ocorrencias,suporte_total_pct,suporte_gain_pct,suporte_stop_pct,confianca_gain_pct,confianca_stop_pct,lift_gain,lift_stop,diferenca_suporte_pp,log_odds_gain,evidencia,score_dna
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,451,6,4,10,2.217295,3.389831,1.459854,60.0,40.0,1.528814,0.658394,1.929976,0.823414,FRACA,36.5323
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,451,6,4,10,2.217295,3.389831,1.459854,60.0,40.0,1.528814,0.658394,1.929976,0.823414,FRACA,36.5323
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU,451,6,4,10,2.217295,3.389831,1.459854,60.0,40.0,1.528814,0.658394,1.929976,0.823414,FRACA,36.5323
LADO,,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL,1123,12,8,20,1.780944,2.553191,1.225115,60.0,40.0,1.433617,0.687902,1.328077,0.727727,MODERADA,36.5007
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,5,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,870,6,4,10,1.149425,1.780415,0.750469,60.0,40.0,1.548961,0.652908,1.029946,0.83603,FRACA,36.3233
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,3,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,870,6,4,10,1.149425,1.780415,0.750469,60.0,40.0,1.548961,0.652908,1.029946,0.83603,FRACA,36.3233
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,2,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_SUBIU,870,6,4,10,1.149425,1.780415,0.750469,60.0,40.0,1.548961,0.652908,1.029946,0.83603,FRACA,36.3233
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_GAIN,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU,419,7,5,12,2.863962,4.375,1.930502,58.333333,41.666667,1.527604,0.674067,2.444498,0.815755,FRACA,35.913
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_GAIN,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,419,7,5,12,2.863962,4.375,1.930502,58.333333,41.666667,1.527604,0.674067,2.444498,0.815755,FRACA,35.913
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_GAIN,3,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU,419,7,5,12,2.863962,4.375,1.930502,58.333333,41.666667,1.527604,0.674067,2.444498,0.815755,FRACA,35.913
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU,672,8,5,13,1.934524,2.730375,1.319261,61.538462,38.461538,1.411394,0.681957,1.411114,0.706668,FRACA,35.7946
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_GAIN,3,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU,612,6,4,10,1.633987,2.459016,1.086957,60.0,40.0,1.504918,0.665217,1.37206,0.791882,FRACA,35.4783
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_GAIN,3,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU,612,6,4,10,1.633987,2.459016,1.086957,60.0,40.0,1.504918,0.665217,1.37206,0.791882,FRACA,35.4783
LADO,,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,1123,13,9,22,1.959038,2.765957,1.378254,59.090909,40.909091,1.411896,0.703536,1.387703,0.694096,MODERADA,35.428
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,3,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_SUBIU,1284,13,9,22,1.713396,2.420857,1.204819,59.090909,40.909091,1.4129,0.703176,1.216037,0.693574,MODERADA,35.3167
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_SUBIU,451,7,5,12,2.660754,3.954802,1.824818,58.333333,41.666667,1.486347,0.685827,2.129985,0.767988,FRACA,34.6131
LADO,,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,1123,14,10,24,2.137133,2.978723,1.531394,58.333333,41.666667,1.393794,0.716565,1.44733,0.666107,MODERADA,34.5745
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,870,7,5,12,1.37931,2.077151,0.938086,58.333333,41.666667,1.505935,0.680113,1.139065,0.779591,FRACA,34.3197
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS,870,7,5,12,1.37931,2.077151,0.938086,58.333333,41.666667,1.505935,0.680113,1.139065,0.779591,FRACA,34.3197
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,5,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,672,7,13,20,2.97619,2.389078,3.430079,35.0,65.0,0.80273,1.152507,-1.041001,-0.341527,MODERADA,33.7322
LADO,,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_SUBIU,1123,10,7,17,1.513802,2.12766,1.071975,58.823529,41.176471,1.405507,0.708134,1.055684,0.675733,FRACA,33.6298
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,672,7,5,12,1.785714,2.389078,1.319261,58.333333,41.666667,1.337884,0.738786,1.069817,0.578008,FRACA,29.8988
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,2,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,672,7,5,12,1.785714,2.389078,1.319261,58.333333,41.666667,1.337884,0.738786,1.069817,0.578008,FRACA,29.8988
