escopo,motor_id,lado_norm,classe_dna,tamanho,sequencia,historias_total,historias_gain,historias_stop,ocorrencias,suporte_total_pct,suporte_gain_pct,suporte_stop_pct,confianca_gain_pct,confianca_stop_pct,lift_gain,lift_stop,diferenca_suporte_pp,log_odds_gain,evidencia,score_dna
LADO,,VENDA,DNA_GAIN,2,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,1123,7,3,10,0.890472,1.489362,0.459418,70.0,30.0,1.672553,0.515926,1.029944,1.101075,FRACA,50.1204
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,1284,9,4,13,1.012461,1.675978,0.535475,69.230769,30.769231,1.65535,0.528885,1.140502,1.08854,FRACA,50.0724
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,451,8,4,12,2.660754,4.519774,1.459854,66.666667,33.333333,1.698682,0.548662,3.05992,1.103408,FRACA,49.5677
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,451,8,4,12,2.660754,4.519774,1.459854,66.666667,33.333333,1.698682,0.548662,3.05992,1.103408,FRACA,49.5677
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_GAIN,2,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,451,8,4,12,2.660754,4.519774,1.459854,66.666667,33.333333,1.698682,0.548662,3.05992,1.103408,FRACA,49.5677
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,5,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,672,9,4,13,1.934524,3.071672,1.055409,69.230769,30.769231,1.587818,0.545565,2.016263,1.02474,FRACA,49.0596
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,2,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,672,9,4,13,1.934524,3.071672,1.055409,69.230769,30.769231,1.587818,0.545565,2.016263,1.02474,FRACA,49.0596
LADO,,COMPRA,DNA_GAIN,5,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,1031,8,4,12,1.163919,1.980198,0.637959,66.666667,33.333333,1.70132,0.548113,1.342239,1.088661,FRACA,48.2585
LADO,,COMPRA,DNA_GAIN,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,1031,8,4,12,1.163919,1.980198,0.637959,66.666667,33.333333,1.70132,0.548113,1.342239,1.088661,FRACA,48.2585
LADO,,VENDA,DNA_GAIN,5,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,1123,10,5,15,1.335708,2.12766,0.765697,66.666667,33.333333,1.592908,0.573252,1.361963,0.988976,FRACA,46.5064
