"Arquivo","Tamanho_MB","LastWriteTime","FullName"
"13f_ranking_geral.csv","0,45","29/07/2026 10:58:55","C:\Nas100_dashboard\C7_LAB\relatorios_13f\13f_ranking_geral.csv"
"13f_ranking_filtros_combinados.csv","0,16","29/07/2026 10:58:54","C:\Nas100_dashboard\C7_LAB\relatorios_13f\13f_ranking_filtros_combinados.csv"
"13f_ranking_filtros_simples.csv","0,28","29/07/2026 10:58:54","C:\Nas100_dashboard\C7_LAB\relatorios_13f\13f_ranking_filtros_simples.csv"
"13f_diferencas_stops_vs_nao_stops.csv","0,64","29/07/2026 10:58:54","C:\Nas100_dashboard\C7_LAB\relatorios_13f\13f_diferencas_stops_vs_nao_stops.csv"
"13f_dataset_autopsia_por_trade.csv","4,22","29/07/2026 10:58:54","C:\Nas100_dashboard\C7_LAB\relatorios_13f\13f_dataset_autopsia_por_trade.csv"
"inventario_arquivos_hoje.csv","0,01","29/07/2026 10:09:25","C:\Nas100_dashboard\inventario_arquivos_hoje.csv"
"invalidacoes_tese_sombra_v1.csv","0,03","29/07/2026 09:54:12","C:\Nas100_dashboard\invalidacoes_tese_sombra_v1.csv"
"08_descobertas_automaticas.csv","0,62","29/07/2026 09:48:06","C:\Nas100_dashboard\C7_LAB\relatorios_dna\08_descobertas_automaticas.csv"
"07_bloqueios_resumo.csv","2,57","29/07/2026 09:46:24","C:\Nas100_dashboard\C7_LAB\relatorios_dna\07_bloqueios_resumo.csv"
"07_bloqueios_auditoria_completa.csv","12,19","29/07/2026 09:46:24","C:\Nas100_dashboard\C7_LAB\relatorios_dna\07_bloqueios_auditoria_completa.csv"
"06_evolucao_score_resumo.csv","0","29/07/2026 09:46:16","C:\Nas100_dashboard\C7_LAB\relatorios_dna\06_evolucao_score_resumo.csv"
"06_evolucao_score_eventos.csv","40,23","29/07/2026 09:46:16","C:\Nas100_dashboard\C7_LAB\relatorios_dna\06_evolucao_score_eventos.csv"
"05_estrutura_resumo.csv","0","29/07/2026 09:46:02","C:\Nas100_dashboard\C7_LAB\relatorios_dna\05_estrutura_resumo.csv"
"05_estrutura_eventos_enriquecidos.csv","39,22","29/07/2026 09:46:02","C:\Nas100_dashboard\C7_LAB\relatorios_dna\05_estrutura_eventos_enriquecidos.csv"
"04_campanhas_individuais.csv","0,02","29/07/2026 09:45:48","C:\Nas100_dashboard\C7_LAB\relatorios_dna\04_campanhas_individuais.csv"
"03_mapa_temporal_fluxo.csv","0","29/07/2026 09:45:42","C:\Nas100_dashboard\C7_LAB\relatorios_dna\03_mapa_temporal_fluxo.csv"
"03_sequencias_temporais.csv","4,95","29/07/2026 09:45:42","C:\Nas100_dashboard\C7_LAB\relatorios_dna\03_sequencias_temporais.csv"
"03_eventos_elementares_fluxo.csv","1,13","29/07/2026 09:45:40","C:\Nas100_dashboard\C7_LAB\relatorios_dna\03_eventos_elementares_fluxo.csv"
"02_resumo_armadilhas.csv","0","29/07/2026 09:45:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\02_resumo_armadilhas.csv"
"02_contexto_antes_armadilhas.csv","0,05","29/07/2026 09:45:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\02_contexto_antes_armadilhas.csv"
"01_formacao_movimento_contexto_60s.csv","36,51","29/07/2026 09:45:28","C:\Nas100_dashboard\C7_LAB\relatorios_dna\01_formacao_movimento_contexto_60s.csv"
"01_eventos_movimentos.csv","5,94","29/07/2026 09:45:21","C:\Nas100_dashboard\C7_LAB\relatorios_dna\01_eventos_movimentos.csv"
"13e_sequencias.csv","0","29/07/2026 09:18:35","C:\Nas100_dashboard\C7_LAB\relatorios\13e_sequencias.csv"
"13e_progresso_promocao.csv","0","29/07/2026 09:18:35","C:\Nas100_dashboard\C7_LAB\relatorios\13e_progresso_promocao.csv"
"13e_veredito.csv","0","29/07/2026 09:18:35","C:\Nas100_dashboard\C7_LAB\relatorios\13e_veredito.csv"
