variaveis,regra,amostra,taxa_alvo_300_120s,taxa_base,lift
4,_f_delta<=16 E _f_saldo>=19 E _f_velocidade<=0.205388 E _f_ticks_s>=153.857,47,0.8297872340425532,0.6188781756963575,1.3407925285277384
3,_f_delta<=16 E _f_saldo>=19 E _f_ticks_s>=153.857,76,0.8289473684210527,0.6188781756963575,1.3394354510697146
4,_f_delta<=16 E _f_saldo>=19 E _f_razao_fluxo<=1 E _f_ticks_s>=153.857,76,0.8289473684210527,0.6188781756963575,1.3394354510697146
4,_f_delta<=16 E _f_saldo>=19 E _f_razao_fluxo<=1.33364 E _f_ticks_s>=153.857,76,0.8289473684210527,0.6188781756963575,1.3394354510697146
4,_f_spread>=1 E _f_saldo<=-17 E _f_ticks_s>=153.857 E _f_score<=47,29,0.8275862068965517,0.6188781756963575,1.3372360496722273
4,_f_delta<=16 E _f_saldo>=19 E _f_velocidade>=0.205388 E _f_ticks_s>=153.857,29,0.8275862068965517,0.6188781756963575,1.3372360496722273
4,_f_spread<=1.75 E _f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857,63,0.8253968253968254,0.6188781756963575,1.3336983881651578
3,_f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857,80,0.825,0.6188781756963575,1.3330571870170016
4,_f_delta>=-16 E _f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857,80,0.825,0.6188781756963575,1.3330571870170016
4,_f_delta>=0 E _f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857,80,0.825,0.6188781756963575,1.3330571870170016
4,_f_saldo>=-17 E _f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857,80,0.825,0.6188781756963575,1.3330571870170016
4,_f_saldo>=0 E _f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857,80,0.825,0.6188781756963575,1.3330571870170016
4,_f_delta<=0 E _f_saldo>=0 E _f_velocidade<=0.205388 E _f_ticks_s>=153.857,51,0.8235294117647058,0.6188781756963575,1.3306809709973633
4,_f_delta<=0 E _f_razao_fluxo<=1 E _f_velocidade<=0.205388 E _f_ticks_s>=153.857,51,0.8235294117647058,0.6188781756963575,1.3306809709973633
