motivo_bloqueio,salvou_loss_30s_count,salvou_loss_30s_mean,salvou_loss_30s_median,salvou_loss_30s_std,salvou_loss_30s_min,salvou_loss_30s_max,salvou_loss_60s_count,salvou_loss_60s_mean,salvou_loss_60s_median,salvou_loss_60s_std,salvou_loss_60s_min,salvou_loss_60s_max,salvou_loss_120s_count,salvou_loss_120s_mean,salvou_loss_120s_median,salvou_loss_120s_std,salvou_loss_120s_min,salvou_loss_120s_max,impediu_gain_30s_count,impediu_gain_30s_mean,impediu_gain_30s_median,impediu_gain_30s_std,impediu_gain_30s_min,impediu_gain_30s_max,impediu_gain_60s_count,impediu_gain_60s_mean,impediu_gain_60s_median,impediu_gain_60s_std,impediu_gain_60s_min,impediu_gain_60s_max,impediu_gain_120s_count,impediu_gain_120s_mean,impediu_gain_120s_median,impediu_gain_120s_std,impediu_gain_120s_min,impediu_gain_120s_max,mov_favor_30s_count,mov_favor_30s_mean,mov_favor_30s_median,mov_favor_30s_std,mov_favor_30s_min,mov_favor_30s_max,mov_favor_60s_count,mov_favor_60s_mean,mov_favor_60s_median,mov_favor_60s_std,mov_favor_60s_min,mov_favor_60s_max,mov_favor_120s_count,mov_favor_120s_mean,mov_favor_120s_median,mov_favor_120s_std,mov_favor_120s_min,mov_favor_120s_max
aceleração insuficiente -0.0046 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,-0.0,,-0.0,-0.0,1,325.0,325.0,,325.0,325.0,1,325.0,325.0,,325.0,325.0
aceleração insuficiente -0.0050 | sem rompimento confirmado -3.00 | hard-gate DNA incompleto,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,175.0,175.0,,175.0,175.0,1,1625.0,1625.0,,1625.0,1625.0,1,1625.0,1625.0,,1625.0,1625.0
aceleração insuficiente -0.0054 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,200.0,200.0,,200.0,200.0,1,200.0,200.0,,200.0,200.0,1,200.0,200.0,,200.0,200.0
aceleração insuficiente -0.0055 | sem rompimento confirmado -3.00 | hard-gate DNA incompleto | score 71 < 72,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,100.0,100.0,,100.0,100.0,1,100.0,100.0,,100.0,100.0,1,950.0,950.0,,950.0,950.0
aceleração insuficiente -0.0056 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,175.0,175.0,,175.0,175.0,1,175.0,175.0,,175.0,175.0,1,675.0,675.0,,675.0,675.0
aceleração insuficiente -0.0057 | sem rompimento confirmado -10.25 | sem continuidade -1.25 | hard-gate DNA incompleto | score 66 < 72,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,75.0,75.0,,75.0,75.0,1,75.0,75.0,,75.0,75.0,1,75.0,75.0,,75.0,75.0
aceleração insuficiente -0.0061 | sem rompimento confirmado -2.00 | sem continuidade -1.75 | hard-gate DNA incompleto | score 63 < 72,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,275.0,275.0,,275.0,275.0,1,350.0,350.0,,350.0,350.0,1,350.0,350.0,,350.0,350.0
aceleração insuficiente -0.0064 | sem rompimento confirmado -7.75 | sem continuidade -0.25 | hard-gate DNA incompleto,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,-0.0,,-0.0,-0.0,1,0.0,-0.0,,-0.0,-0.0,1,125.0,125.0,,125.0,125.0
aceleração insuficiente -0.0065 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1500.0,1500.0,,1500.0,1500.0,1,1550.0,1550.0,,1550.0,1550.0,1,1550.0,1550.0,,1550.0,1550.0
aceleração insuficiente -0.0066 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,750.0,750.0,,750.0,750.0,1,750.0,750.0,,750.0,750.0,1,750.0,750.0,,750.0,750.0
aceleração insuficiente -0.0072 | hard-gate DNA incompleto,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,-0.0,,-0.0,-0.0,1,850.0,850.0,,850.0,850.0,1,850.0,850.0,,850.0,850.0
aceleração insuficiente -0.0072 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,-0.0,,-0.0,-0.0,1,625.0,625.0,,625.0,625.0,1,975.0,975.0,,975.0,975.0
aceleração insuficiente -0.0073 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,425.0,425.0,,425.0,425.0,1,425.0,425.0,,425.0,425.0,1,1025.0,1025.0,,1025.0,1025.0
aceleração insuficiente -0.0075 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto | score 71 < 72,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,-25.0,-25.0,,-25.0,-25.0,1,-25.0,-25.0,,-25.0,-25.0,1,-25.0,-25.0,,-25.0,-25.0
aceleração insuficiente -0.0081 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,375.0,375.0,,375.0,375.0,1,550.0,550.0,,550.0,550.0,1,550.0,550.0,,550.0,550.0
aceleração insuficiente -0.0084 | sem continuidade -0.00 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,500.0,500.0,,500.0,500.0,1,500.0,500.0,,500.0,500.0,1,500.0,500.0,,500.0,500.0
aceleração insuficiente -0.0089 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,-0.0,,-0.0,-0.0,1,0.0,-0.0,,-0.0,-0.0,1,0.0,-0.0,,-0.0,-0.0
aceleração insuficiente -0.0098 | sem rompimento confirmado -1.75 | sem continuidade 0.00 | hard-gate DNA incompleto | score 65 < 72,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,675.0,675.0,,675.0,675.0,1,2200.0,2200.0,,2200.0,2200.0,1,2725.0,2725.0,,2725.0,2725.0
aceleração insuficiente -0.0102 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,275.0,275.0,,275.0,275.0,1,275.0,275.0,,275.0,275.0,1,275.0,275.0,,275.0,275.0
aceleração insuficiente -0.0102 | sem rompimento confirmado -2.75 | sem continuidade -1.50 | hard-gate DNA incompleto,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,0.0,0.0,,0.0,0.0,1,175.0,175.0,,175.0,175.0,1,325.0,325.0,,325.0,325.0
aceleração insuficiente -0.0105 | hard-gate DNA incompleto,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,0.0,0.0,1,0.0,0.0,,0.0,0.0,1,0.0,0.0,,0.0,0.0
aceleração insuficiente -0.0107 | sem rompimento confirmado -2.50 | sem continuidade -2.50 | hard-gate DNA incompleto | score 67 < 72,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,125.0,125.0,,125.0,125.0,1,125.0,125.0,,125.0,125.0,1,2375.0,2375.0,,2375.0,2375.0
aceleração insuficiente -0.0118 | sem rompimento confirmado -2.25 | sem continuidade -0.75 | hard-gate DNA incompleto | score 70 < 72,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,200.0,200.0,,200.0,200.0,1,375.0,375.0,,375.0,375.0,1,1875.0,1875.0,,1875.0,1875.0
aceleração insuficiente -0.0118 | sem rompimento confirmado -3.50 | sem continuidade -0.50 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,100.0,100.0,,100.0,100.0,1,850.0,850.0,,850.0,850.0,1,850.0,850.0,,850.0,850.0
