motivo;quantidade;percentual
delta30 insuficiente 16.0 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente -32.0 | saldo30 insuficiente -31.0 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -2.25 | sem continuidade -0.75 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 0.0 | saldo30 insuficiente 1.0 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -1.50 | sem continuidade -0.75 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 11.0 | sem continuidade -0.00 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente -6.0 | saldo30 insuficiente -5.0 | hard-gate DNA incompleto | score 67 < 72;3;0,03
vel15 insuficiente -0.0000 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente -5.0 | saldo30 insuficiente -6.0 | hard-gate DNA incompleto | score 63 < 72;3;0,03
delta30 insuficiente 1.0 | saldo30 insuficiente 1.0 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 12.0 | saldo30 insuficiente 9.0 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 15.0 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -5.00 | sem continuidade -1.50 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -10.75 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -2.00 | sem continuidade -1.00 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 4.0 | saldo30 insuficiente 3.0 | hard-gate DNA incompleto | score 63 < 72;3;0,03
sem rompimento confirmado -2.50 | sem continuidade -2.50 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -2.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;3;0,03
delta30 insuficiente -27.0 | saldo30 insuficiente -28.0 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente -13.0 | saldo30 insuficiente -12.0 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 9.0 | saldo30 insuficiente 7.0 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado 0.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;3;0,03
delta30 insuficiente 3.0 | saldo30 insuficiente 3.0 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 1.0 | saldo30 insuficiente 2.0 | hard-gate DNA incompleto | score 63 < 72;3;0,03
delta30 insuficiente 11.0 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente -19.0 | saldo30 insuficiente -18.0 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 9.0 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 10.0 | sem continuidade -0.00 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -2.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;3;0,03
delta30 insuficiente 19.0 | sem continuidade -0.00 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente -3.0 | saldo30 insuficiente -4.0 | hard-gate DNA incompleto | score 67 < 72;3;0,03
delta30 insuficiente -2.0 | saldo30 insuficiente -3.0 | hard-gate DNA incompleto | score 68 < 72;3;0,03
delta30 insuficiente 13.0 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente -21.0 | saldo30 insuficiente -20.0 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 6.0 | saldo30 insuficiente 7.0 | sem continuidade -0.00 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -3.50 | sem continuidade -0.50 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -8.00 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 7.0 | saldo30 insuficiente 7.0 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 7.0 | saldo30 insuficiente 5.0 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -1.75 | sem continuidade -1.50 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -0.50 | sem continuidade 0.00 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente -15.0 | saldo30 insuficiente -14.0 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -2.50 | sem continuidade -1.75 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 12.0 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto | score 66 < 72;3;0,03
sem rompimento confirmado -2.50 | sem continuidade -0.75 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -1.25 | sem continuidade -0.75 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 19.0 | sem rompimento confirmado -2.50 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 8.0 | saldo30 insuficiente 9.0 | hard-gate DNA incompleto | score 63 < 72;3;0,03
sem rompimento confirmado -1.25 | sem continuidade -1.50 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 1.0 | saldo30 insuficiente 2.0 | hard-gate DNA incompleto | score 69 < 72;3;0,03
sem rompimento confirmado -1.25 | hard-gate DNA incompleto | score 70 < 72;3;0,03
sem rompimento confirmado -1.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;3;0,03
sem rompimento confirmado -12.50 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -3.50 | sem continuidade -0.75 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 9.0 | sem continuidade -0.00 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -0.50 | sem continuidade -0.00 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -3.25 | sem continuidade -0.25 | hard-gate DNA incompleto;3;0,03
