motivo;quantidade;percentual
aceleração insuficiente -2.2549 | sem rompimento confirmado -8.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3710 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.4168 | sem rompimento confirmado -10.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3731 | sem rompimento confirmado -0.25 | sem continuidade -0.50 | hard-gate DNA incompleto | score 64 < 72;1;0,01
delta30 insuficiente -8.0 | saldo30 insuficiente -9.0 | sem rompimento confirmado -6.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -7.0 | saldo30 insuficiente -7.0 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.7373 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3125 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -2.1328 | sem rompimento confirmado -6.75 | hard-gate DNA incompleto | score 71 < 72;1;0,01
delta30 insuficiente -132.0 | saldo30 insuficiente -131.0 | sem rompimento confirmado -7.50 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -0.9472 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -13.0 | saldo30 insuficiente -13.0 | aceleração insuficiente -0.1002 | hard-gate DNA incompleto | score 65 < 72;1;0,01
aceleração insuficiente -0.1557 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.9017 | sem rompimento confirmado -4.50 | sem continuidade -0.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.7142 | sem rompimento confirmado -4.00 | sem continuidade -1.75 | hard-gate DNA incompleto | score 66 < 72;1;0,01
aceleração insuficiente -0.5928 | sem rompimento confirmado -3.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.5656 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -6.0 | saldo30 insuficiente -5.0 | sem rompimento confirmado -8.00 | hard-gate DNA incompleto | score 70 < 72;1;0,01
aceleração insuficiente -1.1130 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -1.2591 | sem rompimento confirmado -3.50 | sem continuidade -2.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.6534 | sem rompimento confirmado -11.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.9533 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -1.0534 | sem rompimento confirmado -1.25 | sem continuidade -0.50 | hard-gate DNA incompleto | score 71 < 72;1;0,01
delta30 insuficiente -4.0 | saldo30 insuficiente -3.0 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.1753 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 18.0 | sem rompimento confirmado -5.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 11.0 | sem rompimento confirmado -3.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.0559 | sem rompimento confirmado -3.75 | sem continuidade -2.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.1334 | aceleração insuficiente -0.3001 | sem rompimento confirmado -7.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -28.0 | saldo30 insuficiente -27.0 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto | score 68 < 72;1;0,01
vel15 insuficiente -0.1084 | aceleração insuficiente -2.1877 | sem rompimento confirmado -9.00 | sem continuidade -3.25 | hard-gate DNA incompleto | score 66 < 72;1;0,01
delta30 insuficiente 1.0 | saldo30 insuficiente -0.0 | sem rompimento confirmado -1.25 | sem continuidade -0.75 | hard-gate DNA incompleto | score 64 < 72;1;0,01
aceleração insuficiente -0.7119 | sem rompimento confirmado -3.50 | sem continuidade -0.25 | hard-gate DNA incompleto | score 65 < 72;1;0,01
vel15 insuficiente -0.3419 | sem rompimento confirmado -5.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.2093 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -7.00 | sem continuidade -0.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -2.0 | saldo30 insuficiente -3.0 | sem rompimento confirmado -7.75 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -1.2503 | sem rompimento confirmado -5.00 | sem continuidade -4.25 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.2334 | sem rompimento confirmado -6.50 | sem continuidade -0.75 | hard-gate DNA incompleto | score 64 < 72;1;0,01
delta30 insuficiente -81.0 | saldo30 insuficiente -80.0 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto | score 70 < 72;1;0,01
aceleração insuficiente -0.0502 | sem continuidade -0.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0505 | aceleração insuficiente -1.2117 | sem rompimento confirmado -5.25 | sem continuidade -3.25 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente -0.1501 | sem rompimento confirmado -4.25 | hard-gate DNA incompleto | score 70 < 72;1;0,01
aceleração insuficiente -1.2952 | sem rompimento confirmado -6.75 | sem continuidade -2.50 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -2.0171 | sem rompimento confirmado -7.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
sem rompimento confirmado -2.25 | sem continuidade -1.50 | hard-gate DNA incompleto | score 67 < 72;1;0,01
sem rompimento confirmado -4.25 | sem continuidade -1.25 | hard-gate DNA incompleto | score 69 < 72;1;0,01
aceleração insuficiente -2.3909 | sem rompimento confirmado -9.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.9018 | sem rompimento confirmado -4.50 | sem continuidade -3.50 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0847 | sem rompimento confirmado -3.25 | sem continuidade -0.25 | hard-gate DNA incompleto | score 65 < 72;1;0,01
aceleração insuficiente -0.1153 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.7014 | sem rompimento confirmado -3.75 | sem continuidade -0.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 17.0 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
delta30 insuficiente -72.0 | saldo30 insuficiente -71.0 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.9207 | sem rompimento confirmado -2.25 | sem continuidade -1.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -11.0 | saldo30 insuficiente -12.0 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente -1.0 | saldo30 insuficiente -0.0 | sem rompimento confirmado -3.50 | sem continuidade -0.25 | hard-gate DNA incompleto | score 64 < 72;1;0,01
vel15 insuficiente -0.0872 | sem rompimento confirmado -4.50 | sem continuidade -1.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente 0.0000 | sem rompimento confirmado -6.00 | sem continuidade 0.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.1000 | sem rompimento confirmado -9.75 | sem continuidade -0.50 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0696 | sem rompimento confirmado -8.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.8738 | sem rompimento confirmado -2.00 | sem continuidade -1.50 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -0.1522 | sem rompimento confirmado -2.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3352 | sem rompimento confirmado -2.00 | sem continuidade -0.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
vel15 insuficiente -0.4084 | sem rompimento confirmado -7.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 71 < 72;1;0,01
delta30 insuficiente -9.0 | saldo30 insuficiente -8.0 | aceleração insuficiente -0.1901 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 62 < 72;1;0,01
delta30 insuficiente 5.0 | saldo30 insuficiente 6.0 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 70 < 72;1;0,01
aceleração insuficiente -0.9072 | sem rompimento confirmado -3.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
aceleração insuficiente -0.0239 | sem rompimento confirmado -3.50 | sem continuidade 0.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
delta30 insuficiente -24.0 | saldo30 insuficiente -25.0 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente 17.0 | aceleração insuficiente -0.3346 | hard-gate DNA incompleto | score 70 < 72;1;0,01
aceleração insuficiente -0.3910 | sem rompimento confirmado -1.25 | sem continuidade -0.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.0102 | sem rompimento confirmado -2.75 | sem continuidade -1.50 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.1045 | sem rompimento confirmado -12.50 | sem continuidade -3.25 | hard-gate DNA incompleto | score 68 < 72;1;0,01
aceleração insuficiente -0.1812 | sem rompimento confirmado -4.50 | sem continuidade -0.25 | hard-gate DNA incompleto | score 65 < 72;1;0,01
delta30 insuficiente 13.0 | vel15 insuficiente -0.1333 | sem rompimento confirmado -7.75 | hard-gate DNA incompleto | score 64 < 72;1;0,01
sem rompimento confirmado 0.00 | sem continuidade -0.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.4010 | sem rompimento confirmado -3.25 | sem continuidade -1.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.8467 | sem rompimento confirmado -1.00 | sem continuidade -0.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.2892 | sem rompimento confirmado -3.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -1.5167 | sem rompimento confirmado -29.75 | sem continuidade -3.50 | hard-gate DNA incompleto | score 68 < 72;1;0,01
vel15 insuficiente -0.4173 | sem rompimento confirmado -33.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0500 | sem rompimento confirmado -19.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.2297 | sem rompimento confirmado -28.00 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -15.50 | sem continuidade -0.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -1.1008 | aceleração insuficiente -0.2278 | sem rompimento confirmado -30.25 | hard-gate DNA incompleto | score 67 < 72;1;0,01
delta30 insuficiente 18.0 | aceleração insuficiente -2.5568 | sem rompimento confirmado -5.25 | hard-gate DNA incompleto | score 64 < 72;1;0,01
aceleração insuficiente -0.5047 | sem rompimento confirmado -3.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.2023 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.2264 | sem rompimento confirmado -7.50 | sem continuidade -2.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.7021 | sem rompimento confirmado -2.50 | sem continuidade -2.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente 0.0000 | sem rompimento confirmado -2.25 | hard-gate DNA incompleto | score 70 < 72;1;0,01
sem rompimento confirmado -5.50 | sem continuidade -0.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 7.0 | saldo30 insuficiente 6.0 | sem rompimento confirmado -9.75 | hard-gate DNA incompleto | score 70 < 72;1;0,01
sem rompimento confirmado -8.00 | sem continuidade -1.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.9283 | sem rompimento confirmado -2.50 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -3.0855 | sem rompimento confirmado -12.00 | sem continuidade -1.75 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -0.1254 | sem rompimento confirmado -5.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.1020 | sem rompimento confirmado -2.50 | sem continuidade -2.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.9269 | sem rompimento confirmado -4.00 | sem continuidade -2.00 | hard-gate DNA incompleto | score 70 < 72;1;0,01
aceleração insuficiente -0.5914 | sem rompimento confirmado -7.25 | hard-gate DNA incompleto | score 66 < 72;1;0,01
delta30 insuficiente -65.0 | saldo30 insuficiente -66.0 | sem rompimento confirmado -9.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.2503 | sem rompimento confirmado -10.25 | hard-gate DNA incompleto | score 66 < 72;1;0,01
delta30 insuficiente -48.0 | saldo30 insuficiente -47.0 | sem rompimento confirmado -9.75 | hard-gate DNA incompleto | score 70 < 72;1;0,01
aceleração insuficiente -1.1864 | sem rompimento confirmado -4.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -96.0 | saldo30 insuficiente -97.0 | sem rompimento confirmado -3.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3089 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
delta30 insuficiente 11.0 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
aceleração insuficiente -1.5360 | sem rompimento confirmado -7.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -2.6083 | sem rompimento confirmado -14.25 | sem continuidade -0.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.4889 | sem rompimento confirmado -8.25 | hard-gate DNA incompleto | MESMA_CAMPANHA_SEM_PULLBACK;1;0,01
aceleração insuficiente -0.1733 | sem rompimento confirmado -8.25 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -15.0 | saldo30 insuficiente -15.0 | hard-gate DNA incompleto | score 63 < 72;1;0,01
sem rompimento confirmado -5.00 | sem continuidade -1.25 | hard-gate DNA incompleto | MESMA_CAMPANHA_SEM_PULLBACK;1;0,01
aceleração insuficiente -0.8549 | sem rompimento confirmado -4.50 | sem continuidade -3.50 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -4.25 | sem continuidade -2.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.3356 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -5.25 | sem continuidade -5.75 | hard-gate DNA incompleto | score 68 < 72;1;0,01
vel15 insuficiente -0.0833 | sem rompimento confirmado -12.50 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -0.0232 | sem rompimento confirmado -5.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.4834 | sem rompimento confirmado -12.25 | sem continuidade -2.25 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 13.0 | sem rompimento confirmado -8.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -2.7617 | sem rompimento confirmado -10.00 | sem continuidade -4.25 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -0.8113 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.2279 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto | score 70 < 72;1;0,01
delta30 insuficiente -234.0 | saldo30 insuficiente -234.0 | sem rompimento confirmado -12.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 70 < 72;1;0,01
vel15 insuficiente -0.1501 | sem rompimento confirmado -4.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.5903 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.9331 | sem rompimento confirmado -7.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.7785 | sem rompimento confirmado -15.75 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -79.0 | saldo30 insuficiente -80.0 | sem rompimento confirmado -13.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.2537 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.1074 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -162.0 | saldo30 insuficiente -163.0 | aceleração insuficiente -1.4382 | sem rompimento confirmado -15.25 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente 0.0167 | aceleração insuficiente -0.4026 | sem rompimento confirmado -8.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -2.5243 | sem rompimento confirmado -3.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.8157 | sem rompimento confirmado -11.00 | sem continuidade -7.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -2.8067 | sem rompimento confirmado -10.50 | sem continuidade -6.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.7809 | sem rompimento confirmado -4.50 | hard-gate DNA incompleto | score 66 < 72;1;0,01
vel15 insuficiente -0.1169 | sem rompimento confirmado -9.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.6216 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.0107 | sem rompimento confirmado -2.50 | sem continuidade -2.50 | hard-gate DNA incompleto | score 67 < 72;1;0,01
aceleração insuficiente -3.3302 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.9361 | sem rompimento confirmado -6.50 | sem continuidade -2.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -2.4205 | sem rompimento confirmado -6.25 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -2.4716 | sem rompimento confirmado -8.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.2861 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.1834 | sem rompimento confirmado -9.50 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -8.50 | sem continuidade -1.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
aceleração insuficiente -0.8453 | sem rompimento confirmado -5.75 | sem continuidade -0.25 | hard-gate DNA incompleto | MESMA_CAMPANHA_SEM_PULLBACK;1;0,01
aceleração insuficiente -1.7561 | sem rompimento confirmado -8.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -2.2868 | sem rompimento confirmado -6.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -2.4558 | sem rompimento confirmado -14.00 | hard-gate DNA incompleto | score 63 < 72;1;0,01
aceleração insuficiente -1.3390 | sem rompimento confirmado -3.50 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.4510 | sem rompimento confirmado -9.00 | sem continuidade -4.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
aceleração insuficiente -0.1698 | sem rompimento confirmado -5.50 | sem continuidade -1.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 66 < 72;1;0,01
sem rompimento confirmado -1.50 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
sem rompimento confirmado -16.75 | sem continuidade -0.25 | hard-gate DNA incompleto | score 68 < 72;1;0,01
sem rompimento confirmado -5.25 | sem continuidade -3.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.5290 | sem rompimento confirmado -18.00 | sem continuidade -2.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -2.4560 | sem rompimento confirmado -7.50 | sem continuidade -1.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0667 | sem rompimento confirmado -7.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.2667 | aceleração insuficiente -0.3517 | sem rompimento confirmado -12.50 | hard-gate DNA incompleto | score 64 < 72;1;0,01
aceleração insuficiente -0.2604 | sem rompimento confirmado -0.75 | sem continuidade -1.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.1779 | sem rompimento confirmado -5.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.1342 | sem rompimento confirmado -4.50 | sem continuidade -3.25 | hard-gate DNA incompleto | score 66 < 72;1;0,01
aceleração insuficiente -1.9621 | sem rompimento confirmado -6.75 | hard-gate DNA incompleto | score 66 < 72;1;0,01
aceleração insuficiente -3.8747 | sem rompimento confirmado -10.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.6025 | sem rompimento confirmado -3.25 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.1333 | aceleração insuficiente -0.2758 | sem rompimento confirmado -14.75 | hard-gate DNA incompleto | score 63 < 72;1;0,01
aceleração insuficiente -1.3347 | sem rompimento confirmado -3.50 | hard-gate DNA incompleto | score 71 < 72;1;0,01
delta30 insuficiente -3.0 | saldo30 insuficiente -3.0 | sem rompimento confirmado -4.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -4.7838 | sem rompimento confirmado -9.50 | sem continuidade -4.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -3.2269 | sem rompimento confirmado -12.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.7807 | sem rompimento confirmado -7.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.7835 | sem rompimento confirmado -2.50 | hard-gate DNA incompleto | score 71 < 72;1;0,01
delta30 insuficiente -176.0 | saldo30 insuficiente -175.0 | sem rompimento confirmado -26.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
delta30 insuficiente -27.0 | saldo30 insuficiente -28.0 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
vel15 insuficiente -0.0504 | aceleração insuficiente -1.5251 | sem rompimento confirmado -17.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 63 < 72;1;0,01
aceleração insuficiente -0.1792 | sem rompimento confirmado -2.25 | sem continuidade -1.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 70 < 72;1;0,01
aceleração insuficiente -1.3807 | sem rompimento confirmado -5.25 | sem continuidade -1.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 62 < 72;1;0,01
aceleração insuficiente -1.9477 | sem rompimento confirmado -6.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.7423 | sem rompimento confirmado -4.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.5038 | sem rompimento confirmado -3.00 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -7.25 | hard-gate DNA incompleto | score 65 < 72;1;0,01
delta30 insuficiente 5.0 | saldo30 insuficiente 5.0 | aceleração insuficiente -1.5061 | sem rompimento confirmado -5.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
sem rompimento confirmado -5.75 | sem continuidade -4.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.2950 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -40.0 | saldo30 insuficiente -39.0 | sem rompimento confirmado -16.50 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 66 < 72;1;0,01
delta30 insuficiente -51.0 | saldo30 insuficiente -52.0 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 62 < 72;1;0,01
aceleração insuficiente -1.9670 | sem rompimento confirmado -10.00 | sem continuidade -4.50 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
vel15 insuficiente -0.0500 | sem rompimento confirmado -5.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.1486 | sem rompimento confirmado -7.50 | sem continuidade -5.25 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -1.1928 | sem rompimento confirmado -4.75 | sem continuidade -1.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.1413 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -153.0 | saldo30 insuficiente -152.0 | aceleração insuficiente -0.0727 | sem rompimento confirmado -14.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente -78.0 | saldo30 insuficiente -79.0 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.5206 | sem rompimento confirmado -2.75 | sem continuidade -0.50 | hard-gate DNA incompleto | score 65 < 72;1;0,01
delta30 insuficiente -13.0 | saldo30 insuficiente -14.0 | sem rompimento confirmado -5.00 | hard-gate DNA incompleto | score 66 < 72;1;0,01
delta30 insuficiente -15.0 | saldo30 insuficiente -16.0 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -30.0 | saldo30 insuficiente -31.0 | sem rompimento confirmado -4.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3533 | sem rompimento confirmado -6.25 | sem continuidade -5.50 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -6.50 | sem continuidade -2.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -4.0818 | sem rompimento confirmado -10.00 | sem continuidade -1.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.0767 | sem rompimento confirmado -5.25 | sem continuidade -3.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 17.0 | sem rompimento confirmado -2.25 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.1176 | sem rompimento confirmado -3.00 | hard-gate DNA incompleto | MESMA_CAMPANHA_SEM_PULLBACK | score 71 < 72;1;0,01
delta30 insuficiente -47.0 | saldo30 insuficiente -49.0 | sem rompimento confirmado -4.00 | hard-gate DNA incompleto | score 70 < 72;1;0,01
aceleração insuficiente -1.0580 | sem rompimento confirmado -3.25 | sem continuidade -0.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 12.0 | aceleração insuficiente -0.8440 | sem rompimento confirmado -4.00 | sem continuidade -1.75 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente -0.0852 | sem rompimento confirmado -3.50 | sem continuidade -1.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.0759 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.1503 | sem rompimento confirmado -3.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.8298 | sem rompimento confirmado -3.25 | sem continuidade -1.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente -0.0167 | aceleração insuficiente -0.2756 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3025 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente 0.0167 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto | score 66 < 72;1;0,01
sem rompimento confirmado -2.75 | sem continuidade -1.50 | hard-gate DNA incompleto | score 68 < 72;1;0,01
aceleração insuficiente -0.0318 | sem rompimento confirmado -0.25 | sem continuidade -0.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.6891 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
