reconstructed_dna_id,rank_reconstruction,source_type,source_candidate_id,source_interaction_id,component_count,components_present_in_candidates,gene_ids,gene_signature,families,distinct_families,historias,gain,stop,taxa_gain_pct,taxa_gain_base_pct,lift_gain,fisher_p,bootstrap_ic_inferior_pct,interaction_score_0_100,component_score_mean_0_100,coherence_score_0_100,parsimony_score_0_100,reconstruction_score_0_100,evidence_band,scientific_status,operational_status
RDNA_B1E364D715C4,1788,TRIPLET,CTRIP_4AC8CE97EF4B,TRIP_450767AE0C0D,3,1,GENE_375C727503E6|GENE_8FC3D8F1510A|GENE_F1375B0170A9,GENE_375C727503E6 + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_F1375B0170A9,DESCONHECIDA|NUM|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_B1F476BD1AA1,1789,TRIPLET,CTRIP_E892F3032CF8,TRIP_4742ACE4A341,3,1,GENE_69DAB69CABB1|GENE_8FC3D8F1510A|GENE_EFF8628D99DA,GENE_69DAB69CABB1 + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_EFF8628D99DA,DESCONHECIDA|NUM|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_B2E0150C8770,1790,TRIPLET,CTRIP_CAADD28009F9,TRIP_02E7896DFCD6,3,1,GENE_18BF3F5C97E0|GENE_69DAB69CABB1|GENE_8FC3D8F1510A,GENE_18BF3F5C97E0 + GENE_69DAB69CABB1 + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,DESCONHECIDA|DESCONHECIDA|NUM,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_B31377E7E08F,1791,TRIPLET,CTRIP_0AE664EA9FAB,TRIP_301B95A4FF00,3,1,GENE_8FC3D8F1510A|GENE_92D9825D8693|GENE_B0AD99872F63,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_92D9825D8693 + GENE_B0AD99872F63,NUM|DESCONHECIDA|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_B3A5847EB95D,1792,TRIPLET,CTRIP_1385FF3CEB5D,TRIP_8D9540CC9AFB,3,1,GENE_8FC3D8F1510A|GENE_92D9825D8693|GENE_F788D1793F39,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_92D9825D8693 + GENE_F788D1793F39,NUM|DESCONHECIDA|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_B40840744260,1793,TRIPLET,CTRIP_F11C3EA78330,TRIP_65218E77848C,3,1,GENE_18BF3F5C97E0|GENE_8FC3D8F1510A|GENE_C2B6AA9300BD,GENE_18BF3F5C97E0 + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_C2B6AA9300BD,DESCONHECIDA|NUM|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_B45632E2DBE4,1794,TRIPLET,CTRIP_14173FB45055,TRIP_78321CAB4A6D,3,1,GENE_61447D78C854|GENE_8DF207020BCE|GENE_8FC3D8F1510A,GENE_61447D78C854 + GENE_8DF207020BCE + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,DESCONHECIDA|DESCONHECIDA|NUM,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_B4C1C8F98F2A,1795,TRIPLET,CTRIP_827EF1628E71,TRIP_742882E7AD88,3,1,GENE_8FC3D8F1510A|GENE_B5B05E989AB1|GENE_B72467C5FDE9,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_B5B05E989AB1 + GENE_B72467C5FDE9,NUM|DESCONHECIDA|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_B508233FF705,1796,TRIPLET,CTRIP_169584D2A1B8,TRIP_420D76369C0F,3,1,GENE_8FC3D8F1510A|GENE_C2B6AA9300BD|GENE_E723E2D3D808,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_C2B6AA9300BD + GENE_E723E2D3D808,NUM|DESCONHECIDA|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_B6891600EF62,1797,TRIPLET,CTRIP_C38C0381F334,TRIP_67CAC38BD278,3,1,GENE_61447D78C854|GENE_8FC3D8F1510A|GENE_B0AD99872F63,GENE_61447D78C854 + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_B0AD99872F63,DESCONHECIDA|NUM|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
